,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Neymar,0.8,0.3,0.7,0.0,0.1,1,0.0,0.0,8.26
1,Kylian Mbappé,0.3,0.2,0.7,0.0,0.1,0.2,0.0,0.0,8.0
2,Téji Savanier,3.0,2,1.6,0.0,1.5,2.3,0.5,0.0,7.89
3,Jessy Moulin,1.0,0.0,0.0,0.0,4,0.0,0.0,1,7.76
4,Nicolas Pépé,0.7,0.3,0.6,0.0,0.2,0.7,0.0,0.0,7.62
5,Ángel Di María,1.0,0.5,0.4,0.0,0.1,1.1,0.0,0.0,7.52
6,Youcef Atal,2.3,1.9,1.4,0.2,1.3,1.1,0.3,0.0,7.48
7,Yassine Benzia,0.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,7.46
8,Edinson Cavani,0.5,0.3,0.5,0.0,0.7,0.5,0.1,0.0,7.44
9,Hatem Ben Arfa,0.6,0.2,0.7,0.0,0.0,0.3,0.0,0.0,7.35
10,Memphis Depay,0.3,0.3,1.0,0.0,0.0,0.4,0.1,0.0,7.34
11,Nabil Fekir,1.8,0.2,1.5,0.0,0.1,0.9,0.0,0.0,7.31
12,Adrien Rabiot,2.5,0.7,1.6,0.0,1.3,0.2,0.1,1,7.31
13,Flavien Tait,1.6,0.8,0.9,0.0,0.3,1,0.1,0.0,7.3
14,Metehan Guclu,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.29
15,Andy Delort,0.9,0.1,2.6,0.0,0.2,0.8,0.2,0.0,7.27
16,Thiago Mendes,2.4,1.9,1.1,0.1,1.2,0.9,0.3,0.0,7.27
17,Wahbi Khazri,1.3,0.3,1.7,0.0,0.2,1,0.1,0.0,7.25
18,Marcelo,1.5,1.9,1.0,0.5,4.5,0.2,0.7,1,7.25
19,Antoine Bernede,6.5,1.5,1.0,0.0,0.5,2,0.5,0.0,7.24
20,Marquinhos,2.2,1.5,1.0,0.4,2.7,0.7,0.4,0.0,7.24
21,Allan Saint-Maximin,0.4,0.1,0.4,0.0,0.1,0.4,0.0,0.0,7.21
22,Florian Thauvin,1.3,0.2,0.9,0.0,0.1,0.6,0.0,0.0,7.19
23,Ronaël Pierre-Gabriel,3.3,0.8,1.0,0.5,3.3,0.3,0.3,0.0,7.19
24,Benjamin André,3.4,1.8,2.0,0.1,1.6,1.7,0.2,0.0,7.18
25,Gabriel Magalhães,1.3,1.4,1.0,0.5,3.9,0.2,0.4,0.0,7.14
26,Max-Alain Gradel,1.6,0.5,2.0,0.0,0.7,1.3,0.3,0.0,7.14
27,Lucas Ocampos,2.4,0.9,1.5,0.1,0.7,1.4,0.1,0.0,7.14
28,Ruben Aguilar,3.0,1.3,1.3,0.1,1.6,1.0,0.1,0.0,7.13
29,Rémy Cabella,2.6,0.6,1.0,0.0,0.1,1.7,0.0,0.0,7.13
30,Youssouf Kone,3.4,2,0.9,0.3,2.0,1.2,0.2,0.0,7.13
31,Bobby Allain,0.0,0.0,0.1,0.0,1.6,0.1,0.0,0.0,7.13
32,Mathieu Debuchy,1.8,2,1.5,0.2,2.4,0.6,0.3,0.0,7.12
33,Kenny Lala,2.3,0.8,1.0,0.2,1.5,0.7,0.3,0.0,7.11
34,Almamy Touré,3.3,2.8,1.3,0.3,2.5,1.8,0.3,0.0,7.1
35,Marçal,2.1,2.5,0.8,0.0,2.6,0.3,0.3,0.0,7.1
36,Valentin Rongier,2.4,0.9,1.2,0.0,0.4,1.1,0.2,0.0,7.1
37,Ferland Mendy,1.5,1.1,0.9,0.1,1.4,0.1,0.2,0.0,7.09
38,Hiroki Sakai,2.1,1.4,1.2,0.3,2.4,0.9,0.4,0.0,7.09
39,Serhou Guirassy,0.5,0.3,1.2,0.0,1.1,0.3,0.0,0.0,7.09
