,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Neymar,15,7,3.2,2.5,4.4,3.4,0.4,4.2,4.1,8.26
1,Kylian Mbappé,33,7,4.3,1.6,2.2,1.5,1,1.5,2.1,8.0
2,Téji Savanier,6,14,2.1,2.7,2.5,3,0.0,1.3,2,7.89
3,Jessy Moulin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.76
4,Nicolas Pépé,22,11,3.1,1.8,2.7,2.8,0.3,2.9,2.9,7.62
5,Ángel Di María,12,11,3.2,1.8,1.4,0.6,0.2,1.5,1.6,7.52
6,Youcef Atal,6,0.0,1.2,0.8,3.5,2,0.3,1.1,2.8,7.48
7,Yassine Benzia,0.0,1,3,2.5,0.5,1.5,0.0,0.0,0.0,7.46
8,Edinson Cavani,18,5,2.5,0.6,0.6,0.8,0.5,0.6,1.8,7.44
9,Hatem Ben Arfa,7,2,2.1,1.4,4.5,1.6,0.2,2.5,2.2,7.35
10,Memphis Depay,10,10,3.1,3.1,1.7,0.9,0.3,1.8,2.3,7.34
11,Nabil Fekir,9,7,3.1,1.8,1.6,2.2,0.6,1.5,1.8,7.31
12,Adrien Rabiot,2,1,0.5,0.4,1.1,0.6,0.0,0.6,1,7.31
13,Flavien Tait,5,7,2.4,2.1,2.3,1.9,0.1,1.9,2.8,7.3
14,Metehan Guclu,1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.29
15,Andy Delort,14,7,3.3,1.6,1.5,1.5,0.7,1.8,3.5,7.27
16,Thiago Mendes,0.0,5,0.9,1.8,0.8,1.9,0.0,0.8,1,7.27
17,Wahbi Khazri,13,6,2.9,2.2,1.4,1.6,0.7,2.2,2.8,7.25
18,Marcelo,0.0,1,0.8,0.3,0.2,0.3,0.0,0.2,0.4,7.25
19,Antoine Bernede,0.0,0.0,0.5,0.5,0.0,0.5,0.0,2,1,7.24
20,Marquinhos,3,1,0.4,0.3,0.2,0.3,0.0,0.3,0.2,7.24
21,Allan Saint-Maximin,6,3,2.2,1.7,4.2,2.0,0.2,2.4,3.6,7.21
22,Florian Thauvin,16,8,3.1,1.4,1.8,1.5,0.2,1.8,2.8,7.19
23,Ronaël Pierre-Gabriel,0.0,0.0,0.0,0.3,0.8,1.5,0.0,0.5,0.5,7.19
24,Benjamin André,3,1,0.9,0.7,0.7,1.6,0.2,1.3,1.8,7.18
25,Gabriel Magalhães,1,0.0,0.7,0.2,0.0,0.9,0.0,0.1,0.3,7.14
26,Max-Alain Gradel,11,5,3.3,1.5,2.4,2.6,0.5,2.8,3.8,7.14
27,Lucas Ocampos,4,7,1.8,0.9,1.9,1.9,0.2,1.7,2.9,7.14
28,Ruben Aguilar,1,4,0.4,1.5,1.2,1.4,0.0,0.9,1.6,7.13
29,Rémy Cabella,8,4,2.4,1.7,1.6,2.0,0.1,2.1,1.9,7.13
30,Youssouf Kone,0.0,1,0.3,0.8,0.9,1.4,0.1,0.5,0.9,7.13
31,Bobby Allain,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,7.13
32,Mathieu Debuchy,4,3,0.6,0.9,0.4,0.8,0.3,0.5,1.3,7.12
33,Kenny Lala,5,9,0.7,1.8,1.1,1.1,0.0,1.4,2,7.11
34,Almamy Touré,0.0,0.0,0.5,0.5,0.8,0.5,0.0,1,1.3,7.1
35,Marçal,0.0,0.0,0.4,0.3,0.1,0.8,0.0,0.3,0.4,7.1
36,Valentin Rongier,4,5,2,2.4,1,0.8,0.1,1.1,1.8,7.1
37,Ferland Mendy,2,1,0.8,1.3,1.8,1.5,0.0,1.2,1.2,7.09
38,Hiroki Sakai,1,4,0.2,1,0.4,0.9,0.0,0.6,0.9,7.09
39,Serhou Guirassy,3,1,2.1,1,0.7,3.1,0.5,2.4,3.5,7.09
40,Vukasin Jovanovic,0.0,0.0,0.1,0.1,0.3,1,0.0,0.0,0.3,7.08
41,Erik Pieters,1,1,0.8,0.8,0.5,1.5,0.0,0.4,1.2,7.08
42,Christophe Hérelle,0.0,0.0,0.5,0.2,0.2,1.4,0.0,0.2,0.5,7.07
43,Marco Verratti,0.0,2,0.1,1.1,1.3,2.2,0.0,1.4,0.8,7.07
44,Thomas Meunier,3,3,0.9,0.9,0.4,0.2,0.2,0.5,0.6,7.07
45,Loïc Mbe Soh,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,7.07
46,Thiago Silva,0.0,1,0.5,0.2,0.1,1,0.0,0.1,0.2,7.06
47,Ibrahim Sangaré,1,3,1.3,0.7,1.8,1.4,0.1,1.2,1.9,7.06
48,Houssem Aouar,7,7,1.9,1.2,1.6,1.4,0.3,1.8,1.6,7.05
49,Walter Benítez,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.05
50,Florent Mollet,6,4,2.6,2.1,0.6,1.0,0.2,1.5,1.5,7.05
51,Nicolas Pallois,2,0.0,0.8,0.2,0.9,0.5,0.1,0.4,0.6,7.04
52,Gaëtan Laborde,11,4,2.4,1,1.2,1.0,0.2,1.7,2.5,7.04
53,Renaud Ripart,8,4,1.8,0.8,0.4,1.8,0.2,1.3,2.2,7.03
54,Wesley Fofana,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.03
55,Dani Alves,1,7,1.2,1.4,0.7,1.0,0.2,1,1.0,7.02
56,Julian Draxler,3,7,1,1.3,1.4,0.5,0.0,1.4,1.1,7.02
57,Jonathan Bamba,13,3,1.8,1.1,0.9,1.7,0.1,2.2,2.1,7.02
58,Ghislain Konan,0.0,1,0.1,0.9,1.3,1.5,0.2,0.8,1.8,7.02
59,Naïm Sliti,3,4,1.8,2.1,2.4,2.0,0.3,1.8,2.5,7.01
60,Léo Dubois,1,6,0.7,1.0,0.5,0.6,0.1,0.5,0.8,7.01
61,Emiliano Sala,12,2,1.9,1.2,0.2,1.8,0.7,1.6,2.8,7.0
62,Marcus Thuram,9,1,1.9,1.1,3.2,1.4,0.2,2.9,3.0,7.0
