,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Eden Hazard,0.4,0.4,0.3,0.0,0.1,0.3,0.0,0.0,16.0,15.0,2.5,2.6,3.7,2.8,0.3,2.3,2.4,15.0,2.6,49.2,84.3,0.9,2.7,0.3
1,Raheem Sterling,0.9,0.5,1.2,0.0,0.1,0.5,0.1,0.0,17.0,10.0,2.3,1.9,2.4,1.3,0.4,2.6,2.2,10.0,1.9,37.1,85.8,0.4,0.3,0.0
2,Mohamed Salah,0.6,0.1,0.7,0.0,0.1,0.3,0.0,0.0,22.0,8.0,3.6,1.8,2.1,0.8,0.7,3.1,2.9,8.0,1.8,28.4,75.9,0.4,0.6,0.3
3,Sergio Agüero,0.5,0.3,0.6,0.0,0.1,0.1,0.0,0.0,21.0,8.0,3.6,1.0,1.4,0.8,0.8,1.6,2.2,8.0,1.0,23.4,85.0,0.0,0.1,0.1
4,Virgil van Dijk,1.0,1.1,0.3,1.1,5.2,0.0,0.5,0.0,4.0,2.0,0.8,0.2,0.2,0.6,0.0,0.0,0.2,2.0,0.2,79.9,89.7,0.0,5.3,0.0
5,Sadio Mané,1.0,0.4,0.9,0.1,0.2,0.8,0.1,0.0,22.0,1.0,2.4,1.3,1.4,1.8,0.7,1.3,2.9,1.0,1.3,32.9,78.2,0.2,1.3,0.1
6,Harry Kane,0.4,0.0,1.1,0.0,0.5,0.5,0.2,0.0,17.0,4.0,3.6,1.1,1.4,1.9,0.4,1.6,2.9,4.0,1.1,19.7,73.1,0.1,1.6,0.0
7,Trent Alexander-Arnold,2.1,1.2,0.5,0.3,2.1,1.1,0.1,0.0,1.0,12.0,1.0,1.7,0.5,0.2,0.1,0.5,1.4,12.0,1.7,58.5,77.5,2.0,4.0,0.1
8,Lucas Digne,2.0,1.7,1.1,0.3,2.7,0.5,0.3,1.0,4.0,4.0,1.0,2.0,0.4,0.9,0.1,0.9,0.9,4.0,2.0,41.6,76.0,2.4,1.7,0.0
9,Ricardo Pereira,3.4,1.7,1.2,0.2,3.0,1.7,0.2,0.0,2.0,6.0,0.7,0.9,1.9,1.4,0.1,1.0,1.5,6.0,0.9,43.8,78.0,0.4,1.2,0.0
10,Paul Pogba,1.3,0.5,1.5,0.0,1.0,0.7,0.3,0.0,13.0,9.0,3.0,1.6,1.7,2.0,0.1,2.5,2.1,9.0,1.6,59.1,82.8,0.1,4.7,0.2
11,Fernandinho,2.0,1.4,1.4,0.1,2.4,0.7,0.1,0.0,1.0,3.0,1.0,0.8,0.7,0.9,0.1,0.4,0.9,3.0,0.8,70.7,87.5,0.0,2.7,0.2
12,Fabian Schär,2.5,2.8,1.2,0.4,5.7,1.1,0.7,0.0,4.0,1.0,1.0,0.5,0.6,0.8,0.0,0.4,0.5,1.0,0.5,41.4,68.1,0.1,5.6,0.0
13,Benjamin Mendy,1.6,1.0,1.2,0.4,1.6,0.8,0.4,0.0,0.0,5.0,0.7,1.2,0.9,0.2,0.0,1.1,0.9,5.0,1.2,65.0,88.3,1.1,1.8,0.0
14,Aaron Wan-Bissaka,3.7,2.4,0.7,0.3,3.7,0.3,0.5,0.0,0.0,3.0,0.3,0.4,1.7,0.5,0.1,1.1,1.2,3.0,0.4,33.3,73.0,0.3,1.0,0.0
15,David Silva,0.9,0.7,0.8,0.0,0.4,0.6,0.0,0.0,6.0,8.0,1.5,2.2,0.9,0.8,0.2,0.9,0.8,8.0,2.2,61.1,87.8,0.5,1.2,0.2
16,Bernardo Silva,1.4,0.7,0.9,0.0,0.7,1.4,0.1,0.0,7.0,7.0,1.7,2.0,1.4,0.7,0.1,1.0,1.2,7.0,2.0,47.4,86.1,0.3,2.0,0.1
17,Leroy Sané,0.8,0.3,0.3,0.0,0.1,0.7,0.1,0.0,10.0,10.0,1.8,1.3,1.8,0.5,0.6,1.4,2.3,10.0,1.3,27.3,84.4,0.5,0.1,0.1
18,Felipe Anderson,2.5,1.1,0.8,0.0,0.3,1.9,0.0,0.0,9.0,4.0,1.6,1.8,2.1,1.4,0.1,1.5,2.7,4.0,1.8,46.3,76.0,0.9,2.4,0.3
19,Wilfred Ndidi,3.8,2.2,1.2,0.1,2.1,1.3,0.2,0.0,2.0,0.0,1.4,0.6,0.9,0.6,0.1,0.9,1.5,0.0,0.6,52.2,79.9,0.0,2.4,0.1
20,Wilfried Zaha,1.1,0.3,1.3,0.0,0.0,0.6,0.0,0.0,10.0,5.0,2.1,1.6,3.4,3.0,0.5,4.2,3.6,5.0,1.6,29.6,77.3,0.3,0.7,0.1
21,James Maddison,1.3,0.3,0.7,0.0,0.1,1.2,0.1,0.0,7.0,7.0,2.3,2.8,1.4,2.2,0.1,1.1,1.3,7.0,2.8,39.0,83.8,1.9,2.2,0.3
22,Roberto Firmino,0.9,0.2,1.1,0.0,0.4,0.8,0.0,0.0,12.0,6.0,2.2,1.3,1.4,0.3,0.2,1.8,2.3,6.0,1.3,37.6,80.8,0.1,0.5,0.1
23,Luka Milivojevic,2.4,1.9,1.6,0.0,1.7,1.4,0.4,0.0,12.0,2.0,1.5,1.6,0.3,1.0,0.0,0.5,0.7,2.0,1.6,52.3,80.0,1.4,3.4,0.0
24,John Ruddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,68.4,0.0,9.0,0.0
25,Oleksandr Zinchenko,2.4,1.4,1.1,0.0,1.1,1.4,0.2,0.0,0.0,3.0,0.5,0.9,0.4,0.4,0.1,0.4,0.5,3.0,0.9,84.6,91.5,0.5,2.6,0.0
26,Marcos Alonso,2.4,1.3,0.9,0.2,2.8,0.8,0.1,0.0,2.0,4.0,1.5,1.1,0.5,1.2,0.1,0.9,1.0,4.0,1.1,60.7,85.0,0.3,1.4,0.0
27,Alexandre Lacazette,1.0,0.4,1.5,0.0,0.8,0.7,0.0,0.0,13.0,8.0,2.3,0.9,1.3,1.5,0.7,1.7,2.0,8.0,0.9,22.0,74.2,0.1,0.5,0.1
28,Gylfi Sigurdsson,1.5,0.7,0.9,0.0,0.6,0.8,0.1,0.0,13.0,6.0,2.3,1.9,1.0,1.0,0.1,0.8,2.1,6.0,1.9,26.1,76.2,1.3,0.7,0.3
