,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
279,Tariq Lamptey,2,,,,,,,,6.59
280,Trézéguet,1.1,0.7,1,,0.4,1,0.1,,6.59
281,Séamus Coleman,1.6,0.9,0.7,0.3,1.3,0.2,0.3,,6.59
282,Javier Manquillo,1.9,0.9,0.9,0.1,2.3,0.7,0.1,,6.59
283,Todd Cantwell,1.4,0.5,0.9,,0.8,1.3,0.1,,6.59
284,Solly March,1.3,1.1,0.5,0.1,0.5,0.5,0.2,,6.59
285,Jay Rodriguez,0.8,0.1,0.7,,0.3,0.7,0.2,,6.59
286,Rúben Vinagre,1.4,0.7,0.4,0.1,0.9,0.2,0.1,,6.58
287,Wayne Hennessey,,0.3,,,1.7,,,,6.58
288,David Luiz,0.8,1.0,0.9,0.5,3.8,0.3,1.1,,6.58
289,Jack Stacey,1.1,0.9,0.5,0.1,2.8,0.7,0.6,,6.58
290,Christian Fuchs,1.3,1.5,0.2,0.3,2.1,1,0.3,,6.58
291,Tom Heaton,0.2,,0.1,,0.6,0.1,,1,6.57
292,Ryan Fraser,0.4,0.5,0.4,,0.6,0.5,0.1,,6.57
293,David de Gea,,,,,0.4,,,,6.57
294,Maximilian Kilman,1.3,1.3,0.7,0.3,2.3,,0.3,,6.57
295,Harry Winks,1.3,1.2,0.8,,1.0,1.2,0.3,,6.57
296,James Milner,0.7,0.3,0.5,0.2,0.7,0.9,0.1,,6.56
297,Alex Iwobi,1,0.6,0.5,,0.4,0.8,0.1,,6.56
298,Bernard,1.1,0.6,0.7,,0.3,1.1,0.1,,6.56
299,Adam Smith,2,1,1,0.2,2.0,1.1,0.3,,6.56
300,Roberto Jiménez,,,,,1.3,,,1,6.56
301,Callum Hudson-Odoi,0.5,0.2,0.5,,0.2,0.3,,,6.56
302,Andros Townsend,1.4,0.6,0.4,,0.3,0.9,,,6.56
303,Nampalys Mendy,1,0.9,0.6,,0.6,0.1,0.1,,6.55
304,Marc Albrighton,1.2,0.5,0.4,,0.4,1.1,0.1,,6.55
305,Oriol Romeu,1.8,1.1,1.3,,1.0,1.6,0.4,,6.55
306,Manuel Lanzini,0.6,0.4,0.3,,0.1,1.3,,,6.55
307,Rob Holding,0.5,0.6,0.5,0.3,5.4,0.3,0.8,,6.55
308,Ahmed El Mohamady,1.1,0.7,0.7,,1.2,0.6,0.3,,6.55
309,Andreas Pereira,1,0.3,1.1,,0.2,1.2,,,6.55
310,Max Aarons,1.3,1.0,0.8,0.2,2.0,0.5,0.8,,6.55
311,Jeff Hendrick,0.8,0.8,0.7,,0.6,0.8,0.3,,6.55
312,Leandro Trossard,0.7,0.3,0.5,,0.2,1.0,,,6.54
313,Anwar El Ghazi,0.6,0.4,0.6,,0.4,0.5,,,6.54
314,Simon Francis,0.9,1.3,0.5,0.3,4.4,0.7,0.8,,6.54
315,Phil Jagielka,0.8,0.7,0.2,,3.2,0.3,0.8,,6.54
316,Teemu Pukki,0.3,0.2,0.6,,0.2,0.6,,,6.53
317,Leighton Baines,1.3,0.6,0.1,0.3,1.3,0.3,0.3,,6.53
318,Kiko Femenía,2.4,1.3,0.9,0.2,1.6,1.3,0.1,,6.53
319,Lucas Torreira,1.1,1.2,0.8,,0.8,0.8,0.3,,6.52
320,Sofiane Boufal,0.8,0.2,1.3,,,0.5,,,6.52
321,Ben Foster,,,0.1,,0.8,0.1,,,6.52
322,Harry Wilson,0.7,0.4,0.4,,0.4,0.7,0.1,,6.52
323,Martín Montoya,2.1,0.9,1.0,0.2,1.1,1.0,0.2,,6.52
324,Fabián Balbuena,1,1.5,0.4,0.6,4.2,0.9,0.3,,6.51
325,Tom Trybull,2.4,1,1.6,,2,2.8,0.3,,6.51
326,Christian Eriksen,1,0.6,0.5,,0.7,0.9,0.1,,6.51
327,Andriy Yarmolenko,0.6,0.3,0.7,,0.2,0.7,,,6.51
328,Conor Coady,0.9,0.7,0.4,0.4,3.1,0.4,0.4,,6.51
329,Junior Stanislas,0.7,0.3,0.3,0.1,0.3,0.3,,,6.51
330,Callum Wilson,0.3,0.1,1.6,,0.5,0.4,0.1,,6.51
331,Alexander Tettey,0.8,1.4,0.7,,2.2,0.9,0.3,,6.51
332,Florian Lejeune,1.3,1.7,1.0,0.2,2.2,0.5,0.3,,6.51
333,Onel Hernández,1,0.7,0.5,,0.3,0.8,,,6.5
334,Pepe Reina,,,0.1,,1.0,0.2,,,6.5
335,Sead Kolasinac,1.1,1,0.8,0.1,1.3,0.4,0.2,,6.5
336,Demarai Gray,0.6,0.2,0.1,,0.1,0.3,,,6.49
337,Daniel Podence,0.3,0.2,0.6,,0.1,0.2,0.1,,6.49
338,Danny Rose,1.5,0.7,1.2,0.3,2.5,0.9,0.5,,6.49
339,Fabian Delph,1.6,0.9,1.1,,1.0,0.8,0.2,,6.49
340,Moritz Leitner,1.8,1,0.9,,0.9,1.8,0.4,,6.49
341,Bernardo,1.9,0.4,0.2,0.1,1.4,0.3,0.2,,6.49
342,Dwight Gayle,0.6,0.1,0.3,,0.5,0.2,,,6.48
343,Pablo Fornals,1.3,0.7,0.5,,0.2,1.3,,,6.48
344,Lys Mousset,0.3,0.1,0.8,,0.1,0.1,,,6.48
345,Marvelous Nakamba,1.9,1.3,0.9,,1.1,1.5,0.4,,6.47
346,Matthew Longstaff,0.3,0.6,0.7,,0.3,1.2,0.1,,6.47
347,Cenk Tosun,0.4,,0.8,,0.2,0.4,,,6.47
348,Ezri Konsa,0.7,1,0.7,0.2,2.6,0.4,1,,6.47
349,Curtis Jones,0.7,0.3,0.5,,,0.2,,,6.47
350,Danny Rose,1.9,0.9,1.0,0.2,1,0.8,0.4,,6.47
351,Tom Davies,1.3,1.2,1.0,,0.9,1.3,0.1,,6.47
352,Nabil Bentaleb,1.9,1.6,1.6,,0.8,1.5,0.2,,6.47
353,Theo Walcott,0.5,0.3,0.4,,,0.5,,,6.46
354,Jamal Lewis,1.8,0.9,0.5,0.1,2,0.5,0.4,,6.46
355,Ibrahim Amadou,1.6,1.5,0.7,0.3,5,0.7,0.5,,6.46
356,Che Adams,0.2,0.1,0.6,,0.3,0.1,,,6.45
357,Pedro Neto,0.3,0.2,0.5,,0.1,0.4,,,6.45
358,Ben Godfrey,0.7,0.8,0.5,0.3,4.9,0.3,1.2,1,6.45
359,Eric Bailly,,1.0,0.5,0.5,1.8,0.3,0.8,,6.44
360,José Holebas,1.9,0.2,1.3,0.1,2.1,1.4,0.3,,6.44
361,Alireza Jahanbakhsh,0.8,0.3,0.2,,0.1,0.2,,,6.44
362,David Martin,,,,,0.4,,,,6.43
363,André Gomes,1.2,0.4,2,0.1,0.3,2.8,0.2,,6.43
364,Dan Gosling,1.1,0.8,0.9,,0.9,0.9,0.5,,6.43
365,Mbwana Samatta,0.4,0.1,0.6,,0.4,0.5,,,6.42
366,Divock Origi,0.4,0.1,0.4,,0.2,0.2,,,6.42
367,Pablo Zabaleta,1.8,1.4,0.7,0.1,1.6,0.7,0.3,,6.42
368,James McCarthy,2.5,0.7,0.9,,0.3,1.1,0.2,,6.42
369,Anthony Gordon,1,0.7,0.9,,0.1,0.9,0.2,,6.42
370,Morgan Schneiderlin,2.1,1.4,1.2,,1.3,1.1,0.2,,6.42
371,Neil Taylor,1.1,1.4,0.6,0.1,1.9,0.6,0.4,,6.41
372,Ryan Bennett,1,1.4,0.6,0.4,1.6,0.4,0.2,,6.41
373,Dominic Solanke,0.3,0.3,0.5,,0.5,0.9,,,6.41
374,Nathaniel Chalobah,1.4,0.8,0.3,,0.8,0.7,0.2,,6.41
375,Gabriel Martinelli,1.4,0.2,0.6,,0.4,0.9,0.1,,6.4
376,Eddie Nketiah,0.5,0.2,1.2,,0.4,0.3,,,6.4
377,Reiss Nelson,0.6,0.2,0.5,,0.1,0.6,0.1,,6.4
378,Jordan Pickford,,0.1,,,0.6,0.1,,,6.4
379,Connor Wickham,0.2,0.2,0.7,,,,,,6.4
380,Danny Welbeck,0.8,0.3,0.5,0.1,0.3,0.4,0.1,,6.39
381,Ben Osborn,1.2,0.5,0.7,,0.5,1,0.1,,6.39
382,Claudio Bravo,,,,,0.8,,,,6.39
383,Phil Jones,1,1,1.5,0.5,4.5,,,,6.39
384,Ryan Bennett,0.4,0.8,0.4,0.1,2.5,0.4,0.7,,6.39
385,Dennis Praet,1.2,0.6,0.7,,0.4,0.7,,,6.39
386,Yan Valery,1.8,1.2,0.6,0.1,2.6,0.7,0.1,,6.38
387,Tom Cleverley,1.6,0.6,0.9,,0.8,1.5,0.1,,6.38
388,Matej Vydra,0.2,0.1,0.1,,0.3,0.2,0.2,,6.38
389,Wes Morgan,0.3,0.6,0.3,0.2,1.6,0.3,0.3,,6.38
390,Nathan Holland,1.5,,,,,,,,6.38
391,David Brooks,0.6,0.2,0.4,,0.1,1.3,0.1,,6.37
392,Timm Klose,1.1,1,1.1,,3.9,0.6,0.9,,6.37
393,Sean Longstaff,1.5,0.8,0.7,,0.9,1.3,0.2,,6.37
394,Aaron Connolly,0.3,,0.7,,0.1,0.3,,,6.37
395,Willy Caballero,,,,,0.8,,,,6.37
396,William Smallbone,1.1,0.1,0.2,,0.1,0.6,0.1,,6.36
