,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
81,Bremer,2.3,2.7,1.2,0.5,4.1,0.5,0.8,,6.92
82,Roberto Soriano,1.5,0.6,2,,0.8,1.2,,,6.91
83,Berat Djimsiti,1.2,1.4,0.9,0.4,2.6,0.5,0.4,,6.91
84,Marten de Roon,2.2,1.3,1.7,,1.1,1.2,0.2,1,6.9
85,Seko Fofana,0.5,0.5,0.6,,0.5,0.8,,,6.89
86,Riccardo Orsolini,1,0.4,1.1,,0.5,0.9,,,6.89
87,Alex Berenguer,0.7,0.6,1,0.1,0.4,0.9,,,6.88
88,Arkadiusz Milik,0.5,0.1,1,,0.5,0.3,,,6.88
89,Kingsley Michael,2,1.0,4,,1.0,,,,6.88
90,Nicolò Zaniolo,0.6,0.2,1.6,,0.2,0.8,,,6.87
91,Cengiz Ünder,0.6,0.4,0.3,,0.3,0.4,0.1,,6.87
92,Luigi Sepe ,,,,,0.4,,,,6.87
93,Daniele Baselli,2.7,1.6,1.3,,1.5,1.7,0.3,,6.87
94,Senad Lulic,1.1,1.1,1.4,0.1,1.3,1.5,0.2,,6.87
95,Lucas Leiva,2.4,1.9,1.9,,1.3,1.8,0.2,,6.87
96,Giovanni Di Lorenzo,1.8,0.8,1,0.4,1.4,0.9,0.3,,6.86
97,Marko Rog,2.3,0.7,2,,0.5,2.1,0.4,,6.86
98,Sandro Tonali,1.1,1.2,1.2,,1.1,1.1,0.4,,6.86
99,Simone Pinna,1,5,2,1,4.0,,1,,6.86
100,Alessio gnoli,1.3,1.6,1.2,0.7,4.3,0.3,0.5,,6.86
101,Hernani ,1.9,1.6,1.4,,1.4,2.6,0.3,,6.86
102,Riccardo Gagliolo ,1.8,1.6,1,0.2,2.4,0.9,0.6,,6.85
103,Etrit Berisha ,0.1,,,,0.8,,,,6.85
104,Simon Kjaer,1.5,1,0.7,0.9,3.4,0.5,1.1,,6.85
105,Matteo Scozzarella ,1.4,1.7,0.7,,1.6,0.9,0.9,,6.85
