,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Cristiano Ronaldo,0.3,0.2,0.6,,1,0.3,0.1,,7.68
1,Papu Gómez,0.5,0.5,0.7,,0.1,0.7,,,7.64
2,Josip Ilicic,0.5,0.2,0.6,,,0.5,,,7.39
3,Suso,0.8,0.5,0.9,,,0.9,,,7.39
4,Rodrigo de Paul,1.5,0.9,0.8,,0.3,0.8,0.1,,7.37
5,Pierluigi Frattali ,,,,,1,,,,7.35
6,Mario Mandzukic,1.4,0.5,1.4,,0.7,0.4,0.2,,7.34
7,Duván Zapata,0.2,0.1,1.6,,0.6,0.2,0.2,,7.32
8,Leonardo Pavoletti,1,0.2,2.5,0.1,0.8,0.3,0.1,,7.32
9,Stephan El Shaarawy,1,0.7,0.5,,0.2,0.5,0.1,,7.26
10,Fabián Ruiz,2.0,0.8,0.4,,0.9,1.0,0.1,,7.25
11,Edin Dzeko,0.4,,0.9,,1.1,0.4,,,7.24
12,Armando Izzo,2.1,2.4,1.5,0.1,3.8,0.5,0.6,,7.24
13,Andrea Belotti,0.9,0.4,1.9,0.1,0.6,0.6,0.1,,7.23
14,Dries Mertens,0.5,0.4,0.9,,0.1,0.6,,,7.2
15,João Cancelo,1.7,0.6,1.3,0.1,1.3,0.9,0.2,,7.2
16,Krzysztof Piatek,0.5,0.2,1.6,0.1,1.1,0.7,0.2,,7.2
17,Cristian Ansaldi,2.1,0.6,0.9,0.1,0.9,0.6,0.2,,7.19
18,Giacomo Bonaventura,0.8,0.9,0.6,,0.9,0.6,,,7.16
19,Lorenzo Insigne,0.5,0.3,0.3,,0.1,0.4,,,7.16
20,Domenico Criscito,3.1,2.0,1.3,0.3,3.7,0.7,0.3,,7.15
21,Alex Sandro,2.2,1.2,1.6,0.2,1.9,0.5,0.3,,7.15
22,Tiemoué Bakayoko,2.3,1.6,1.4,,1.4,1.1,0.2,,7.15
23,Sergej Milinkovic-Savic,1.4,0.9,1.9,,1.5,1.2,0.1,,7.15
24,Allan,3.2,1.1,1.5,,0.8,2.2,0.4,,7.13
25,Medhi Benatia,1.4,3.2,2.6,0.4,3.4,0.4,1,,7.13
26,Arkadiusz Milik,0.5,0.1,1.2,,0.4,0.5,0.1,,7.13
27,Aleksandar Kolarov,1.2,1.2,0.8,0.5,2.1,0.4,0.5,,7.12
28,Adrian Semper,,0.2,,,1.0,,,,7.12
29,Hakan Calhanoglu,1.4,0.8,0.8,,0.3,0.6,0.1,,7.12
30,Robin Gosens,2.3,1.4,0.9,0.3,1.7,0.6,0.1,,7.11
31,Erick Pulgar,2.3,1.8,1.1,0.1,1.8,1.8,0.2,1,7.11
32,Fabio Quagliarella,0.4,0.2,0.9,,0.5,0.4,,,7.11
33,Merih Demiral,1.7,1.4,1.9,0.9,5.6,0.2,0.8,,7.11
34,Lucas Leiva,3.4,2,1.7,,1.4,1.5,0.4,,7.11
35,Kevin Malcuit,1.8,1.9,1.0,0.1,2.3,0.5,0.2,,7.11
36,Bartlomiej Dragowski,,,0.1,,1.1,0.1,,,7.1
37,Kevin Strootman,2,3,1.0,,2,3.0,,,7.09
38,Marcelo Brozovic,3.2,1.4,1.5,,0.8,1.7,0.3,,7.08
39,Paulo Dybala,0.6,0.5,0.6,,,0.5,0.1,,7.08
40,Sime Vrsaljko,2,1.1,0.9,0.1,2.1,0.5,0.1,,7.08
41,Alessio Cragno,,0.1,,,0.8,,,,7.07
42,Federico Fazio,0.8,1.6,0.8,0.9,4.9,0.4,1,,7.07
43,Germán Pezzella,1.8,1.9,1,0.3,4.8,0.6,0.9,1,7.06
44,Kalidou Koulibaly,1.7,1.1,1.4,0.5,3.9,0.5,0.9,,7.06
45,Ivan Perisic,1,0.7,0.8,,1.4,1,0.1,1,7.06
46,Steven Nzonzi,2.2,0.9,1.1,,1.7,0.4,0.8,,7.06
47,Luis Alberto,2,0.4,0.9,,0.3,1.3,0.1,,7.05
48,Christian Kouamé,0.8,0.7,0.9,,0.6,0.3,0.1,,7.05
49,Stefano Okaka,0.8,,2.4,,0.9,0.4,0.1,,7.04
50,José Callejón,1,0.6,0.4,,0.2,1.1,0.1,,7.03
