,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Neymar,9,5,3.9,3.3,4.8,3.7,0.2,2.7,4.1,7.69
1,Kylian Mbappé,27,7,3.4,1.1,2.9,1.2,0.5,1.5,2.6,7.68
2,Andy Delort,15,9,3.0,1.8,1.0,1.4,0.6,0.8,2.5,7.6
3,Memphis Depay,20,12,3.0,2.5,2.1,1.4,0.3,1.5,3.2,7.56
4,Baptiste Santamaría,0.0,0.0,1.3,1.3,0.7,1.7,0.3,1.0,0.7,7.38
5,Yvann Maçon,1,1,0.3,0.2,1.3,1.2,0.0,1.5,1.8,7.33
6,Ángel Di María,4,9,2.2,2.6,1.5,1.0,0.3,0.8,2.1,7.33
7,Karl Toko Ekambi,14,6,2.6,1.4,1.7,0.8,0.4,0.7,2.1,7.32
8,Benjamin André,0.0,1,0.5,0.6,0.8,1.5,0.0,1.1,1.1,7.27
9,Téji Savanier,5,5,2.1,2.3,1.9,2.4,0.0,1.6,1.8,7.26
10,Gaëtan Laborde,16,8,2.6,1.0,0.9,0.8,0.2,0.8,2.7,7.25
11,Marco Verratti,0.0,2,0.5,1.1,2.3,2.4,0.0,1.4,1.4,7.24
12,Fabien Centonze,1,0.0,0.7,0.6,1.6,1.6,0.1,0.9,1.8,7.23
13,Ludovic Ajorque,16,4,2.0,1.0,0.3,1.3,0.3,0.9,2.1,7.22
14,Farid Boulaya,6,8,2.4,2.3,1.8,1.9,0.0,1.1,2.2,7.22
15,Lucas Paquetá,9,5,1.8,1.5,1.1,2.3,0.2,1.1,1.8,7.22
16,Zinedine Ferhat,6,10,1.9,1.5,1.9,2.0,0.3,1.5,2.7,7.21
17,Frédéric Guilbert,1,4,1.2,1.0,1.2,1.0,0.0,0.5,1.5,7.2
18,Romain Faivre,6,5,1.8,1.8,2.5,2.0,0.0,0.9,2.1,7.18
19,Aleksandr Golovin,5,9,1.3,1.7,0.9,0.6,0.1,0.6,1.4,7.16
20,Steve Mounié,9,4,2.3,0.5,0.4,0.8,0.6,1.1,2,7.16
21,Aurelien Tchouameni,2,3,1.5,0.5,0.6,1.7,0.0,0.9,1.4,7.16
22,Raphinha,1,2,1.8,1.5,1.7,2,0.0,0.5,1.2,7.15
23,Marçal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14
24,Burak Yilmaz,16,5,2.4,1,0.5,1.3,1,0.8,2,7.14
25,Angelo Fulgini,7,4,2,1.7,2.5,4,0.1,2.1,3,7.13
26,Amine Gouiri,12,7,2.4,1.5,1.5,1.1,0.2,1.6,2.4,7.13
27,Kiki Kouyate,1,0.0,0.5,0.1,0.1,1.2,0.2,0.2,0.5,7.1
28,Romain Philippoteaux,1,1,0.7,2,1,0.0,0.0,0.7,1.3,7.09
29,Dimitry Bertaud,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,7.09
30,Jérémy Doku,2,3,1.2,1.4,3.7,2.3,0.2,2,2.8,7.07
31,Wesley Fofana,0.0,0.0,0.3,0.3,0.5,1.3,0.3,0.3,0.0,7.07
32,Jonathan Bamba,6,9,1.6,1.7,1.4,1.8,0.1,1.9,2.3,7.07
33,Yohann Pelé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06
34,Arkadiusz Milik,9,1,3.1,0.5,0.5,1.3,0.3,0.8,2.2,7.06
35,Kevin Volland,16,7,1.6,0.9,0.5,1.3,0.4,1.1,2.3,7.06
36,Wissam Ben Yedder,20,7,2.2,1.1,0.8,1.1,0.5,1.2,1.9,7.06
