,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Neymar,5,3.3,50.9,79.6,0.9,2.0,0.4,7.69
1,Kylian Mbappé,7,1.1,30.7,80.7,0.2,0.2,0.0,7.68
2,Andy Delort,9,1.8,26.3,62.5,1.0,1.1,0.0,7.6
3,Memphis Depay,12,2.5,29.9,76.1,1.3,1.1,0.1,7.56
4,Baptiste Santamaría,0.0,1.3,50.3,86.1,0.3,2.3,0.0,7.38
5,Yvann Maçon,1,0.2,37.5,73.3,0.2,1.2,0.0,7.33
6,Ángel Di María,9,2.6,36.8,81.2,1.8,2.1,0.3,7.33
7,Karl Toko Ekambi,6,1.4,25.9,80.3,0.3,0.7,0.1,7.32
8,Benjamin André,1,0.6,57.7,84.1,0.1,2.3,0.0,7.27
9,Téji Savanier,5,2.3,40.0,74.4,2.0,4.7,0.0,7.26
10,Gaëtan Laborde,8,1.0,22.0,67.0,0.3,0.3,0.0,7.25
11,Marco Verratti,2,1.1,84.0,91.7,0.1,2.6,0.0,7.24
12,Fabien Centonze,0.0,0.6,37.8,79.5,0.6,1.0,0.1,7.23
13,Ludovic Ajorque,4,1.0,25.6,68.3,0.1,1.2,0.0,7.22
14,Farid Boulaya,8,2.3,41.4,74.4,1.4,3.5,0.1,7.22
15,Lucas Paquetá,5,1.5,40.9,81.0,0.1,1.6,0.1,7.22
16,Zinedine Ferhat,10,1.5,33.0,71.0,0.8,1.6,0.1,7.21
17,Frédéric Guilbert,4,1.0,35.7,73.1,1.3,2.5,0.0,7.2
18,Romain Faivre,5,1.8,36.6,84.8,1.2,1.5,0.0,7.18
19,Aleksandr Golovin,9,1.7,22.5,76.5,1.5,0.5,0.2,7.16
20,Steve Mounié,4,0.5,20.9,58.0,0.1,0.5,0.0,7.16
21,Aurelien Tchouameni,3,0.5,50.7,82.8,0.1,2.6,0.0,7.16
22,Raphinha,2,1.5,19.8,68.9,0.7,0.5,0.0,7.15
23,Marçal,0.0,0.0,69.0,84.1,1,11.0,0.0,7.14
24,Burak Yilmaz,5,1,17.9,77.6,0.0,0.2,0.0,7.14
25,Angelo Fulgini,4,1.7,45.7,83.2,0.9,2.1,0.2,7.13
26,Amine Gouiri,7,1.5,30.9,79.6,0.5,0.9,0.1,7.13
27,Kiki Kouyate,0.0,0.1,34.9,80.8,0.0,1.4,0.0,7.1
28,Romain Philippoteaux,1,2,21.3,68.8,1,0.7,0.0,7.09
29,Dimitry Bertaud,0.0,0.0,29.6,64.3,0.0,12.1,0.0,7.09
30,Jérémy Doku,3,1.4,30.1,83.4,0.5,0.6,0.0,7.07
31,Wesley Fofana,0.0,0.3,44.0,83.0,0.0,2.3,0.0,7.07
32,Jonathan Bamba,9,1.7,38.6,82.6,1.1,1.3,0.0,7.07
33,Yohann Pelé,0.0,0.0,16.0,93.8,0.0,0.0,0.0,7.06
34,Arkadiusz Milik,1,0.5,19.7,75.9,0.1,0.3,0.0,7.06
35,Kevin Volland,7,0.9,21.6,67.8,0.2,0.5,0.1,7.06
36,Wissam Ben Yedder,7,1.1,23.4,74.2,0.1,0.6,0.1,7.06
37,Ludovic Blas,4,0.8,25.9,80.7,0.2,1.3,0.1,7.06
38,José Fonte,0.0,0.3,65.7,90.4,0.1,4.1,0.0,7.05
39,Reinildo,0.0,0.6,44.1,81.3,0.7,1.3,0.0,7.05
40,Marquinhos,1,0.1,69.2,93.0,0.0,4.2,0.0,7.05
41,Pape Abou Cissé,0.0,0.2,48.4,76.7,0.0,4.8,0.0,7.03
42,Rafinha,4,1.0,50.1,90.9,0.3,1.3,0.1,7.02
43,Mahdi Camara,2,0.6,42.9,86.4,0.3,1.9,0.0,7.01
44,Léo Dubois,4,1.8,47.2,83.0,1.7,1.9,0.0,7.0
45,Mehmet Zeki Çelik,2,0.8,45.2,78.6,0.4,2.0,0.0,7.0
46,Sven Botman,0.0,0.1,70.0,86.5,0.0,3.8,0.0,6.99
47,Florian Thauvin,8,1.6,32.8,79.1,1.2,1.6,0.1,6.98
48,Mathieu Debuchy,1,0.7,33.8,72.6,0.8,1.7,0.0,6.97
49,Marcelo,0.0,0.2,60.6,88.2,0.0,3.9,0.0,6.97
50,Alfred Gomis,0.0,0.0,31.2,59.6,0.0,7.2,0.0,6.96
51,Massadio Haïdara,1,0.7,41.3,82.2,0.4,2.2,0.0,6.96
52,Moise Kean,0.0,0.3,11.6,78.8,0.1,0.3,0.0,6.95
53,Sofiane Diop,1,0.9,29.2,80.6,0.3,1.0,0.0,6.95
54,Loic Badé,0.0,0.2,63.0,85.5,0.1,3.6,0.0,6.95
55,Tinotenda Kadewere,3,0.6,17.9,75.2,0.2,0.4,0.0,6.94
56,Boubacar Kamara,2,0.7,58.0,86.7,0.0,3.0,0.0,6.94
57,Nayef Aguerd,1,0.1,77.4,90.4,0.0,3.7,0.0,6.94
58,Valentin Rongier,2,0.5,52.7,86.3,0.1,1.7,0.0,6.93
59,Vincent Pajot,0.0,0.3,41.8,88.8,0.2,2.6,0.0,6.93
60,Laurent Koscielny,2,0.3,51.1,90.1,0.0,3.8,0.0,6.92
61,Brendan Chardonnet,1,0.2,50.6,82.6,0.0,4.9,0.0,6.92
62,Dimitri Payet,10,2,36.5,78.9,1.4,1.5,0.1,6.92
63,Serhou Guirassy,1,1,18.0,76.1,0.0,0.8,0.0,6.91
64,Lilian Brassier,1,0.5,60.9,82.5,0.2,5.4,0.1,6.91
65,Randal Kolo Muani,4,1,16.0,67.3,0.1,0.2,0.1,6.91
66,Pol Lirola,2,1,32.3,78.3,0.7,1.7,0.0,6.9
67,Keylor Navas,0.0,0.0,21.6,85.6,0.0,3.2,0.0,6.9
68,Jeff Reine-Adélaïde,0.0,1,18.0,83.3,1,0.0,0.0,6.9
69,Jeff Reine-Adélaïde,2,1.2,40.3,86.3,0.4,1.9,0.2,6.9
70,Yunis Abdelhamid,0.0,0.1,53.2,85.7,0.0,2.4,0.0,6.89
71,Hatem Ben Arfa,4,1.3,33.1,85.6,0.9,1.6,0.2,6.89
72,Habib Maïga,3,0.8,44.7,82.7,0.1,2.4,0.0,6.89
73,Hamari Traoré,1,1.0,56.5,86.0,0.7,2.3,0.0,6.89
74,Alexander Djiku,0.0,0.1,44.6,84.5,0.0,3.8,0.0,6.88
75,Jonathan Clauss,6,1.5,28.8,77.2,1.4,1.3,0.0,6.88
76,Gelson Martins,2,0.8,25.8,85.3,0.3,0.4,0.0,6.88
77,Martin Terrier,7,1.2,22.9,80.1,0.1,0.6,0.0,6.88
78,Armand Laurienté,5,1.3,16.4,83.8,0.9,0.4,0.0,6.88
79,Cheick Oumar Doucouré,1,0.8,43.8,86.6,0.0,2.8,0.0,6.87
80,Yoane Wissa,4,0.8,18.8,76.4,0.1,0.4,0.1,6.86
81,Maxwel Cornet,5,0.7,38.7,80.8,0.4,1.6,0.0,6.86
82,Luiz Araújo,2,0.8,20.3,78.0,0.1,1.2,0.0,6.86
83,Benjamin Bourigeaud,5,1.6,44.9,82.1,1.8,3.1,0.0,6.86
