,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Cristiano Ronaldo,21,8,5.7,1.5,1.5,1.6,0.9,1.3,1.7,7.68
1,Papu Gómez,7,11,3,3.2,2.2,2.7,0.1,2.2,1.9,7.64
2,Josip Ilicic,12,7,3.3,2.1,2.5,2.5,0.2,2.5,2.4,7.39
3,Suso,7,10,2.7,2.8,1.9,2.3,0.2,1.8,1.8,7.39
4,Rodrigo de Paul,9,8,2.4,2.7,2.3,2.6,0.0,1.8,2.4,7.37
5,Pierluigi Frattali ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35
6,Mario Mandzukic,9,6,1.2,1.2,0.2,1.4,0.3,0.8,1.1,7.34
7,Duván Zapata,23,7,3.2,1.8,1.1,2.2,0.8,2.5,4.1,7.32
8,Leonardo Pavoletti,16,1,2.6,0.8,0.3,1.1,0.7,1,2.3,7.32
9,Stephan El Shaarawy,11,3,2.5,1.3,1.6,1.3,0.4,0.8,1.9,7.26
10,Fabián Ruiz,5,4,1.9,2.3,1.3,0.8,0.1,1.1,1.0,7.25
11,Edin Dzeko,9,6,4.0,1.4,1.0,1.1,0.4,1.5,2.2,7.24
12,Armando Izzo,4,1,0.7,0.3,0.2,1.6,0.1,0.3,0.4,7.24
13,Andrea Belotti,15,3,3.4,0.9,1.0,3.0,0.8,2.1,3.1,7.23
14,Dries Mertens,16,11,2.5,2.0,0.5,0.8,0.4,0.8,1.2,7.2
15,João Cancelo,1,3,1.0,1.4,2.4,1.0,0.0,0.9,1.4,7.2
16,Krzysztof Piatek,13,0.0,4.1,0.8,0.4,1.8,0.6,1.2,2.5,7.2
17,Cristian Ansaldi,3,2,1.6,1.5,2.2,1.3,0.1,1.4,2.0,7.19
18,Giacomo Bonaventura,3,1,3.4,1.3,1.3,1.0,0.1,1.3,1.5,7.16
19,Lorenzo Insigne,10,6,4.3,2.3,0.9,0.5,0.6,1.0,1.6,7.16
20,Domenico Criscito,2,4,0.9,1.4,0.6,1.4,0.1,0.3,0.5,7.15
21,Alex Sandro,1,2,0.7,1.2,0.9,1.6,0.1,0.8,1.1,7.15
22,Tiemoué Bakayoko,1,1,0.8,0.8,2,2.3,0.0,1.4,1.8,7.15
23,Sergej Milinkovic-Savic,5,3,2.5,1.5,1.1,1.1,0.4,1.5,2.1,7.15
24,Allan,1,3,0.8,1,1.2,1.9,0.0,1.3,1,7.13
25,Medhi Benatia,0.0,0.0,0.6,0.0,0.4,0.6,0.0,0.4,0.0,7.13
26,Arkadiusz Milik,17,3,3.2,1.1,0.2,0.8,0.5,0.7,1.3,7.13
27,Aleksandar Kolarov,8,2,1.3,1.8,0.9,1.2,0.0,0.5,0.8,7.12
28,Adrian Semper,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7.12
29,Hakan Calhanoglu,3,6,2.8,2.3,0.9,1.1,0.1,1,1.9,7.12
30,Robin Gosens,3,2,0.9,0.6,0.7,1.1,0.3,0.3,1.4,7.11
