,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
75,Jordan Veretout,3,2.3,55.0,81.8,1.1,3.9,0.1,6.96
76,Ciro Immobile,6,1.5,25.3,77.4,0.1,0.6,0.1,6.96
77,Roberto Gagliardini,0.0,0.7,41.8,87.4,0.1,1.2,0.1,6.96
78,Franck Kessié,2,1.3,49.7,87.0,0.1,1.6,0.0,6.95
79,Pietro Terracciano,0.0,0.0,24.0,58.3,0.0,3.5,0.0,6.95
80,Francesco Acerbi,1,0.3,48.0,87.0,0.0,3.7,0.0,6.95
81,Timothy Castagne,2,1.0,36.3,83.7,0.4,0.9,0.0,6.95
82,Nikola Milenkovic,0.0,0.1,48.5,79.9,0.1,3.6,0.0,6.94
83,Nicolas Nkoulou,0.0,0.1,39.2,89.8,0.0,2.9,0.0,6.94
84,Cristián Zapata,0.0,0.3,49.0,92.0,0.0,1.6,0.0,6.93
85,Kwadwo Asamoah,1,1.0,60.5,89.0,0.6,3.5,0.0,6.93
86,Samir,0.0,0.4,33.9,81.6,0.2,1.4,0.0,6.93
87,Manuel Lazzari ,8,1.7,31.1,82.1,2,0.6,0.0,6.93
88,Nicola Murru,5,0.9,46.1,78.4,0.8,2.1,0.0,6.93
89,Federico Santander,3,1.2,16.7,60.8,0.1,0.2,0.0,6.92
90,Rodrigo Palacio,6,1.4,25.2,77.3,0.4,0.5,0.0,6.92
91,Matteo Politano,6,1.8,33.8,80.1,1.6,1.6,0.0,6.92
92,Cristiano Biraghi,4,1.7,37.3,75.9,1.7,1.8,0.0,6.92
93,Rade Krunic,7,1.6,39.4,80.8,0.1,1.3,0.2,6.91
94,Hans Hateboer,5,1.4,45.1,84.5,0.5,0.9,0.0,6.91
95,Stefano Sensi,4,1.9,48.1,89.5,1.1,2.6,0.1,6.91
96,Cédric Soares,1,1.5,39.0,80.1,2,1.3,0.0,6.9
97,Faouzi Ghoulam,3,1.6,49.6,89.3,1.4,1.4,0.1,6.9
98,Milan Skriniar,1,0.2,68.6,92.6,0.0,3.6,0.0,6.89
99,Alessandro Florenzi,2,1.4,39.5,78.2,1.4,2.7,0.1,6.89
100,Danilo D'Ambrosio,5,1.1,54.5,84.6,0.7,3.0,0.1,6.89
101,Diego Perotti,0.0,1.4,22.9,81.5,0.6,0.5,0.0,6.89
102,Radja Nainggolan,3,1.4,33.1,84.3,0.3,1.8,0.1,6.89
103,Kostas Manolas,1,0.1,38.4,87.9,0.0,2.7,0.0,6.89
104,Mattia De Sciglio,1,0.6,45.9,82.8,0.5,3.0,0.0,6.89
105,Pietro Terracciano,0.0,0.0,25.4,76.8,0.0,4.5,0.0,6.88
106,Soualiho Meité,4,0.9,32.8,82.2,0.2,1.6,0.1,6.88
107,Juan Musso,0.0,0.0,26.4,56.1,0.0,9.2,0.0,6.88
108,Lucas Biglia,0.0,0.8,51.9,90.4,0.1,3.6,0.0,6.88
109,Gervinho ,2,0.7,17.0,82.1,0.0,0.2,0.1,6.88
110,Daniele Baselli,1,1.3,34.1,80.2,0.7,1.4,0.1,6.88
111,Ola Aina,3,0.8,29.2,78.2,0.5,1.4,0.0,6.88
112,Koffi Djidji,0.0,0.0,34.8,82.9,0.0,2.5,0.0,6.87
113,Luis Muriel,0.0,1,19.1,62.4,0.3,0.4,0.1,6.87
114,Riccardo Orsolini,5,0.6,17.9,69.4,0.7,0.8,0.0,6.87
115,Nikola Maksimovic,0.0,0.2,50.4,92.9,0.0,2.7,0.0,6.87
116,Vitor Hugo,2,0.3,43.2,87.0,0.0,2.4,0.0,6.87
117,Ali Adnan,0.0,1,28.3,70.6,1,1.3,0.0,6.87
118,Silvio Proto,0.0,0.0,29.5,67.8,0.0,9.5,0.0,6.87
119,Gianluca Mancini,2,0.4,44.0,82.8,0.1,1.8,0.0,6.86
120,Riccardo Gagliolo ,2,0.5,35.3,76.1,0.1,2.3,0.0,6.86
121,Ignacio Pussetto,4,0.6,18.5,69.3,0.1,0.2,0.0,6.86
122,Alessio gnoli,0.0,0.2,55.2,91.2,0.0,2.8,0.0,6.86
123,Luigi Sepe ,0.0,0.0,29.1,59.3,0.0,9.5,0.0,6.85
124,Juan Cuadrado,2,1.7,41.2,88.1,0.7,2.9,0.0,6.85
125,Berat Djimsiti,2,0.3,43.1,90.8,0.0,2.9,0.0,6.85
126,Marko Pajac,2,1,27.6,83.3,0.8,1.3,0.0,6.85
127,Blaise Matuidi,2,0.7,39.6,87.6,0.1,1.6,0.0,6.85
128,Gonzalo Higuaín,1,1.3,22.1,83.7,0.1,2.1,0.1,6.85
129,Stefan de Vrij,0.0,0.2,59.6,91.6,0.0,3.5,0.0,6.85
130,Gianluigi Donnarumma,0.0,0.1,26.9,80.1,0.0,5.6,0.0,6.85
131,Roberto Soriano,2,1.5,35.2,81.6,0.3,0.7,0.1,6.85
132,Lorenzo Tonelli,0.0,0.1,62.4,88.8,0.0,2.6,0.0,6.85
133,Marco Parolo,3,0.9,30.2,78.1,0.3,1.2,0.0,6.85
134,Ricardo Rodríguez,3,0.6,52.4,87.1,0.7,3.6,0.0,6.84
135,Mauro Icardi,4,1.2,14.1,71.1,0.2,0.4,0.0,6.84
136,Rodrigo Bentancur,3,0.8,39.0,87.2,0.3,2.1,0.0,6.84
137,Wojciech Szczesny,0.0,0.0,22.1,79.2,0.0,6.3,0.0,6.84
138,José Luis Palomino,1,0.2,43.3,88.3,0.1,2.2,0.0,6.84
139,Rômulo,1,1.2,32.2,88.2,1.4,0.6,0.0,6.84
140,Joachim Andersen,1,0.3,63.4,88.8,0.0,5.9,0.0,6.84
141,Davide Calabria,1,0.8,47.4,83.1,0.5,1.9,0.0,6.84
142,Daniele Rugani,0.0,0.0,51.5,90.0,0.0,2.1,0.0,6.84
143,Thiago Cionek ,3,0.5,47.6,80.9,0.3,2.8,0.0,6.83
144,Iago Falque,4,1.9,32.0,83.1,0.9,1.4,0.1,6.83
145,Gregoire Defrel,3,0.7,21.5,84.4,0.2,0.2,0.0,6.82
146,Fabrizio Cacciatore,2,0.9,44.3,80.6,0.9,2.9,0.0,6.82
147,Danilo,0.0,0.3,41.9,77.2,0.1,4.9,0.0,6.82
148,Nicola Sansone,4,1.3,23.1,77.2,0.3,0.4,0.1,6.81
149,Luiz Felipe,1,0.2,40.0,84.3,0.1,2.6,0.0,6.81
150,Cristian Romero,2,0.1,30.1,81.0,0.0,2.1,0.0,6.81
151,Raúl Albiol,0.0,0.3,56.4,89.4,0.1,6.6,0.1,6.81
152,Andrea Petagna ,1,0.8,20.2,79.6,0.3,1.3,0.0,6.81
153,Paolo Gozzi Iweru,0.0,0.0,55.0,90.9,0.0,1.0,0.0,6.81
154,Bryan Cristante,3,0.8,36.9,82.2,0.1,2.1,0.1,6.81
155,Rafael Tolói,3,0.6,56.1,85.1,0.0,3.2,0.1,6.81
156,Lucas Castro,3,1.3,36.8,80.0,0.8,0.9,0.0,6.81
157,Mohamed Fares ,0.0,1.1,32.1,78.4,0.9,0.9,0.0,6.81
158,Amin Younes,2,0.8,25.8,90.3,0.0,0.6,0.0,6.8
159,Leonardo Bonucci,0.0,0.3,55.7,86.6,0.1,5.7,0.0,6.8
160,Jeremie Boga,1,0.6,18.4,87.0,0.0,0.2,0.0,6.8
161,Daniele De Rossi,2,0.9,51.4,87.5,0.1,4.2,0.2,6.8
162,Salvador Ichazo,0.0,0.0,26.0,53.8,0.0,9.0,0.0,6.8
163,Orestis Karnezis,0.0,0.0,23.0,63.8,0.0,3.4,0.0,6.79
164,Karol Linetty,3,0.9,39.1,84.1,0.1,1.2,0.1,6.79
165,Simone Missiroli ,0.0,0.8,44.0,82.9,0.2,1.6,0.0,6.78
166,Pol Lirola,6,1.1,39.5,78.8,0.7,1.4,0.0,6.78
167,Samir Handanovic,0.0,0.0,25.3,80.9,0.0,4.9,0.0,6.78
168,Roberto Inglese ,1,0.6,15.3,67.5,0.1,0.2,0.0,6.78
169,Kevin Bonifazi ,1,0.3,44.7,87.6,0.1,2.3,0.0,6.78
170,Alex Meret,0.0,0.0,22.1,73.8,0.0,3.7,0.0,6.77
171,Manuel Locatelli,4,1.4,40.8,87.3,0.3,1.6,0.1,6.77
172,Gianluca Caprari,2,0.7,19.6,82.2,0.6,0.6,0.0,6.76
173,Thomas Strakosha,0.0,0.0,26.3,64.9,0.0,6.7,0.0,6.76
174,Luca Cigarini,1,1.3,51.8,80.0,1.2,3.4,0.1,6.76
175,Gastón Ramírez,4,1.2,29.4,78.8,0.8,0.9,0.1,6.76
176,Mattia Bani,0.0,0.1,41.2,81.0,0.0,3.8,0.0,6.76
177,Matías Vecino,1,0.7,36.8,82.4,0.1,1.1,0.0,6.75
178,Sami Khedira,1,0.6,35.1,85.8,0.1,0.4,0.0,6.75
179,Giovanni Di Lorenzo,3,1.1,48.0,80.1,0.5,1.6,0.1,6.75
180,Rômulo,2,1.4,30.1,79.3,1.4,1.3,0.0,6.74
181,Omar Colley,0.0,0.2,52.6,88.0,0.0,2.9,0.0,6.74
182,Federico Peluso,0.0,0.0,50.6,84.7,0.1,2.3,0.0,6.74
183,Nicolò Barella,3,1.2,51.7,81.8,0.6,2.9,0.1,6.73
184,Marvin Zeegelaar,0.0,0.4,24.3,86.3,0.2,0.8,0.0,6.73
