,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
28,Adrian Semper,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,28.2,53.3,0.0,8.0,0.0
29,Hakan Calhanoglu,1.4,0.8,0.8,0.0,0.3,0.6,0.1,0.0,3.0,6.0,2.8,2.3,0.9,1.1,0.1,1.0,1.9,6.0,2.3,47.5,85.2,0.8,3.6,0.1
30,Robin Gosens,2.3,1.4,0.9,0.3,1.7,0.6,0.1,0.0,3.0,2.0,0.9,0.6,0.7,1.1,0.3,0.3,1.4,2.0,0.6,34.9,78.9,0.6,1.0,0.0
31,Erick Pulgar,2.3,1.8,1.1,0.1,1.8,1.8,0.2,1.0,6.0,2.0,1.2,2.1,0.4,1.2,0.0,0.7,1.2,2.0,2.1,51.4,83.9,1.2,3.6,0.0
32,Fabio Quagliarella,0.4,0.2,0.9,0.0,0.5,0.4,0.0,0.0,26.0,8.0,3.8,1.0,0.5,1.6,1.0,1.4,2.5,8.0,1.0,23.1,69.1,0.2,0.6,0.0
33,Merih Demiral,1.7,1.4,1.9,0.9,5.6,0.2,0.8,0.0,2.0,0.0,0.5,0.1,0.3,0.3,0.1,0.1,0.1,0.0,0.1,50.4,87.0,0.0,1.7,0.0
34,Lucas Leiva,3.4,2.0,1.7,0.0,1.4,1.5,0.4,0.0,0.0,2.0,0.6,1.1,0.4,0.7,0.1,0.9,0.3,2.0,1.1,51.0,87.9,0.4,2.6,0.1
35,Kevin Malcuit,1.8,1.9,1.0,0.1,2.3,0.5,0.2,0.0,0.0,2.0,0.5,0.9,1.4,0.9,0.1,0.8,1.6,2.0,0.9,41.2,85.9,1.0,1.4,0.0
36,Bartlomiej Dragowski,0.0,0.0,0.1,0.0,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,28.2,60.0,0.0,4.9,0.0
37,Kevin Strootman,2.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,36.0,77.8,0.0,0.0,1.0
