,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Lionel Messi,0.5,0.2,0.6,0.0,0.0,0.0,30.0,9.0,5.6,2.2,4.5,2.8,0.2,2.5,1.6,9.0,2.2,64.2,85.1,1.0,2.0,0.2
1,Ángel Jiménez,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,45.2,0.0,9.0,0.0
2,Gerard Moreno,0.7,0.5,1.3,0.8,0.1,0.0,23.0,7.0,2.9,1.3,2.2,1.8,0.6,1.8,2.8,7.0,1.3,32.0,69.7,0.4,1.8,0.2
3,Karim Benzema,0.2,0.2,0.5,0.7,0.1,0.0,23.0,9.0,3.6,1.1,1.1,0.7,0.7,1.1,1.7,9.0,1.1,35.6,84.6,0.1,1.3,0.1
4,Ansu Fati,1.3,0.4,0.9,0.0,0.0,0.0,4.0,0.0,2.0,1.3,1.6,1.6,0.3,1.1,1.6,0.0,1.3,28.1,83.8,0.3,0.0,0.1
5,Casemiro,2.5,2.1,1.6,1.6,0.5,0.0,6.0,4.0,1.4,0.7,0.4,1.6,0.1,0.8,0.9,4.0,0.7,56.8,83.9,0.1,4.4,0.0
6,Iago Aspas,0.3,0.5,0.7,0.6,0.1,0.0,14.0,13.0,1.5,1.9,1.8,1.6,0.4,0.8,1.7,13.0,1.9,37.1,78.8,0.2,1.5,0.2
7,Marcos Llorente,1.9,0.8,1.6,0.6,0.1,0.0,12.0,11.0,1.3,1.2,1.1,1.0,0.2,1.4,1.1,11.0,1.2,33.6,84.6,0.4,1.3,0.1
8,Mikel Merino,2.3,1.2,3.0,1.0,0.3,0.0,2.0,4.0,1.3,1.1,1.2,2.1,0.1,1.0,1.6,4.0,1.1,45.3,76.7,0.1,2.1,0.2
9,Toni Kroos,1.5,0.5,1.0,0.3,0.2,0.0,3.0,10.0,1.2,2.4,0.6,1.1,0.0,0.3,0.5,10.0,2.4,72.2,93.6,1.3,8.2,0.1
10,Joselu,0.7,0.4,1.2,1.5,0.1,0.0,11.0,3.0,2.5,0.8,0.8,2.0,0.4,1.0,2.4,3.0,0.8,27.4,58.6,0.1,0.9,0.0
11,Kieran Trippier,2.2,1.4,1.1,1.7,0.1,0.0,0.0,6.0,0.1,1.2,0.7,0.5,0.2,0.3,0.8,6.0,1.2,53.2,79.4,1.2,2.4,0.1
