,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Lionel Messi,30,9,5.6,2.2,4.5,2.8,0.2,2.5,1.6,8.52
1,Ángel Jiménez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24
2,Gerard Moreno,23,7,2.9,1.3,2.2,1.8,0.6,1.8,2.8,7.62
3,Karim Benzema,23,9,3.6,1.1,1.1,0.7,0.7,1.1,1.7,7.57
4,Ansu Fati,4,0.0,2,1.3,1.6,1.6,0.3,1.1,1.6,7.38
5,Casemiro,6,4,1.4,0.7,0.4,1.6,0.1,0.8,0.9,7.36
6,Iago Aspas,14,13,1.5,1.9,1.8,1.6,0.4,0.8,1.7,7.32
7,Marcos Llorente,12,11,1.3,1.2,1.1,1,0.2,1.4,1.1,7.26
8,Mikel Merino,2,4,1.3,1.1,1.2,2.1,0.1,1,1.6,7.24
9,Toni Kroos,3,10,1.2,2.4,0.6,1.1,0.0,0.3,0.5,7.22
10,Joselu,11,3,2.5,0.8,0.8,2,0.4,1,2.4,7.22
11,Kieran Trippier,0.0,6,0.1,1.2,0.7,0.5,0.2,0.3,0.8,7.2
12,Lucas Vázquez,2,5,0.9,1.8,1.3,1.3,0.1,0.9,1.9,7.2
13,Geoffrey Kondogbia,0.0,0.0,0.8,0.0,2.2,2,0.0,0.2,0.4,7.19
14,Diego Llorente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18
15,Antoine Griezmann,13,7,2,1.2,0.7,0.9,0.4,0.6,0.9,7.17
16,Javi Galán,1,2,0.2,1.1,3.3,2.6,0.1,1.1,1.8,7.16
17,Yannick Carrasco,6,10,1.4,1.6,2.2,1.1,0.1,1.7,2,7.16
18,Luis Suárez,21,3,3.3,0.8,0.4,1.3,1,0.8,1.9,7.16
19,Luka Modric,5,3,1.3,1.4,1.6,0.9,0.0,0.9,1.2,7.15
20,Frenkie de Jong,3,4,0.5,1.3,1.6,1.2,0.1,0.7,0.9,7.13
21,Nabil Fekir,5,5,2.6,1.5,2.6,2.8,0.4,2.5,2.4,7.12
22,José Campaña,1,2,1.4,1.6,2.6,1.4,0.1,1.4,1.9,7.12
23,Daniel Parejo,3,4,0.8,1.2,1.0,1.7,0.0,0.6,0.6,7.1
24,Thomas Partey,0.0,0.0,1.7,0.0,2.3,0.3,0.0,0.3,0.0,7.09
25,Jony Álamo,0.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,1,7.09
