,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Lionel Messi,0.5,0.2,0.6,,,0.3,,,8.52
1,Ángel Jiménez,,,,,2,,,,8.24
2,Gerard Moreno,0.7,0.5,1.3,,0.8,0.8,0.1,,7.62
3,Karim Benzema,0.2,0.2,0.5,,0.7,0.3,0.1,,7.57
4,Ansu Fati,1.3,0.4,0.9,,,1.1,,,7.38
5,Casemiro,2.5,2.1,1.6,0.1,1.6,1.2,0.5,,7.36
6,Iago Aspas,0.3,0.5,0.7,,0.6,0.6,0.1,,7.32
7,Marcos Llorente,1.9,0.8,1.6,,0.6,1,0.1,,7.26
8,Mikel Merino,2.3,1.2,3,,1,1,0.3,,7.24
9,Toni Kroos,1.5,0.5,1,,0.3,1.2,0.2,,7.22
10,Joselu,0.7,0.4,1.2,0.1,1.5,0.5,0.1,,7.22
11,Kieran Trippier,2.2,1.4,1.1,0.2,1.7,0.9,0.1,,7.2
12,Lucas Vázquez,2.5,0.8,1.3,0.1,1.0,1.3,,,7.2
13,Geoffrey Kondogbia,3.2,1.6,1.6,,1.6,2.4,0.2,,7.19
14,Diego Llorente,1.0,2.0,2.0,,4.0,1.0,1,,7.18
15,Antoine Griezmann,1.0,0.3,0.4,,0.3,0.8,,,7.17
16,Javi Galán,2.4,1.1,1.6,0.2,1.4,0.7,0.1,,7.16
17,Yannick Carrasco,0.9,0.6,1.0,,0.3,0.6,,,7.16
18,Luis Suárez,0.3,0.2,0.7,,0.4,0.3,,,7.16
19,Luka Modric,1.1,1.4,0.9,,0.3,0.7,0.1,,7.15
20,Frenkie de Jong,1.2,1.0,0.7,,0.7,0.5,0.1,,7.13
21,Nabil Fekir,1.4,0.2,2.4,,,1.1,0.1,,7.12
22,José Campaña,1.6,1.4,0.8,0.1,0.4,1.0,,,7.12
23,Daniel Parejo,1.8,1.3,0.9,,0.5,1.3,0.2,,7.1
24,Thomas Partey,2.3,0.7,1.7,,0.3,1.0,0.3,,7.09
25,Jony Álamo,2.0,1.0,,,,1.0,,,7.09
26,Carlos Soler,1.3,0.7,0.8,,1.3,1.0,0.3,,7.05
27,Mikel Oyarzabal,0.9,0.5,0.7,,0.4,0.6,0.2,,7.05
28,Alexander Isak,0.3,0.1,0.8,0.1,0.2,0.1,,,7.03
29,Rober Correa,1.1,1.3,0.5,0.6,1.9,0.3,0.1,,7.01
30,Ousmane Dembélé,0.5,0.3,0.5,,,0.4,,,7.01
31,Jules Koundé,0.8,1.2,0.6,0.2,2.9,0.4,0.5,,7.01
32,Fernando,1.7,1.3,1.3,0.1,2,0.6,0.4,,7.0
33,Jordi Alba,1.3,1.4,0.6,0.1,0.9,0.8,0.1,1,7.0
34,David Silva,0.9,0.6,1.1,,0.3,0.6,,,6.99
35,Emerson Royal,2.7,1.8,1.7,0.5,2.5,1,0.2,1,6.98
36,Bryan Gil,1,0.6,0.9,,0.2,0.6,,,6.96
37,Manu Sánchez,,,,,,1,,,6.96
38,Sergio Barcia,1,3,2,,8,,1,,6.96
39,Sergio Ramos,1,1.3,1.1,0.4,2.6,0.3,0.3,,6.96
40,Sergio Canales,0.5,0.4,0.5,,0.2,0.6,,,6.95
41,Guido Rodríguez,2.8,1.9,1.7,,1.5,1.3,0.4,,6.95
42,Kike García,0.6,0.2,1.8,,0.8,0.4,,,6.95
43,Ángel Correa,1.0,0.6,1.0,,0.3,0.8,,,6.94
44,Daniel Carvajal,2.1,1.0,1.3,,1.4,0.7,0.1,,6.93
45,Lucas Ocampos,1.1,0.6,1.0,0.1,0.8,0.7,,,6.93
46,Stefan Savic,1.2,1.3,0.8,0.2,3.1,0.4,0.6,,6.91
47,Koke,1.7,1.0,1.2,,1.0,1.9,0.2,,6.9
48,Maximiliano Gómez,0.4,0.1,1.7,,1.1,0.4,0.1,,6.9
49,Suso,0.6,0.2,0.7,,0.2,0.9,,,6.89
50,Jesús Navas,0.8,1.1,0.3,0.1,1.6,0.2,0.1,,6.88
51,Sergio Busquets,1.8,1.5,1.3,,0.5,1.4,0.1,,6.88
52,Renato Tapia,2.9,1.7,2,,2.1,1.6,0.4,,6.88
53,Youssef En-Nesyri,0.4,0.2,0.7,,0.6,0.4,,,6.87
54,Jan Oblak,,,,,0.5,,,1,6.87
55,Santi Mina,0.9,0.2,1.9,,0.5,0.9,0.1,,6.87
56,Eder Militão,1.4,1.4,1.1,0.2,2.9,0.4,0.4,,6.86
57,Fidel,1.5,0.5,1,,0.4,1.3,0.1,,6.86
58,Mauro Arambarri,1.9,1.2,1.7,,0.7,1.7,0.1,,6.86
59,Raphaël Varane,0.7,1.2,0.5,0.4,3.5,0.3,0.6,1,6.85
60,Jasper Cillessen,,,,,0.3,,,,6.84
61,Marcos Acuña,2.1,0.8,1.5,0.1,0.8,0.6,0.1,,6.84
62,Ferland Mendy,1,1,0.8,,0.9,0.5,0.2,,6.84
63,David García,0.7,1.7,1.3,0.8,4.9,0.3,0.5,1,6.84
64,Jawad El Yamiq,1.1,2.4,0.7,0.3,5.2,0.2,0.5,,6.83
65,Gonçalo Guedes,0.6,0.3,0.9,,0.1,1.1,,,6.83
66,Thomas Lemar,1.1,0.4,0.6,,0.2,0.5,,,6.83
67,Yeray Álvarez,0.8,2.3,0.9,0.8,3.1,0.5,0.2,,6.83
68,Alex Berenguer,1.3,0.5,1.4,,0.5,1.2,0.1,,6.83
69,Nolito,1.9,0.6,1.4,,0.5,1.7,0.1,,6.83
70,Adnan Januzaj,0.3,0.1,0.3,0.1,0.1,0.2,0.1,,6.83
71,Iker Muniain,0.7,0.4,0.6,,0.1,0.6,,,6.82
72,Carlos Domínguez,1.3,1.5,1.8,0.8,6.0,0.8,0.8,,6.82
73,Joan Jordán,1.5,0.8,1.5,,0.7,1.7,0.1,,6.82
74,Sergio Escudero,1.3,1.0,0.9,0.2,0.7,0.7,0.2,,6.82
75,Gabriel Paulista,0.5,1.9,0.6,0.6,4.2,0.4,0.9,,6.82
76,Florian Lejeune,1.3,1.5,1.0,1.1,4.3,0.4,0.7,,6.82
77,Aridane Hernández,0.8,1.4,0.9,0.9,5.0,0.2,0.8,,6.81
78,Daniel Wass,1.5,1.3,1.0,0.2,1.8,0.9,0.4,,6.81
79,Luis Milla,1.4,1.5,1.0,,0.9,1.4,,,6.81
80,Mario Hermoso,1.8,1.2,1,0.1,2.0,0.8,0.3,1,6.8
81,Aritz Elustondo,1.3,0.7,1,0.8,2.7,0.2,0.2,1,6.8
82,Gerard Piqué,0.8,1.4,0.7,0.6,2.4,0.2,0.2,,6.8
83,Yangel Herrera,1.8,0.8,2.2,0.1,0.9,0.9,0.5,,6.79
84,Lucas Torró,1.3,1.1,1.1,0.1,1.7,0.5,0.3,,6.79
85,Ante Budimir,0.7,0.1,1,,0.5,0.4,0.1,,6.79
86,Antonio Sivera,,,,,2.0,,,,6.79
87,Philippe Coutinho,0.7,0.2,0.8,,0.1,0.5,,,6.79
88,Nacho,1.1,1.7,1.6,0.2,2.3,1,0.4,,6.78
89,Federico Valverde,1,0.9,0.5,,0.1,0.7,0.1,,6.78
90,Rubén García,1.4,0.8,1.1,,0.4,0.8,0.1,,6.78
91,José Giménez,1,1,0.9,0.1,2.9,0.2,0.5,,6.78
92,Pablo Maffeo,1,1.4,0.5,0.1,0.8,0.6,0.2,,6.78
93,Thibaut Courtois,,,,,0.6,,,,6.78
94,Mario Gaspar,2.2,1.2,0.8,0.5,1.7,0.8,0.2,,6.77
95,Óscar Mingueza,1.9,0.7,0.7,0.4,1.6,0.9,0.2,,6.76
96,Sandro Ramírez,0.7,0.5,0.9,,0.1,0.4,0.1,,6.76
97,Iza,2.1,1.5,0.5,0.3,1.9,0.8,0.4,,6.76
98,Unai Núñez,0.9,1.3,0.9,0.8,4.2,0.2,0.6,,6.76
99,Hugo Mallo,1.9,1.2,1.8,0.2,2.0,0.9,0.4,,6.76
100,Pau Torres,0.5,0.7,0.4,0.5,3.3,0.2,0.8,1,6.76
101,Dimitrios Siovas,1.3,1.7,1.1,0.4,3.3,0.3,0.5,,6.76
102,Papu Gómez,0.5,0.4,0.8,,0.2,0.6,0.1,,6.76
103,Claudio Bravo,,,,,0.9,0.1,,,6.76
104,Saúl Ñíguez,1.7,0.6,1.3,,0.9,0.9,0.1,,6.76
105,Álex Moreno,1.8,1.5,0.9,0.4,2.0,1.0,0.2,,6.75
106,Pedri,1.2,0.9,0.5,,0.1,1.5,,,6.75
107,Brais Méndez,1.7,0.9,2.3,,0.8,1.4,0.1,,6.75
108,Álvaro Negredo,0.3,0.1,0.6,0.1,0.5,0.2,0.1,,6.75
109,Sergio Herrera,,0.1,,,1.4,0.1,,,6.75
110,David Ferreiro,0.7,0.7,1.4,0.1,0.2,1.1,,,6.74
111,Ronald Araujo,0.9,0.8,0.5,0.3,1.8,,0.6,,6.74
112,Paulo Oliveira,1.4,1.9,0.9,0.6,3.5,0.5,0.5,,6.74
113,Alberto Perea,1.0,0.8,0.2,,0.2,1,,,6.73
114,Denis Suárez,1.8,0.6,1.3,,0.4,2.1,0.1,,6.73
115,João Félix,0.3,0.2,0.5,,0.1,0.4,,,6.73
116,Sergi Roberto,0.6,0.7,0.5,0.1,1.1,0.4,0.4,,6.73
117,Darwin Machís,0.9,0.7,1.0,,0.3,0.4,0.1,,6.73
118,Yuri Berchiche,1.0,0.5,0.7,0.3,1.1,0.6,,,6.73
119,Rafa Mir,0.4,0.4,1.6,0.1,0.6,0.4,0.1,,6.73
120,Rubén Sobrino,1.8,0.9,1.1,,0.7,0.6,,,6.73
121,Felipe,0.9,1.2,0.9,0.3,4.1,0.2,0.5,1,6.73
122,Antonio Blanco,1.8,0.8,1.5,,1.3,1,0.5,,6.73
123,Juan Iglesias,2.7,1.7,1.5,0.1,1.4,0.8,0.1,,6.73
124,Mathías Olivera,2,1,0.9,0.2,1.6,0.8,0.1,,6.72
125,Edu Expósito,1.6,0.7,0.9,,0.4,1.5,0.1,,6.72
126,José Gayà,1.8,1.2,0.9,0.3,1.5,1.1,0.1,,6.72
127,Juan Foyth,2.5,1.2,1.3,0.4,1.2,1.1,0.4,,6.72
128,Lucas Olaza,1.4,1.3,1,0.1,1.6,0.4,0.1,1,6.72
129,Jaume Doménech,,,,,1.1,,,,6.71
130,Rubén Duarte,1.8,2.1,1.3,0.4,1.9,0.9,0.2,,6.71
131,Yassine Bounou,,,,,0.8,0.1,,1,6.71
132,Renan Lodi,1.3,0.7,0.8,0.1,0.7,0.4,,,6.71
133,Alfonso Espino,2.9,1.3,1,0.4,1.8,1.3,0.2,,6.71
134,Marcelo,1.6,0.6,0.6,,0.6,0.8,0.1,,6.71
135,Andoni Gorosabel,2.4,0.7,1.1,0.2,1.1,1.2,0.1,,6.71
136,Thierry Correia,1.6,1.4,1.2,0.1,1.9,0.8,0.2,,6.7
137,Vicente Iborra,1.4,1.1,1.2,,1.8,1.2,0.5,,6.7
138,Marc Cucurella,1.7,1.1,1.9,,0.5,1.1,0.1,,6.7
139,Javier Ontiveros,1.1,0.5,1.4,0.1,0.3,0.9,,,6.69
140,Miguel Gutiérrez,0.7,0.8,1,0.3,0.7,1,,,6.69
