,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
375,Maurice Covic,23,Midfielder,Hertha BSC,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Maurice Malone,20,Forward,Augsburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,Max Grün,34,Goalkeeper,Borussia M'gladbach,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,Maximilian Arnold,27,Midfielder,Wolfsburg,2826,1356,1470,Germany,33,16,17,4,2,2,8,1,7,0,0,7,3,4,41,20,21,8,0,0.38,0.25,0.13,0.13,0.12,707,1.31,69,86,353,353,0.25,148,44,-1,3,1.3,0.8,1.6,1,1.4,0.2,0,4,8,1.9,2.1,0.6,2.1,0,0.9,1,8,2.1,40.8,81.1,1.4,4.2,0.1
379,Maximilian Beier,18,Forward,Hoffenheim,103,44,59,Germany,6,1,5,0,0,0,0,0,0,0,0,1,0,1,3,3,0,1,0,0,0,0,0,0,0,2.62,34,17,103,0,0.87,-1,-1,-1,25,0.8,0,0.5,0,0.2,0,0,0,0,0.8,0.2,0,0.2,0.3,0.7,0.7,0,0.2,2.7,75,0,0,0
380,Maximilian Eggestein,24,Midfielder,Werder Bremen,2856,1416,1440,Germany,32,16,16,1,0,1,3,2,1,0,0,4,1,3,62,30,32,6,0,0.13,0.09,0.03,0,0.06,2856,1.95,46,89,476,952,0.19,233,173,-1,11,1.3,1.1,1.1,1.5,0.9,0.3,0,1,3,1.4,1,0.7,1.2,0,0.9,1.3,3,1,43,78.2,0.1,1.3,0.1
381,Maximilian Mittelstädt,24,Defender,Hertha BSC,1882,878,1004,Germany,26,13,13,1,1,0,3,0,3,0,0,6,4,2,34,18,16,4,0,0.19,0.14,0.05,0.1,0,1882,1.63,55,72,471,627,0.19,207,113,90,13,2.3,2,0.9,1.9,1.1,0.2,0,1,3,0.8,0.8,0.7,0.8,0,1,1,3,0.8,33.6,72.5,0.8,3.3,0
382,Melayro Bogarde,19,Midfielder,Hoffenheim,51,0,51,Netherlands,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,26,51,0,1.76,-1,-1,-1,26,1,0,1,1.5,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,17,82.4,0,0,0
383,Michael Esser,33,Goalkeeper,Hoffenheim,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,Michael Gregoritsch,27,Forward,Schalke 04,1135,491,644,Austria,20,9,11,1,1,0,1,1,0,0,0,3,1,2,26,10,16,2,0,0.16,0.08,0.08,0.18,0,1135,2.06,44,57,568,1135,0.16,179,187,-1,11,0.3,0.5,0.5,1.2,0.7,0.2,0,0,0,0.7,1,0.2,0.5,0.2,0.5,0.7,0,1,16,67.7,0,0.5,0
