,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
423,Nils Stendera,20,Midfielder,Eintracht Frankfurt,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,Noah Katterbach,20,Midfielder,Köln,1319,675,644,Germany,18,9,9,0,0,0,0,0,0,0,0,4,4,0,30,11,19,2,0,0,0,0,0,0,0,2.05,44,73,660,0,0.14,240,276,-1,17,1.6,1.6,0.6,1.2,0.9,0.1,0,0,0,0.2,0.5,1.7,1.3,0,0.7,1.3,0,0.5,32.6,66.4,0.2,2.7,0
425,Noah-Joel Sarenren-Bazee,24,Midfielder,Augsburg,377,126,251,Nigeria,10,5,5,1,0,1,0,0,0,0,0,3,1,2,4,1,3,1,0,0.24,0,0.24,0,0.36,377,0.95,94,38,377,0,0.24,94,266,-1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,Nordi Mukiele Mulere,23,Defender,RB Leipzig,1785,893,892,France,25,12,13,3,2,1,1,0,1,0,0,8,2,6,19,11,8,1,0,0.2,0.05,0.15,0.2,0.1,595,0.96,94,71,1785,1785,0.05,131,225,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,Nuri Şahin,32,Midfielder,Werder Bremen,1258,477,781,Turkey,16,7,9,0,0,0,3,1,2,0,0,1,0,1,33,13,20,5,1,0.21,0.21,0,0,0,0,2.36,38,79,252,419,0.36,330,60,-1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,Obite Evan N'Dicka,21,Defender,Eintracht Frankfurt,1724,694,1030,France,22,10,12,1,0,1,1,0,1,0,0,2,2,0,34,12,22,3,0,0.1,0.05,0.05,0,0.09,1724,1.77,51,78,575,1724,0.16,209,224,106,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,Oliver Batista Meier,20,Forward,Bayern München,12,12,0,Germany,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,-1,-1,-1,18,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,4,75,0,0,0
430,Oliver Baumann,30,Goalkeeper,Hoffenheim,2700,1350,1350,Germany,30,15,15,0,0,0,0,0,0,0,0,7,3,4,47,32,15,1,0,0,0,0,0,0,0,1.57,57,90,2700,0,0.03,349,349,81,15,0,0.1,0,0.9,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,36.9,75.2,0,5.5,0
431,Oliver Fink,38,Midfielder,Fortuna Düsseldorf,675,387,288,Germany,14,6,8,0,0,0,1,1,0,0,0,1,1,0,16,6,10,2,0,0.13,0.13,0,0,0,0,2.13,42,48,338,675,0.27,337,129,-1,24,1.5,1.1,0.9,0.4,0.8,0.1,0,0,1,0.6,0.8,0.4,1.1,0,0.9,1.1,1,0.8,18.8,57.8,0.2,0.3,0
432,Omar Marmoush,22,Forward,Wolfsburg,76,35,41,Egypt,5,2,3,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,3.55,25,15,0,0,0,-1,-1,-1,25,0.2,0.2,0.4,0,0,0,0,0,0,0.2,0,0.4,0,0,0.6,0.6,0,0,3.2,62.5,0,0,0
433,Omar Mascarell González,28,Midfielder,Schalke 04,2029,1047,982,Spain,23,12,11,0,0,0,1,0,1,0,0,7,4,3,29,15,14,4,0,0.04,0.04,0,0,0,0,1.29,70,88,507,2029,0.18,392,237,-1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,Omar Rekik,19,Defender,Hertha BSC,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,Ömer Toprak,31,Defender,Werder Bremen,718,421,297,Turkey,10,5,5,0,0,0,0,0,0,0,0,1,0,1,14,10,4,2,0,0,0,0,0,0,0,1.75,51,72,359,0,0.25,319,332,103,28,0.7,1.2,0.6,4,0.3,0.4,1,0,0,0.4,0.1,0.6,0.5,0.2,0.8,0.7,0,0.1,46.9,89.1,0.2,2,0
436,Ondrej Duda,26,Midfielder,Hertha BSC,451,165,286,Slovakia,7,3,4,0,0,0,1,0,1,0,0,0,0,0,8,2,6,2,0,0.2,0.2,0,0,0,0,1.6,56,64,226,451,0.4,325,67,-1,27,0.9,0.7,1.7,0.7,1.3,0.1,0,0,1,1,0.7,2.6,1.6,0,1.6,1.4,1,0.7,25,80,0.3,1.1,0.1
437,Oscar Wendt,35,Defender,Borussia M'gladbach,1675,821,854,Sweden,25,12,13,2,1,1,2,1,1,0,0,5,3,2,19,8,11,3,0,0.21,0.11,0.11,0.11,0.11,838,1.02,88,67,558,838,0.16,158,144,25,10,1,0.8,0.6,1.6,0.8,0.2,0,2,2,0.4,0.9,0.2,0.3,0,0.4,0.4,2,0.9,31.5,78.9,0.7,0.8,0
438,Ozan Muhammed Kabak,21,Defender,Schalke 04,1775,847,928,Turkey,26,11,15,3,1,2,1,1,0,0,0,5,3,2,37,17,20,4,0,0.2,0.05,0.15,0.11,0.19,592,1.88,48,68,444,1775,0.2,125,221,118,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,Paco Alcácer,27,Forward,Borussia Dortmund,528,233,295,Spain,11,5,6,5,3,2,1,1,0,0,0,3,2,1,12,4,8,0,0,1.02,0.17,0.85,1.16,0.61,106,2.05,44,48,0,528,0,7,92,-1,6,0.2,0.2,0.2,0.3,0.4,0.1,0,5,1,1.5,0.5,0.2,0.3,0.6,0.5,1.1,1,0.5,10,73.6,0,0.2,0
440,Pal Dardai,22,Forward,Hertha BSC,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,Panagiotis Retsos,22,Defender,Bayer Leverkusen,114,44,70,Greece,3,1,2,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,0,0,0,0,0,0,2.37,38,38,0,0,0,-1,-1,-1,17,2,0.7,0.3,0.7,1,0,0,0,0,0,0.3,0.3,0,0,0.3,0,0,0.3,30,85.6,0,1.7,0
442,Pascal Köpke,25,Forward,Hertha BSC,119,101,18,Germany,4,3,1,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,1.51,60,30,0,0,0,-1,-1,-1,24,0,0,0.8,0,0,0,0,0,0,1.5,0,0.3,0.8,0.5,0.8,1.5,0,0,8.3,69.7,0,0.3,0
443,Patrick Herrmann,30,Midfielder,Borussia M'gladbach,1452,886,566,Germany,27,13,14,6,5,1,6,5,1,0,0,6,2,4,16,8,8,4,0,0.74,0.37,0.37,0.51,0.16,242,0.99,91,54,363,242,0.25,49,16,-1,5,0.9,0.4,1.2,0.3,0.4,0.1,0,6,6,1.5,1,0.4,0.8,0.5,0.7,1.3,6,1,16.5,76.5,0.4,0.5,0
444,Patrik Schick,25,Forward,RB Leipzig,1302,710,592,Czech Republic,22,12,10,10,6,4,2,2,0,0,0,6,1,5,12,6,6,3,0,0.83,0.14,0.69,0.76,0.61,130,0.83,109,59,434,651,0.21,9,109,-1,2,0.3,0.1,0.7,0.8,0.3,0.1,0,10,2,2.4,0.9,0.8,1,0.4,0.6,2.4,2,0.9,13.5,72,0,0.1,0
445,Paul Will,22,Midfielder,Bayern München,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,Paulo Henrique Sampaio Filho,20,Midfielder,Bayer Leverkusen,292,199,93,Brazil,13,7,6,3,2,1,2,2,0,0,0,5,2,3,2,1,1,1,0,1.54,0.62,0.92,0.9,0.97,97,0.62,146,22,292,146,0.31,4,3,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,Paulo Otavio Rosa Silva,26,Defender,Wolfsburg,380,180,200,Brazil,5,2,3,0,0,0,1,0,1,0,0,2,2,0,5,0,5,3,0,0.24,0.24,0,0,0,0,1.18,76,76,127,380,0.71,262,54,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,Pavao Pervan,33,Goalkeeper,Wolfsburg,720,360,360,Austria,8,4,4,0,0,0,0,0,0,0,0,3,2,1,7,2,5,0,0,0,0,0,0,0,0,0.88,103,90,0,0,0,318,345,11,20,0,0,0,0.6,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,28.4,63.9,0,7.6,0
449,Pavel Kadeřábek,29,Defender,Hoffenheim,2476,1253,1223,Czech Republic,30,15,15,2,2,0,7,3,4,0,0,7,3,4,38,25,13,2,0,0.33,0.25,0.07,0.14,0,1238,1.38,65,83,1238,354,0.07,189,47,57,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,Per Ciljan Skjelbred,33,Midfielder,Hertha BSC,1637,714,923,Norway,24,10,14,0,0,0,0,0,0,0,0,8,5,3,19,7,12,4,0,0,0,0,0,0,0,1.04,86,68,409,0,0.22,326,328,-1,25,2.1,1,0.9,0.7,1,0.1,0,0,0,0,0.1,0.5,0.4,0,0.2,0.6,0,0.1,29.9,82.7,0,2,0
451,Péter Gulácsi,31,Goalkeeper,RB Leipzig,2880,1530,1350,Hungary,32,17,15,0,0,0,1,0,1,0,0,10,2,8,27,18,9,0,0,0.03,0.03,0,0,0,0,0.84,107,90,0,2880,0,366,246,8,20,0,0,0,0.7,0,0,0,0,1,0,0.1,0,0,0,0,0.1,1,0.1,33.5,77.2,0,5.8,0
452,Peter Pekarík,34,Defender,Hertha BSC,770,320,450,Slovakia,9,4,5,0,0,0,0,0,0,0,0,4,3,1,10,4,6,2,0,0,0,0,0,0,0,1.17,77,86,385,0,0.23,275,262,37,17,1.6,0.8,0.8,2.8,1.3,0.4,0,0,0,0.3,0.8,0.4,0.7,0,0.1,0.7,0,0.8,35.9,77.4,0.9,2.3,0
453,Philipp Bargfrede,32,Midfielder,Werder Bremen,585,318,267,Germany,15,8,7,0,0,0,0,0,0,0,0,2,0,2,10,5,5,3,1,0,0,0,0,0,0,1.54,59,39,195,0,0.46,265,294,-1,18,1,1.1,1,1,1.1,0.1,0,0,0,0.3,0.1,0.3,0.7,0,0.1,0.6,0,0.1,17.9,73.9,0,0.4,0
454,Philipp Lienhart,24,Defender,Freiburg,1815,884,931,Austria,22,10,12,0,0,0,1,0,1,0,0,5,4,1,21,5,16,3,0,0.05,0.05,0,0,0,0,1.04,86,83,605,1815,0.15,341,222,28,25,0.5,1.3,0.4,3.7,0.3,0.8,0,0,1,0.3,0.1,0.1,1.3,0,0,0.4,1,0.1,46.8,86,0,3,0
455,Philipp Max,27,Defender,Augsburg,2713,1481,1232,Germany,31,17,14,8,5,3,6,4,2,1,0,7,3,4,48,26,22,5,0,0.46,0.2,0.27,0.3,0.22,339,1.59,57,88,543,452,0.17,77,68,84,2,1.4,0.8,0.4,1.3,0.8,0.1,0,8,6,1.2,1.9,0.3,0.5,0.1,0.4,1,6,1.9,31.2,68.9,2.1,1.9,0
456,Philipp Mwene,27,Defender,Mainz 05,316,226,90,Austria,4,3,1,0,0,0,0,0,0,0,0,2,1,1,2,2,0,1,0,0,0,0,0,0,0,0.57,158,79,316,0,0.28,267,271,3,15,2.8,0.8,0.8,2.3,1.3,0.3,0,0,0,0,0.5,0.8,0.8,0.3,0.3,2,0,0.5,23.8,58.9,0.5,2,0
457,Philipp Pentke,36,Goalkeeper,Hoffenheim,360,180,180,Germany,4,2,2,0,0,0,0,0,0,0,0,1,0,1,4,3,1,1,0,0,0,0,0,0,0,1,90,90,360,0,0.25,356,357,23,18,0,0,0,1.8,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0.3,34.3,74.5,0,5.5,0
458,Philipp Tschauner,35,Goalkeeper,RB Leipzig,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,Philippe Coutinho,28,Midfielder,Bayern München,1413,745,668,Brazil,23,12,11,8,4,4,6,4,2,1,0,11,6,5,12,5,7,0,0,0.89,0.38,0.51,0.48,0.54,177,0.76,118,61,0,236,0,21,14,-1,4,0.9,0.3,0.2,0,0.5,0.1,0,8,6,2.5,1.3,1.4,1,0.1,0.8,1.4,6,1.3,34.8,84.1,0.3,2,0.2
460,Phillip Menzel,22,Goalkeeper,Wolfsburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,Pierre Kunde Malong,25,Midfielder,Mainz 05,1872,913,959,Cameroon,28,14,14,4,0,4,0,0,0,0,0,5,2,3,43,21,22,6,0,0.19,0,0.19,0,0.38,468,2.07,44,67,312,0,0.29,110,305,-1,4,1.2,0.9,0.9,1.9,0.6,0.1,0,4,0,1.4,0.4,1.2,0.4,0,0.6,0.9,0,0.4,34.9,79.3,0.3,2.6,0
462,Rabbi Matondo,20,Forward,Schalke 04,1167,601,566,Wales,20,9,11,2,1,1,0,0,0,0,0,3,2,1,28,13,15,1,0,0.15,0,0.15,0.15,0.16,584,2.16,42,58,1167,0,0.08,136,292,-1,7,0.5,0.3,1.1,0,0.5,0,0,2,0,1.2,0.6,1.5,0.9,0.8,1.7,2.3,0,0.6,11.3,68,0.1,0.2,0
463,Rafael Czichos,31,Defender,Köln,2210,1119,1091,Germany,26,13,13,1,0,1,1,1,0,0,0,5,4,1,49,16,33,4,1,0.08,0.04,0.04,0,0.08,2210,2,45,85,553,2210,0.16,224,234,130,10,1.7,1.3,1,4.1,0.9,0.5,1,1,1,0.5,0.3,0.3,0.9,0,0.2,0.4,1,0.3,46.7,81.9,0,3.6,0
464,Rafał Gikiewicz,33,Goalkeeper,Union Berlin,2970,1530,1440,Poland,33,17,16,0,0,0,0,0,0,0,0,8,7,1,49,18,31,0,0,0,0,0,0,0,0,1.48,61,90,0,0,0,358,348,66,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,Raffael,36,Forward,Borussia M'gladbach,56,44,12,Brazil,8,6,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,20,0,0,0.1,0,0.3,0,0,0,0,1,0.5,0.3,0.4,0,0.1,0.5,0,0.5,5.3,83.3,0.1,0,0
466,Ramazan Özcan,36,Goalkeeper,Bayer Leverkusen,0,0,0,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,Ramy Bensebaini,26,Defender,Borussia M'gladbach,1450,729,721,Algeria,19,10,9,5,3,2,3,1,2,2,0,4,1,3,17,10,7,8,1,0.5,0.19,0.31,0.37,0.25,290,1.06,85,76,181,483,0.5,65,74,29,7,1.7,2,1.4,2.1,0.7,0.2,0,5,3,1.2,0.6,0.8,1.3,0.1,0.7,1.1,3,0.6,40.6,77.5,0.3,2.2,0
468,Rani Khedira,27,Midfielder,Augsburg,2658,1322,1336,Germany,32,16,16,0,0,0,2,2,0,0,0,7,3,4,50,23,27,8,0,0.07,0.07,0,0,0,0,1.69,53,83,332,1329,0.27,310,199,-1,27,1.9,1.5,1.1,1.8,0.8,0.4,0,0,2,0.3,0.4,0.1,1.1,0,0.4,0.5,2,0.4,27.3,70.1,0,1.2,0
469,Raphaël Adelino José Guerreiro,27,Defender,Borussia Dortmund,2340,1209,1131,Portugal,29,15,14,8,6,2,2,2,0,0,0,13,8,5,29,12,17,3,0,0.38,0.08,0.31,0.45,0.16,293,1.12,81,81,780,1170,0.12,63,184,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,Raphael Framberger,25,Defender,Augsburg,1171,563,608,Germany,18,9,9,0,0,0,2,2,0,0,0,5,2,3,13,8,5,3,0,0.15,0.15,0,0,0,0,1,90,65,390,586,0.23,289,107,24,22,2.4,1.1,0.9,1.2,0.4,0.5,0,0,2,0.1,0.3,0.4,0.5,0.1,0.7,1.1,2,0.3,19.1,57.6,0.3,0.9,0
471,Raphael Wolf,32,Goalkeeper,Fortuna Düsseldorf,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,Reece Oxford,22,Defender,Augsburg,367,247,120,England,12,7,5,0,0,0,0,0,0,0,0,2,0,2,13,11,2,0,0,0,0,0,0,0,0,3.19,28,31,0,0,0,311,315,151,20,0.6,0.4,0.1,0.8,0.5,0.4,0,0,0,0.2,0,0.1,0.5,0,0,0.3,0,0,8,65.6,0,0.8,0
473,Renato Sanches,23,Midfielder,Bayern München,5,5,0,Portugal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1,-1,-1,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,88.9,0,0,0
474,Renato Steffen,29,Midfielder,Wolfsburg,1590,909,681,Switzerland,27,15,12,6,3,3,3,1,2,0,0,4,3,1,23,12,11,6,0,0.51,0.17,0.34,0.3,0.4,265,1.3,69,59,265,530,0.34,56,89,-1,2,0.9,0.9,1.2,0.3,0.9,0.1,0,6,3,1.1,0.9,1.1,1.1,0.1,0.9,1.1,3,0.9,22.8,76.3,0.1,1.2,0
475,Rifet Kapič,25,Midfielder,Paderborn,0,0,0,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,Robert Andrich,26,Midfielder,Union Berlin,2579,1266,1313,Germany,30,15,15,1,1,0,2,2,0,0,0,6,5,1,47,17,30,13,1,0.1,0.07,0.03,0.07,0,2579,1.64,55,86,198,1290,0.45,226,194,-1,10,1.7,1.6,2.2,1.1,1.4,0.2,0,1,2,1.6,1.1,0.9,1.2,0,0.6,1.2,2,1.1,38.9,72,0.5,2.3,0.1
477,Robert Lewandowski,32,Forward,Bayern München,2762,1332,1430,Poland,31,15,16,34,19,15,4,3,1,5,0,13,6,7,28,14,14,5,0,1.24,0.13,1.11,1.28,0.94,81,0.91,99,89,552,691,0.16,2,120,-1,1,0.6,0.2,1,0.4,0.4,0,0,34,4,4.5,1.2,1.9,1.4,0.5,1.7,2.6,4,1.2,24.7,73.1,0.3,0.5,0.1
478,Robert Skov,25,Midfielder,Hoffenheim,2612,1303,1309,Denmark,31,16,15,4,3,1,7,3,4,0,0,6,3,3,43,27,16,4,0,0.38,0.24,0.14,0.21,0.07,653,1.48,61,84,653,373,0.14,142,51,-1,6,1.3,0.6,0.7,1.1,0.8,0.2,0,4,7,2,1.8,1.3,1.2,0.1,0.5,1.9,7,1.8,32.2,79,1.7,1.1,0
479,Robert Voloder,20,Defender,Köln,0,0,0,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Robert Zulj,29,Midfielder,Hoffenheim,0,0,0,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Robin Bormuth,25,Defender,Fortuna Düsseldorf,180,180,0,Germany,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2,45,60,0,0,0,-1,-1,-1,20,0.7,0,0,4,0.3,1.7,0,0,0,0,0,0,0.7,0,0,0.3,0,0,24,80.6,0,2.3,0
482,Robin Knoche,29,Defender,Wolfsburg,1592,982,610,Germany,21,12,9,1,0,1,0,0,0,0,0,6,3,3,17,9,8,2,0,0.06,0,0.06,0,0.15,1592,0.96,94,76,796,0,0.11,199,319,17,14,1.4,1.3,0.4,3.5,0.6,0.5,0,1,0,0.2,0.2,0.3,0.2,0.1,0.1,0.3,0,0.2,46.2,82.4,0,3.4,0
483,Robin Koch,24,Defender,Freiburg,2708,1371,1337,Germany,32,17,15,1,1,0,0,0,0,0,0,7,6,1,37,13,24,3,0,0.03,0,0.03,0.07,0,2708,1.23,73,85,903,0,0.1,236,341,45,12,1.1,1.4,0.8,2.9,0.5,0.7,0,1,0,1.1,0.4,0.2,0.6,0,0.3,0.5,0,0.4,47.1,83.7,0.1,4.3,0.1
484,Robin Quaison,27,Midfielder,Mainz 05,2613,1388,1225,Sweden,32,17,15,13,5,8,2,1,1,1,0,4,2,2,55,25,30,2,0,0.52,0.07,0.45,0.32,0.59,201,1.89,48,82,1307,1307,0.07,31,201,-1,1,0.8,0.3,0.8,0.2,0.7,0.2,0,13,2,2.2,0.9,1.4,1.1,0.5,1.6,1.7,2,0.9,16.9,70.8,0.1,0.3,0.1
485,Robin Zentner,26,Goalkeeper,Mainz 05,1936,1036,900,Germany,22,12,10,0,0,0,0,0,0,0,0,3,2,1,39,16,23,1,0,0,0,0,0,0,0,1.81,50,88,1936,0,0.05,301,304,109,19,0,0,0,1.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,29.3,57.2,0,6,0
486,Roland Sallai,24,Midfielder,Freiburg,1170,639,531,Hungary,21,11,10,2,1,1,0,0,0,0,0,4,4,0,14,3,11,2,0,0.15,0,0.15,0.14,0.17,585,1.08,84,56,585,0,0.15,132,321,-1,6,0.8,0.3,1.4,0.1,0.6,0.1,0,2,0,1.6,0.6,1.2,2,0.4,0.7,1.7,0,0.6,14.1,76.1,0,0.2,0.1
487,Roman Bürki,30,Goalkeeper,Borussia Dortmund,2771,1331,1440,Switzerland,31,15,16,0,0,0,0,0,0,0,0,13,8,5,40,16,24,0,0,0,0,0,0,0,0,1.3,69,89,0,0,0,254,367,52,20,0.1,0.1,0,0.6,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,27.9,75.6,0,3.9,0
488,Ronaël Pierre-Gabriel,22,Defender,Mainz 05,579,242,337,France,8,4,4,0,0,0,1,0,1,0,0,1,1,0,22,3,19,3,0,0.16,0.16,0,0,0,0,3.42,26,72,193,579,0.47,300,100,152,21,2,1,0.6,3.5,0.8,0,0,0,1,0.3,0.4,1.4,0.9,0,0,0.5,1,0.4,26.4,71.1,0.4,1.4,0
489,Rouwen Hennings,33,Forward,Fortuna Düsseldorf,2459,1289,1170,Germany,32,16,16,15,8,7,0,0,0,4,0,4,3,1,52,23,29,4,0,0.55,0,0.55,0.56,0.54,164,1.9,47,77,615,0,0.15,17,337,-1,1,0.3,0.1,0.8,1,0.5,0,0,15,0,2.3,0.7,0.4,1,0.3,0.6,1.3,0,0.7,18.9,70.7,0.2,0.5,0
490,Ruben Vargas,22,Forward,Augsburg,2538,1316,1222,Switzerland,33,17,16,6,4,2,1,1,0,0,0,7,3,4,50,25,25,8,0,0.25,0.04,0.21,0.27,0.15,423,1.77,51,77,317,2538,0.28,103,239,-1,3,1,0.8,1.2,0.9,0.8,0,0,6,1,1.8,0.7,1.6,1.2,0.2,1.5,2.2,1,0.7,17.7,63.5,0.2,0.5,0.1
491,Rune Jarstein,36,Goalkeeper,Hertha BSC,2548,1350,1198,Norway,29,15,14,0,0,0,0,0,0,0,0,9,6,3,43,25,18,2,1,0,0,0,0,0,0,1.52,59,88,849,0,0.11,323,325,72,20,0.1,0,0,0.6,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,30.8,62.5,0,10,0
492,Şahverdi Çetin,20,Midfielder,Eintracht Frankfurt,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,Salif Sané,30,Midfielder,Schalke 04,1125,571,554,Senegal,15,7,8,2,0,2,1,1,0,0,0,3,2,1,16,5,11,4,0,0.24,0.08,0.16,0,0.32,563,1.28,70,75,281,1125,0.32,119,189,-1,8,1.1,1.4,0.7,3.3,0.5,0.5,0,2,1,0.6,0.1,0.5,1.4,0,0.5,0.5,1,0.1,45.7,85,0,2.8,0
494,Salomon Armand Magloire Kalou,35,Midfielder,Hertha BSC,146,108,38,Côte d'Ivoire,5,3,2,1,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0.62,0,0.62,0.83,0,146,2.47,37,29,0,0,0,-1,-1,-1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,Samúel Friðjónsson,25,Midfielder,Paderborn,190,76,114,Iceland,5,2,3,0,0,0,0,0,0,0,0,0,0,0,5,2,3,1,0,0,0,0,0,0,0,2.37,38,38,190,0,0.47,-1,-1,-1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,Santiago Ascacibar,24,Midfielder,Hertha BSC,633,450,183,Argentina,8,5,3,0,0,0,1,0,1,0,0,2,1,1,15,13,2,2,0,0.14,0.14,0,0,0,0,2.13,42,79,317,633,0.28,287,115,-1,18,3.3,2,1.4,1.6,2.1,0.3,0,0,1,0.3,0.3,0.9,0.6,0,0.4,0.9,1,0.3,38.5,84.1,0.1,2,0
