,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
141,Daniele Dessena,33,Midfielder,Brescia,1876,957,919,Italy,24,13,11,2,1,1,0,0,0,0,0,3,2,1,40,15,25,7,1,0.1,0,0.1,0.09,0.1,938,1.92,47,78,268,0,0.34,185,351,-1,5,0.9,0.5,1.1,0.8,0,0,2,0,0.8,0.1,0.5,0.8,0,0.8,1.3,0,0.1,27.5,80.8,0.1,1.7,0
142,Daniele Gastaldello,37,Defender,Brescia,389,193,196,Italy,8,3,5,0,0,0,0,0,0,0,0,2,0,2,9,4,5,1,0,0,0,0,0,0,0,2.08,43,49,389,0,0.23,351,354,180,28,1,0.6,0.3,3.6,0.4,0,0,0,0.1,0.3,0.1,0.5,0,0,0.3,0,0.3,17.8,85.9,0,1.6,0
143,Daniele Padelli,35,Goalkeeper,Inter Milan,270,90,180,Italy,3,1,2,0,0,0,0,0,0,0,0,1,0,1,4,2,2,1,1,0,0,0,0,0,0,1.33,68,90,135,0,0.67,-1,-1,-1,21,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,0,0,0,19.8,78.5,0,1.5,0
144,Daniele Ragatzu,29,Forward,Cagliari,304,173,131,Italy,13,7,6,1,0,1,0,0,0,0,0,3,1,2,5,2,3,1,0,0.3,0,0.3,0,0.69,304,1.48,61,23,304,0,0.3,69,344,-1,9,0.2,0.1,0.1,0.3,0,0,1,0,0.6,0.6,0.6,0.4,0.2,0.3,0.5,0,0.6,12.5,84,0.1,0.5,0
145,Daniele Rugani,26,Defender,Juventus,687,283,404,Italy,10,5,5,0,0,0,0,0,0,0,0,2,2,0,14,4,10,2,0,0,0,0,0,0,0,1.83,49,69,344,0,0.26,301,303,161,24,0.8,1.1,0.8,1.5,0.4,0,0,0,0.6,0,0,0.1,0,0,0.1,0,0,45.1,87.1,0,1.2,0
146,Danilo,29,Defender,Juventus,1441,713,728,Brazil,22,10,12,2,1,1,0,0,0,0,0,4,2,2,25,11,14,4,1,0.12,0,0.12,0.13,0.12,721,1.56,58,66,360,0,0.25,161,369,127,8,1.4,1.2,0.9,1.7,0.1,0,2,0,0.6,0.7,0.7,0.6,0.1,0.1,0.5,0,0.7,49.7,87.4,0.1,2.1,0
147,Danilo,29,Defender,Juventus,1441,713,728,Brazil,22,10,12,2,1,1,0,0,0,0,0,4,2,2,25,11,14,4,1,0.12,0,0.12,0.13,0.12,721,1.56,58,66,360,0,0.25,161,369,127,8,1.1,1,1.4,3.1,1.3,0,2,0,0.3,0.2,0.1,0.8,0.1,0,0.4,0,0.2,43.9,77.3,0,3.9,0
148,Danilo Cataldi,26,Midfielder,Lazio,577,284,293,Italy,21,11,10,1,0,1,0,0,0,0,0,7,4,3,5,1,4,3,0,0.16,0,0.16,0,0.31,577,0.78,115,27,192,0,0.47,125,398,-1,11,0.8,0.6,0.2,0.4,0,0,1,0,0.4,0.6,0.1,0.1,0,0.1,0.5,0,0.6,19.4,87.3,0.5,1.2,0
149,Danilo D'Ambrosio,32,Defender,Inter Milan,1399,778,621,Italy,22,11,11,4,3,1,0,0,0,0,0,12,6,6,8,6,2,6,0,0.26,0,0.26,0.35,0.14,350,0.51,175,64,233,0,0.39,79,322,4,7,1.4,0.6,1.6,1,0.2,0,4,0,0.3,0.3,0.4,0.9,0.2,0.3,0.8,0,0.3,36.1,85,0.1,1.4,0
150,Danilo Larangeira,36,Defender,Bologna,2642,1438,1204,Brazil,30,16,14,2,0,2,0,0,0,0,0,1,1,0,44,21,23,11,1,0.07,0,0.07,0,0.15,1321,1.5,60,88,240,0,0.37,204,432,118,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Daouda Peeters,22,Midfielder,Juventus,14,0,14,Belgium,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,-1,-1,-1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,100,0,0,0
152,Darko Lazović,30,Midfielder,Hellas Verona,3247,1580,1667,Serbia,38,19,19,3,1,2,7,3,4,0,0,10,5,5,43,21,22,4,0,0.28,0.19,0.08,0.06,0.11,1082,1.19,76,85,812,464,0.11,199,74,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,David Heidenreich,20,Defender,Atalanta,0,0,0,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,David Ospina Ramírez,32,Goalkeeper,Napoli,1470,900,570,Colombia,17,10,7,0,0,0,0,0,0,0,0,4,2,2,16,12,4,0,0,0,0,0,0,0,0,0.98,92,86,0,0,0,384,383,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Davide Biraschi,26,Defender,Genoa,2007,896,1111,Italy,24,11,13,0,0,0,1,1,0,0,0,4,2,2,39,17,22,4,1,0.04,0.04,0,0,0,0,1.75,51,84,401,2007,0.22,442,247,153,23,1.3,1.4,1.2,2.7,0.5,1,0,1,0.3,0.3,1.5,1,0,0.9,1,1,0.3,41.8,77.5,0.3,1.8,0
