,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Aaron Anthony Connolly,21,Forward,Brighton & Hove Albion,1262,592,670,Republic of Ireland,24,11,13,3,2,1,1,1,0,0,0,5,2,3,21,10,11,0,0,0.29,0.07,0.21,0.3,0.13,421,1.5,60,53,0,1262,0,89,172,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Aaron Cresswell,31,Defender,West Ham United,2730,1395,1335,England,31,16,15,3,1,2,0,0,0,0,0,5,2,3,49,25,24,7,0,0.1,0,0.1,0.06,0.13,910,1.62,56,88,390,0,0.23,151,260,129,6,1.4,1.1,0.5,0.4,1.9,0.7,0.3,0,3,0,0.5,0.8,0.4,0.5,0.1,0.3,0.6,0,0.8,40.4,74.6,0.8,2.2,0
2,Aaron Lennon,34,Midfielder,Burnley,485,225,260,England,16,9,7,0,0,0,0,0,0,0,0,5,4,1,14,8,6,4,0,0,0,0,0,0,0,2.6,35,30,121,0,0.74,320,402,-1,17,0.9,0.5,0.6,0,0.2,0.2,0.1,0,0,0,0.1,0.1,0.2,0.4,0,0.3,0.4,0,0.1,7.4,69.5,0.1,0.1,0
3,Aaron Mooy,30,Midfielder,Brighton & Hove Albion,2090,1010,1080,Australia,31,16,15,2,1,1,2,0,2,0,0,7,3,4,30,15,15,3,1,0.17,0.09,0.09,0.09,0.08,1045,1.29,70,67,697,1045,0.13,164,140,-1,8,1.2,0.7,0.4,0,0.9,1.1,0.2,0,2,2,1.1,1.3,1.2,0.4,0,1.4,1.4,2,1.3,31.3,81.4,0.7,1.4,0.1
4,Aaron Ramsdale,22,Goalkeeper,AFC Bournemouth,3330,1620,1710,England,37,18,19,0,0,0,1,0,1,0,0,5,3,2,61,26,35,0,0,0.03,0.03,0,0,0,0,1.65,55,90,0,3330,0,362,248,135,19,0.1,0,0,0,1.1,0,0,0,0,1,0,0.1,0,0.1,0,0,0,1,0.1,25.5,52,0,5.5,0
5,Aaron Wan-Bissaka,23,Midfielder,Manchester United,3071,1574,1497,England,35,18,17,0,0,0,4,2,2,0,0,12,7,5,29,13,16,8,0,0.12,0.12,0,0,0,0,0.85,106,88,384,768,0.23,386,109,-1,27,3.7,1.9,0.6,0.4,1.7,0.6,0.4,0,0,4,0.2,0.7,1.5,0.5,0,1.3,1,4,0.7,47.1,81.3,0.4,1,0
6,Abdoulaye Doucouré,28,Midfielder,Watford,3166,1655,1511,France,37,19,18,4,1,3,2,1,1,0,0,9,7,2,57,25,32,9,0,0.17,0.06,0.11,0.05,0.18,792,1.62,56,86,352,1583,0.26,141,199,-1,3,1.7,0.8,1.4,0,0.8,1.1,0.2,1,4,2,1.6,1,1.1,0.4,0.2,0.8,1.6,2,1,45.4,78.4,0.1,1.1,0
7,Adalberto Peñaranda Maestre,23,Forward,Watford,0,0,0,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Adam David Lallana,32,Midfielder,Liverpool,373,198,175,England,15,9,6,1,0,1,1,1,0,0,0,6,4,2,5,3,2,1,0,0.48,0.24,0.24,0,0.51,373,1.21,75,25,373,373,0.24,76,33,-1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Adam Masina,27,Defender,Watford,1819,935,884,Italy,26,14,12,1,1,0,0,0,0,0,0,7,5,2,27,11,16,3,0,0.05,0,0.05,0.1,0,1819,1.34,67,70,606,0,0.15,223,289,101,11,1.5,1.1,1,0.2,2.3,0.9,0.5,0,1,0,0.6,0.4,0.3,0.5,0.1,0.5,0.6,0,0.4,26.8,63.3,0.5,1.8,0
