,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
378,Lucas Perez,32,Forward,Deportivo Alavés,2503,1435,1068,Spain,34,19,15,11,7,4,5,5,0,5,0,9,7,2,44,17,27,4,0,0.58,0.18,0.4,0.44,0.34,228,1.58,57,74,626,501,0.14,26,58,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,Lucas René Olaza Catrofe,26,Defender,Celta de Vigo,3145,1620,1525,Uruguay,35,18,17,1,0,1,3,2,1,0,0,12,6,6,40,17,23,5,0,0.11,0.09,0.03,0,0.06,3145,1.14,79,90,629,1048,0.14,253,148,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Lucas Vázquez,29,Midfielder,Real Madrid,839,414,425,Spain,18,8,10,2,0,2,1,1,0,0,0,8,4,4,9,3,6,1,0,0.32,0.11,0.21,0,0.42,420,0.97,93,47,839,839,0.11,84,118,-1,10,1.3,0.6,1.4,0.3,0,0,2,1,0.6,0.9,0.9,0.7,0.1,0.9,1.8,1,0.9,27.3,83.5,0.7,0.8,0.1
381,Luis Ezequiel Ávila,27,Forward,CA Osasuna,1593,944,649,Argentina,20,11,9,9,6,3,2,1,1,0,0,5,4,1,21,13,8,6,0,0.62,0.11,0.51,0.57,0.42,177,1.19,76,80,266,797,0.34,11,119,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,Luis Federico López Andúgar,19,Goalkeeper,Real Madrid,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,Luis Jesús Rioja González,27,Forward,Deportivo Alavés,1641,1001,640,Spain,28,15,13,0,0,0,0,0,0,0,0,7,6,1,21,9,12,3,0,0,0,0,0,0,0,1.15,78,59,547,0,0.16,424,345,-1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,Luis Perea Hernández,23,Midfielder,CA Osasuna,19,0,19,Spain,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,-1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,Luís Rafael Soares Alves,25,Defender,SD Eibar,438,90,348,Portugal,6,1,5,0,0,0,0,0,0,0,0,1,0,1,6,1,5,1,0,0,0,0,0,0,0,1.23,73,73,438,0,0.21,323,263,101,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,Luis Suárez,34,Forward,FC Barcelona,2000,894,1106,Uruguay,28,13,15,16,7,9,8,4,4,1,0,12,5,7,16,7,9,4,0,1.08,0.36,0.72,0.7,0.73,125,0.72,125,71,500,250,0.18,3,6,-1,2,0.1,0,0.5,0.4,0,0,16,8,2.8,0.9,0.8,0.9,0.6,0.9,1.2,8,0.9,23.4,75.5,0.1,0.9,0
387,Luka Jović,23,Forward,Real Madrid,420,226,194,Serbia,17,7,10,2,1,1,1,1,0,0,0,8,4,4,4,1,3,2,0,0.64,0.21,0.43,0.4,0.46,210,0.86,105,25,210,420,0.43,20,45,-1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,Luka Modrić,35,Midfielder,Real Madrid,1998,1028,970,Croatia,31,16,15,3,2,1,7,4,3,0,0,16,10,6,14,7,7,8,1,0.45,0.32,0.14,0.18,0.09,666,0.63,143,64,222,285,0.41,128,11,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,Luka Romero Bezzana,16,Midfielder,RCD Mallorca,7,0,7,Argentina,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,Lumor Agbenyenu,24,Defender,RCD Mallorca,1807,1081,726,Ghana,23,14,9,1,0,1,0,0,0,0,0,2,2,0,31,16,15,5,1,0.05,0,0.05,0,0.12,1807,1.54,58,79,361,0,0.25,222,408,160,9,1.3,0.9,0.6,2.3,0.1,0,1,0,0.6,0.7,1.3,0.4,0,0.4,1.2,0,0.7,29,74.7,0.6,1,0
391,Luuk de Jong,30,Forward,Sevilla FC,2061,1096,965,Netherlands,35,19,16,6,2,4,1,0,1,0,0,17,9,8,17,8,9,2,0,0.31,0.04,0.26,0.16,0.37,344,0.74,121,59,1031,2061,0.09,58,212,-1,3,0.6,0.2,0.8,0.6,0,0,6,1,1.6,0.7,0.2,1.1,0.4,0.6,1.3,1,0.7,15.1,69.3,0,0.4,0
392,Manu García,34,Midfielder,Deportivo Alavés,1970,1043,927,Spain,30,16,14,0,0,0,0,0,0,0,0,6,5,1,31,11,20,11,1,0,0,0,0,0,0,1.42,64,66,179,0,0.5,426,343,-1,29,1.5,0.9,2,1,0.4,0,0,0,0.6,0.1,0.2,1.3,0.1,0.7,0.8,0,0.1,23.5,72.1,0,1,0
393,Manu Trigueros,29,Midfielder,Villarreal,1544,721,823,Spain,29,14,15,2,0,2,4,2,2,1,0,6,4,2,20,9,11,6,0,0.35,0.23,0.12,0,0.22,772,1.17,77,53,257,386,0.35,144,38,-1,7,1.2,0.1,1.1,0.7,0.4,0,2,4,0.9,1.1,0.6,1.1,0,0.6,0.8,4,1.1,30.3,88,0.2,1.4,0.1
