,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Marco Festa,0.0,0.0,27.0,81.5,0.0,9.0,0.0,7.8
1,Cristiano Ronaldo,3,1.1,29.9,82.1,0.4,0.5,0.1,7.61
2,Zlatan Ibrahimovic,2,1.1,27.5,72.0,0.1,0.6,0.1,7.57
3,Lorenzo Insigne,7,1.8,48.7,83.7,0.7,3.2,0.2,7.56
4,Romelu Lukaku,11,1.4,20.4,72.5,0.1,0.4,0.1,7.47
5,Domenico Berardi,7,1.9,39.4,80.5,1,2.0,0.2,7.42
6,Rodrigo de Paul,9,2.3,51.1,79.8,2,4.5,0.2,7.41
7,Adam Ounas,3,1.4,30.2,83.0,0.5,2.3,0.2,7.39
8,Henrikh Mkhitaryan,10,1.4,33.9,78.5,0.4,0.9,0.2,7.3
9,Sergej Milinkovic-Savic,9,1.3,54.1,78.7,0.5,3.7,0.0,7.3
10,Theo Hernández,5,1.3,48.0,83.1,0.5,1.9,0.0,7.28
11,Papu Gómez,2,1.9,40.0,84.8,1.1,2.6,0.1,7.27
12,Hakan Calhanoglu,9,3.0,41.7,84.1,2.2,2.3,0.0,7.27
13,Luis Muriel,9,1.3,17.4,74.9,0.6,0.5,0.0,7.25
14,Federico Chiesa,1,1.7,29.3,79.5,1.3,2.0,0.0,7.24
15,Andrea Belotti,6,1.1,19.6,69.5,0.1,0.7,0.2,7.23
16,Lorenzo Pellegrini,6,1.9,38.2,82.0,1.7,1.9,0.2,7.23
17,Junior Messias,4,0.9,29.6,78.5,0.7,1.4,0.0,7.22
18,Federico Chiesa,8,1.5,23.1,80.4,0.7,1.0,0.1,7.21
19,Rafael,1,0.3,32.3,71.1,0.0,6.7,0.0,7.21
20,Robin Gosens,6,0.9,43.1,81.8,0.6,1.1,0.0,7.19
21,Lautaro Martínez,6,1.0,14.5,68.4,0.1,0.6,0.0,7.17
22,Juan Cuadrado,10,2.0,49.4,87.7,1.4,2.8,0.0,7.16
23,Ruslan Malinovskiy,12,2.2,27.6,80.1,1.2,1.5,0.2,7.16
24,Piotr Zielinski,10,1.6,32.6,85.9,0.6,1.6,0.1,7.16
