,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Marco FestaCrotone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8
1,Cristiano RonaldoJuventus,29,3,5.1,1.1,1.8,1.3,0.9,1,1.9,7.61
2,Zlatan IbrahimovicAC Milan,15,2,4.3,1.1,0.6,1.3,2.1,0.6,1.7,7.57
3,Lorenzo InsigneNapoli,19,7,4.1,1.8,1.9,1.1,0.3,1,1.8,7.56
4,Romelu LukakuInter,24,11,2.7,1.4,1.5,1.3,0.5,1.4,2.6,7.47
5,Domenico BerardiSassuolo,17,7,3.8,1.9,1,2,0.1,1,1.8,7.42
6,Rodrigo de PaulUdinese,9,9,2.3,2.3,3.4,3.5,0.0,1.6,2.6,7.41
7,Adam OunasCrotone,4,3,1.7,1.4,3.8,2.1,0.6,1.5,2.5,7.39
8,Henrikh MkhitaryanRoma,13,10,2.4,1.4,1.4,1.4,0.3,0.7,1.5,7.3
9,Sergej Milinkovic-SavicLazio,8,9,2,1.3,0.9,1.6,0.3,1.4,2.5,7.3
10,Theo HernándezAC Milan,7,5,1.4,1.3,2.2,2.5,0.2,0.8,1.9,7.28
11,Papu GómezAtalanta,4,2,2.9,1.9,1.5,1.9,0.0,1,1.1,7.27
12,Hakan CalhanogluAC Milan,4,9,2.5,3.0,1.1,1.3,0.1,1.1,2.3,7.27
13,Luis MurielAtalanta,22,9,2.4,1.3,1.5,0.6,0.1,1.4,1.6,7.25
14,Federico ChiesaFiorentina,1,1,3.3,1.7,2,1,0.7,1.7,1.7,7.24
15,Andrea BelottiTorino,13,6,3.1,1.1,1.3,3.9,0.6,1.2,3.1,7.23
16,Lorenzo PellegriniRoma,7,6,2.1,1.9,1.3,1.5,0.2,0.6,2,7.23
17,Junior MessiasCrotone,9,4,2.7,0.9,2.9,2.6,0.1,1.6,3.1,7.22
18,Federico ChiesaJuventus,8,8,2,1.5,1.6,1.2,0.4,0.8,1.3,7.21
19,RafaelSpezia,0.0,1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.21
20,Robin GosensAtalanta,11,6,1.6,0.9,0.8,0.8,0.3,0.5,1.3,7.19
21,Lautaro MartínezInter,17,6,2.9,1.0,0.9,1.6,0.3,0.9,2.4,7.17
22,Juan CuadradoJuventus,2,10,0.6,2.0,1.5,2.2,0.1,0.7,1.6,7.16
23,Ruslan MalinovskiyAtalanta,8,12,1.9,2.2,1.4,1.5,0.0,1.3,1.8,7.16
24,Piotr ZielinskiNapoli,8,10,1.7,1.6,1.6,1.3,0.2,0.9,1.4,7.16
25,Ciro ImmobileLazio,20,6,3.4,1.5,0.8,1.3,0.9,1.0,2.0,7.15
26,Franck KessiéAC Milan,13,4,1.3,0.8,1.2,1.1,0.0,1.1,1.4,7.15
27,Cristian RomeroAtalanta,2,2,0.5,0.3,0.2,1.0,0.0,0.2,0.5,7.14
28,Giovanni Di LorenzoNapoli,3,6,0.8,1.4,0.8,1.7,0.1,0.4,0.9,7.14
29,Josip IlicicAtalanta,6,9,2.1,2.2,2.0,2.5,0.3,1.6,2.6,7.13
30,Luis AlbertoLazio,9,2,2,2.4,1.5,1.1,0.1,1.1,1.4,7.1
31,Victor OsimhenNapoli,10,3,2.8,1,0.5,1.5,0.8,0.7,1.9,7.09
32,Manuel LocatelliSassuolo,4,2,1.2,1.1,0.8,1.4,0.0,1,1.3,7.08
33,Andrea RanocchiaInter,0.0,1,1.1,0.4,0.0,0.9,0.1,0.1,0.4,7.07
34,Gianluca PegoloSassuolo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06
35,Duván ZapataAtalanta,15,9,2.7,1.1,0.9,1.3,0.6,1.8,3.1,7.05
36,Diego GodínCagliari,1,0.0,0.4,0.3,0.6,1,0.1,0.1,0.3,7.04
37,Davide CalabriaAC Milan,2,1,0.8,0.7,0.6,1.1,0.1,0.4,0.9,7.04
38,Marcelo BrozovicInter,2,6,0.8,1.4,0.3,0.4,0.0,0.5,0.8,7.03
39,DaniloJuventus,1,4,0.6,0.7,0.6,0.6,0.1,0.3,0.5,7.03
40,Karlo LeticaSampdoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03
41,Milan BadeljGenoa,1,4,0.6,1,1.2,1.1,0.0,0.7,1,7.02
42,Simon KjaerAC Milan,0.0,2,0.6,0.3,0.0,0.4,0.0,0.0,0.4,7.01
43,Paulo DybalaJuventus,4,3,2.6,1.5,1.4,1.5,0.2,0.9,1.8,7.01
44,João PedroCagliari,16,3,2.1,1,1.1,2.6,0.3,0.9,2,7.0
45,Remo FreulerAtalanta,2,3,0.6,0.9,1.1,0.9,0.0,0.9,1.5,6.99
46,Ignacio PussettoUdinese,3,1,1.5,0.7,1.4,0.9,0.6,2.1,1.9,6.99
47,Ante RebicAC Milan,11,4,1.6,1.3,0.7,0.5,0.4,1.1,2.4,6.99
48,Fabián RuizNapoli,3,1,1.3,1.2,0.8,0.8,0.0,0.6,0.7,6.98
49,Leonardo SpinazzolaRoma,2,4,0.8,1.4,2.2,0.4,0.1,0.3,1.1,6.98
50,Achraf HakimiInter,7,8,1.1,1,0.9,1.0,0.2,0.5,1.5,6.98
51,Marten de RoonAtalanta,1,1,0.5,0.5,0.3,0.7,0.0,0.3,0.5,6.98
52,Hirving LozanoNapoli,11,3,1.8,1.1,0.9,2.2,0.3,0.7,1.7,6.98
53,Juraj KuckaParma Calcio ,7,2,2.1,0.6,1.1,2.5,0.1,1.1,1.7,6.97
54,Fikayo TomoriAC Milan,1,0.0,0.3,0.0,0.2,0.1,0.0,0.1,0.5,6.96
55,Nicolò BarellaInter,3,7,1.0,1.3,1.0,1.5,0.1,0.8,1.8,6.95
56,Alex SandroJuventus,2,1,0.5,0.7,0.8,1.1,0.0,0.4,0.9,6.94
57,Rodrigo BentancurJuventus,0.0,4,0.5,0.9,1.1,0.8,0.1,0.5,0.9,6.94
58,Vlad ChirichesSassuolo,2,1,0.5,0.3,0.5,0.6,0.0,0.2,0.5,6.93
59,Roberto SorianoBologna,9,6,1.6,1.4,1.0,1.3,0.1,0.8,1.7,6.93
60,Marco FaraoniVerona,4,7,1,0.7,0.6,1.1,0.3,0.4,1.4,6.92
61,Daniel FuzatoRoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91
62,Álvaro MorataJuventus,11,9,1.8,1.3,0.7,1.4,0.6,1.3,2.3,6.91
63,Andrea ConsigliSassuolo,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.91
64,Edin DzekoRoma,7,3,2.6,1.1,1,1.4,0.4,1.1,2.1,6.91
65,Berat DjimsitiAtalanta,0.0,2,0.6,0.6,0.3,0.8,0.0,0.3,0.8,6.9
66,Omar ColleySampdoria,2,0.0,0.4,0.1,0.1,0.8,0.0,0.0,0.3,6.9
67,Federico DimarcoVerona,5,3,1.1,2.1,0.3,1.4,0.2,0.3,0.8,6.9
68,Dusan VlahovicFiorentina,21,3,2.3,0.5,0.7,1.9,0.7,2.4,2.9,6.9
69,Adrien RabiotJuventus,4,2,1,0.3,1.1,0.6,0.0,0.4,1.1,6.9
70,Joaquín CorreaLazio,8,3,1.9,1,1.3,1.9,0.1,1.3,2.3,6.9
71,Milan SkriniarInter,3,0.0,0.5,0.3,0.2,0.8,0.0,0.4,0.6,6.9
72,Gianluca ManciniRoma,4,2,0.8,0.2,0.5,0.8,0.0,0.2,0.4,6.89
73,Mattia ZaccagniVerona,5,5,0.9,1.1,1.7,3.0,0.3,1.8,2.1,6.89
74,Stefan de VrijInter,1,0.0,0.4,0.2,0.2,0.3,0.0,0.1,0.2,6.89
75,Dries MertensNapoli,9,8,1.9,1.2,0.4,0.3,0.2,0.2,0.6,6.88
76,Morten ThorsbySampdoria,3,1,0.7,0.5,0.4,0.7,0.1,0.5,1.2,6.87
77,Rafael LeãoAC Milan,6,6,1.4,0.9,1.3,0.7,0.1,0.5,1.8,6.87
78,Guglielmo VicarioCagliari,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.87
79,Simone BastoniSpezia,1,6,1,1.3,1.1,1.2,0.1,0.9,1.3,6.86
80,Kalidou KoulibalyNapoli,0.0,0.0,0.4,0.2,0.7,0.3,0.0,0.2,0.3,6.86
81,BremerTorino,5,0.0,0.8,0.2,0.2,0.5,0.0,0.2,0.7,6.86
82,IbañezRoma,0.0,1,0.5,0.4,0.5,1.0,0.0,0.3,0.8,6.86
83,Alessandro BastoniInter,0.0,3,0.3,0.4,0.4,0.8,0.0,0.2,0.6,6.85
84,Francesco AcerbiLazio,0.0,1,0.3,0.3,0.2,0.8,0.1,0.3,0.7,6.85
85,Antonio SanabriaTorino,5,1,1.4,0.5,0.8,0.9,0.2,1.4,2.1,6.85
86,Matteo PolitanoNapoli,9,4,1.7,0.9,1.0,1.3,0.0,0.6,1.2,6.85
