,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
2561,Thomas Mangani,1.5,1.1,0.5,1.1,0.2,0.0,3.0,3.0,0.7,1.2,0.3,0.7,0.0,0.4,0.5,3.0,1.2,57.2,83.6,0.7,4.6,0.1
2562,Thomas Meunier,1.4,0.9,0.8,1.2,0.3,0.0,1.0,1.0,0.6,0.7,0.7,0.1,0.1,0.4,1.1,1.0,0.7,50.8,82.1,0.4,2.3,0.0
2563,Thomas Monconduit,1.0,0.5,0.9,0.8,0.1,0.0,2.0,0.0,0.8,0.4,0.5,0.6,0.0,0.5,0.6,0.0,0.4,23.9,80.5,0.2,1.9,0.0
2564,Thomas Müller,1.5,0.7,0.7,0.5,0.1,0.0,11.0,18.0,1.6,2.9,0.8,0.7,0.4,1.3,2.5,18.0,2.9,43.5,75.0,0.8,1.2,0.1
2565,Thomas Ouwejan,0.3,0.3,0.5,0.4,0.0,0.0,0.0,2.0,0.4,0.7,0.2,0.1,0.0,0.1,0.5,2.0,0.7,11.1,73.7,0.5,0.5,0.0
2566,Thomas Partey,2.3,0.7,1.7,0.3,0.3,0.0,0.0,0.0,1.7,0.0,2.3,0.3,0.0,0.3,0.0,0.0,0.0,73.3,89.1,0.3,6.7,0.0
2567,Thomas Partey,1.8,1.0,0.8,0.6,0.2,0.0,0.0,2.0,1.1,0.5,1.2,0.7,0.0,0.4,0.9,2.0,0.5,47.5,87.2,0.0,2.7,0.1
2568,Thomas Strakosha,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,32.8,83.1,0.0,7.7,0.0
2569,Thorgan Hazard,0.5,0.6,0.4,0.1,0.0,0.0,1.0,3.0,0.6,0.9,0.4,0.4,0.4,0.3,0.6,3.0,0.9,20.4,85.9,0.3,1.1,0.1
2570,Tiago Dantas,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,15.5,77.4,1.0,0.5,0.5
2571,Tiago Djaló,1.3,0.5,0.9,1.1,0.2,0.0,0.0,0.0,0.1,0.2,0.4,0.5,0.1,0.1,0.5,0.0,0.2,37.2,88.0,0.1,2.0,0.0
2572,Tiemoué Bakayoko,2.2,1.1,1.1,0.3,0.1,0.0,2.0,1.0,0.5,0.4,0.8,1.6,0.0,0.6,0.8,1.0,0.4,38.2,88.3,0.0,1.4,0.0
2573,Tim Civeja,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,7.7,73.9,0.0,0.0,0.0
