,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Aaron Connolly,0.4,0.0,0.4,0.1,0.0,0.0,2.0,1.0,1.4,0.4,0.3,0.9,0.5,0.5,1.6,1.0,0.4,5.4,78.3,0.0,0.0,0.0
1,Aaron Cresswell,0.9,0.9,0.4,2.0,0.4,0.0,0.0,8.0,0.5,1.6,0.1,0.5,0.0,0.3,0.4,8.0,1.6,45.9,78.9,1.6,3.3,0.0
2,Aaron Hickey,1.1,1.4,1.0,1.1,0.1,0.0,0.0,0.0,0.2,0.2,0.6,1.3,0.0,0.7,1.5,0.0,0.2,29.1,88.4,0.2,1.4,0.0
3,Aaron Leya Iseka,0.3,0.0,1.2,0.3,0.1,0.0,4.0,0.0,1.0,0.6,0.5,0.6,0.1,0.9,1.7,0.0,0.6,9.0,75.0,0.0,0.2,0.0
4,Aaron Ramsdale,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,26.8,43.4,0.0,7.4,0.0
5,Aaron Ramsey,1.0,0.3,0.9,0.3,0.1,0.0,2.0,4.0,1.1,1.4,0.5,0.8,0.1,0.4,1.4,4.0,1.4,31.8,87.1,0.5,1.5,0.0
6,Aaron Wan-Bissaka,2.6,1.8,0.9,1.8,0.5,0.0,2.0,4.0,0.2,0.9,1.0,0.4,0.0,0.6,1.0,4.0,0.9,53.1,84.9,0.4,0.8,0.0
7,Aarón Escandell,0.2,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,44.8,0.0,8.0,0.0
8,Aarón Martín,1.8,0.7,1.3,1.8,0.2,0.0,0.0,3.0,0.3,0.3,0.9,0.8,0.2,0.4,0.7,3.0,0.3,35.4,82.3,0.2,1.1,0.0
9,Aarón Martín,0.6,0.4,0.8,0.4,0.0,0.0,0.0,0.0,0.2,0.6,0.6,0.0,0.0,0.4,0.6,0.0,0.6,22.6,73.5,0.8,1.4,0.0
10,Abdallahi Mahmoud,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1.5,0.0,0.5,7.5,86.7,0.0,0.0,0.0
11,Abdou Diallo,0.7,1.1,0.8,1.5,0.4,0.0,0.0,1.0,0.2,0.0,0.8,0.4,0.0,0.0,0.7,1.0,0.0,51.3,93.1,0.2,2.1,0.0
12,Abdoul Kader Bamba,0.6,0.2,0.3,0.1,0.0,0.0,3.0,1.0,0.5,0.8,0.9,1.4,0.0,0.6,0.9,1.0,0.8,15.3,79.9,0.3,0.5,0.0
13,Abdoulaye Bamba,1.7,1.2,0.9,1.6,0.1,0.0,0.0,0.0,0.1,0.5,0.3,0.4,0.0,0.2,0.8,0.0,0.5,40.5,79.2,0.4,1.6,0.1
14,Abdoulaye Diaby,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,62.5,0.0,0.0,0.0
15,Abdoulaye Doucouré,1.8,1.3,0.8,0.9,0.2,0.0,2.0,3.0,0.6,0.7,0.7,0.4,0.0,0.9,1.2,3.0,0.7,46.2,85.1,0.0,1.3,0.1
16,Abdoulaye Sidibé,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,Abdoulaye Sylla,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
18,Abdoulaye Touré,1.0,0.8,0.7,0.6,0.1,0.0,2.0,2.0,0.9,0.5,0.7,1.0,0.0,0.6,1.0,2.0,0.5,32.3,85.1,0.1,1.2,0.1
19,Aboubakar Kamara,0.2,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.4,0.3,0.0,0.7,1.2,0.0,0.5,10.2,75.9,0.1,0.4,0.0
20,Aboubakar Kamara,0.3,0.0,1.4,0.2,0.0,0.0,1.0,0.0,1.1,0.7,0.8,1.7,0.1,1.6,1.8,0.0,0.7,13.3,73.7,0.5,0.4,0.0
21,Achraf Hakimi,1.4,0.6,0.8,0.4,0.0,0.0,7.0,8.0,1.1,1.0,0.9,1.0,0.2,0.5,1.5,8.0,1.0,32.7,84.5,0.8,0.9,0.0
22,Adam Lallana,0.9,0.5,0.6,0.4,0.1,0.0,1.0,1.0,0.7,0.8,0.6,0.7,0.1,0.5,0.8,1.0,0.8,30.8,85.0,0.1,0.6,0.0
23,Adam Marusic,1.1,1.1,0.5,1.3,0.2,1.0,2.0,3.0,0.8,0.8,0.7,0.4,0.1,0.6,0.7,3.0,0.8,37.3,85.4,0.4,1.6,0.0
24,Adam Ounas,0.6,0.2,0.7,0.1,0.1,0.0,4.0,3.0,1.7,1.4,3.8,2.1,0.6,1.5,2.5,3.0,1.4,30.2,83.0,0.5,2.3,0.2
25,Adam Ounas,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.9,1.0,2.7,1.3,0.1,1.4,1.6,0.0,1.0,15.9,72.1,0.4,1.0,0.0
26,Adam Webster,1.0,1.6,0.8,2.9,0.6,0.0,1.0,0.0,0.9,0.2,0.6,0.5,0.0,0.2,0.9,0.0,0.2,63.4,80.9,0.0,3.4,0.0
27,Adama Soumaoro,0.3,0.7,0.7,0.7,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,38.7,94.8,0.0,1.7,0.0
28,Adama Soumaoro,1.2,1.0,1.7,3.3,1.2,0.0,1.0,0.0,0.4,0.2,0.3,1.0,0.0,0.1,0.4,0.0,0.2,46.0,88.9,0.0,1.6,0.0
29,Adama Traoré,0.8,0.2,1.3,0.3,0.0,0.0,2.0,2.0,1.2,1.5,4.1,2.3,0.2,1.8,3.0,2.0,1.5,18.9,76.3,0.6,0.4,0.0
30,Ademola Lookman,1.0,0.6,1.4,0.2,0.0,0.0,4.0,4.0,2.0,1.8,2.4,1.7,0.4,2.1,3.1,4.0,1.8,30.9,80.9,0.9,0.6,0.1
31,Adil Aouchiche,1.1,0.3,0.6,0.2,0.0,0.0,2.0,5.0,0.8,1.7,1.0,0.9,0.0,0.8,1.8,5.0,1.7,20.0,76.7,1.4,1.2,0.1
32,Admir Mehmedi,0.9,0.3,1.1,0.1,0.0,0.0,0.0,2.0,0.4,1.0,0.4,0.8,0.6,1.0,1.3,2.0,1.0,23.0,80.4,0.2,0.8,0.1
33,Adnan Januzaj,0.3,0.1,0.3,0.1,0.1,0.0,4.0,5.0,1.2,0.9,1.7,1.3,0.1,0.8,1.3,5.0,0.9,17.6,76.3,0.8,0.9,0.0
34,Adolfo Gaich,0.6,0.1,1.6,0.3,0.0,0.0,2.0,0.0,1.5,0.3,0.6,1.3,0.2,0.9,1.7,0.0,0.3,8.8,56.8,0.1,0.5,0.0
35,Adrian Grbic,0.2,0.2,0.7,0.2,0.0,0.0,4.0,0.0,1.0,0.1,0.1,0.5,0.0,0.3,0.8,0.0,0.1,6.2,61.5,0.0,0.0,0.0
36,Adrien Hunou,0.3,0.1,0.4,0.1,0.0,0.0,4.0,0.0,1.1,0.3,0.1,0.4,0.1,0.2,0.9,0.0,0.3,9.5,78.8,0.0,0.1,0.0
37,Adrien Louveau,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0
38,Adrien Rabiot,2.1,1.3,1.3,0.8,0.3,0.0,4.0,2.0,1.0,0.3,1.1,0.6,0.0,0.4,1.1,2.0,0.3,41.6,90.8,0.1,1.2,0.0
39,Adrien Silva,2.0,1.3,1.5,0.3,0.0,0.0,1.0,1.0,0.3,0.5,0.7,1.0,0.0,0.7,0.9,1.0,0.5,39.0,87.6,0.0,3.6,0.0
40,Adrien Tameze,1.2,1.0,1.1,1.2,0.2,0.0,1.0,0.0,0.5,0.4,1.1,0.9,0.1,0.8,1.2,0.0,0.4,30.5,80.0,0.2,1.8,0.0
41,Adrien Thomasson,1.0,0.6,1.4,0.0,0.1,0.0,5.0,1.0,1.3,1.0,0.6,1.2,0.2,1.3,2.0,1.0,1.0,29.2,78.0,0.2,1.2,0.0
42,Adrien Truffert,1.3,0.6,0.8,1.1,0.2,0.0,1.0,3.0,0.8,0.7,0.6,0.9,0.0,0.5,1.1,3.0,0.7,36.0,87.0,0.4,0.9,0.0
43,Adrián,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,75.0,0.0,3.3,0.0
44,Adrián Cubas,3.0,1.9,1.3,0.9,0.4,0.0,1.0,0.0,0.4,0.3,0.4,0.6,0.0,0.9,0.9,0.0,0.3,37.1,83.9,0.1,2.5,0.0
45,Adrián López,0.2,0.0,0.2,0.2,0.0,0.0,1.0,1.0,0.6,0.2,0.5,0.2,0.2,0.5,1.3,1.0,0.2,10.8,73.4,0.1,0.2,0.0
46,Adrián Marín,0.2,0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,8.8,68.2,0.2,0.4,0.0
47,Adrián Marín,0.6,0.4,0.3,0.7,0.2,0.0,0.0,1.0,0.1,0.1,0.3,0.2,0.0,0.0,0.6,1.0,0.1,10.9,69.4,0.2,0.6,0.0
48,Ahmad Benali,1.1,0.3,0.7,0.8,0.1,0.0,0.0,1.0,0.6,0.8,0.5,0.9,0.1,0.6,1.2,1.0,0.8,41.7,86.1,0.5,1.7,0.0
49,Ahmad Toure Ngouyamsa,2.0,0.7,1.3,1.7,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,1.3,0.0,0.0,23.3,81.4,0.0,1.3,0.0
50,Ahmed El Mohamady,1.2,1.2,0.4,1.6,0.2,0.0,0.0,0.0,0.6,0.9,0.1,0.2,0.0,0.2,0.4,0.0,0.9,33.6,78.1,0.7,2.1,0.0
51,Ahmed Hegazi,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,56.0,67.9,0.0,4.0,0.0
52,Ahmed Kutucu,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.1,0.0,0.1,0.7,0.0,0.1,4.6,71.9,0.0,0.1,0.0
53,Aihen Muñoz,1.4,0.6,1.1,1.7,0.1,0.0,0.0,1.0,0.3,0.4,0.6,0.6,0.0,0.4,0.4,1.0,0.4,32.3,71.2,0.8,1.5,0.0
54,Ainsley Maitland-Niles,1.0,1.3,0.5,0.5,0.2,0.0,0.0,0.0,0.2,0.2,0.5,0.3,0.2,0.6,0.9,0.0,0.2,22.8,78.1,0.2,0.9,0.0
55,Ainsley Maitland-Niles,1.5,1.1,0.7,1.4,0.1,0.0,0.0,0.0,0.7,0.3,1.1,0.9,0.0,1.6,2.1,0.0,0.3,26.5,77.6,0.1,1.1,0.0
56,Aitor Fernández,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,26.7,72.2,0.0,4.4,0.0
57,Aitor Ruibal,1.1,0.4,1.3,0.2,0.0,0.0,2.0,2.0,1.2,0.9,1.3,0.6,0.2,1.3,1.8,2.0,0.9,18.8,75.9,0.1,0.5,0.0
58,Ajdin Hrustic,0.5,0.4,0.6,0.3,0.0,0.0,1.0,0.0,0.6,0.4,0.4,0.5,0.0,0.3,0.8,0.0,0.4,18.8,87.0,0.6,0.7,0.0
59,Akaki Gogia,0.1,0.1,0.9,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.3,0.6,0.0,0.3,0.1,1.0,0.3,8.0,71.4,0.0,0.3,0.1
60,Alan Empereur,0.3,1.5,0.8,1.8,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.5,0.3,0.0,0.0,28.8,80.0,0.0,1.0,0.0
61,Alassane Plea,0.7,0.2,0.6,0.2,0.0,0.0,6.0,1.0,2.1,1.0,0.9,1.0,0.7,0.7,2.2,1.0,1.0,22.3,75.3,0.2,0.6,0.1
62,Alban Lafont,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,26.1,53.6,0.0,5.8,0.0
63,Alberto Cerri,0.1,0.1,0.8,0.3,0.1,0.0,1.0,0.0,0.7,0.3,0.3,0.6,0.0,0.5,0.6,0.0,0.3,6.0,61.5,0.0,0.2,0.0
64,Alberto Cifuentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,32.5,36.9,0.0,11.5,0.0
65,Alberto Grassi ,1.3,1.1,0.7,1.1,0.4,1.0,0.0,0.0,0.4,0.1,0.3,1.2,0.0,0.2,1.0,0.0,0.1,18.7,80.2,0.0,0.6,0.0
66,Alberto Moreno,1.4,0.6,0.6,0.2,0.2,0.0,0.0,0.0,0.8,0.0,0.8,0.6,0.0,0.0,0.0,0.0,0.0,16.4,89.0,0.0,0.6,0.0
67,Alberto Paleari,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,22.3,62.7,0.0,3.0,0.0
68,Alberto Perea,1.0,0.8,0.2,0.2,0.0,0.0,2.0,3.0,1.0,0.5,2.3,1.2,0.0,1.3,0.9,3.0,0.5,16.7,79.0,0.4,0.9,0.0
69,Alberto Soro,0.5,0.1,0.7,0.1,0.0,0.0,1.0,2.0,0.1,0.4,0.1,0.6,0.2,0.7,0.4,2.0,0.4,7.8,76.1,0.2,0.1,0.0
70,Albin Ekdal,1.8,1.5,1.5,1.0,0.4,0.0,2.0,1.0,0.4,0.3,0.6,1.8,0.0,0.6,0.7,1.0,0.3,32.7,83.8,0.0,1.2,0.0
71,Aleix García,0.5,0.7,0.4,0.2,0.0,0.0,0.0,1.0,0.3,1.1,0.1,0.1,0.0,0.1,0.3,1.0,1.1,22.7,87.6,0.6,2.0,0.0
72,Aleix Vidal,0.8,1.0,0.4,0.5,0.1,0.0,0.0,1.0,0.1,0.5,0.3,1.2,0.0,0.1,0.7,1.0,0.5,35.8,86.2,0.2,2.5,0.0
73,Alejandro Cantero,0.5,0.0,1.3,0.8,0.0,0.0,0.0,0.0,0.8,0.8,1.0,0.3,0.3,1.0,2.0,0.0,0.8,9.3,67.6,0.0,0.0,0.0
74,Alejandro Pozo,1.3,0.9,0.7,1.1,0.1,0.0,0.0,0.0,0.4,0.4,0.5,0.6,0.1,0.3,0.9,0.0,0.4,29.5,73.8,0.5,2.5,0.0
75,Aleksandar Dragovic,0.6,0.7,0.7,1.7,0.3,0.0,1.0,0.0,0.2,0.3,0.2,0.4,0.0,0.1,0.2,0.0,0.3,56.1,88.9,0.2,4.3,0.1
76,Aleksandar Kolarov,0.6,1.0,0.4,0.9,0.0,0.0,0.0,1.0,0.9,0.9,0.0,0.6,0.0,0.0,0.4,1.0,0.9,47.7,88.3,0.4,2.4,0.0
77,Aleksandar Mitrovic,0.3,0.1,0.8,0.3,0.1,0.0,3.0,3.0,2.2,0.9,0.3,0.9,0.1,0.6,2.2,3.0,0.9,14.0,73.5,0.1,0.3,0.1
78,Aleksandar Radovanovic,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,68.9,0.0,3.0,0.0
79,Aleksandr Golovin,1.3,0.5,0.9,0.1,0.0,0.0,5.0,9.0,1.3,1.7,0.9,0.6,0.1,0.6,1.4,9.0,1.7,22.5,76.5,1.5,0.5,0.2
80,Aleksandr Kokorin,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,7.5,83.3,0.0,0.0,0.0
81,Aleksey Miranchuk,1.0,0.1,0.7,0.0,0.0,0.0,4.0,2.0,0.6,0.6,0.6,0.8,0.1,0.5,0.7,2.0,0.6,15.4,79.5,0.2,0.5,0.0
82,Alessandro Bastoni,1.1,1.2,1.2,2.2,0.5,0.0,0.0,3.0,0.3,0.4,0.4,0.8,0.0,0.2,0.6,3.0,0.4,68.0,90.5,0.1,4.6,0.0
83,Alessandro Berardi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,54.5,0.0,5.0,0.0
84,Alessandro Buongiorno,1.0,0.9,1.4,3.4,0.8,0.0,0.0,0.0,0.3,0.1,0.3,0.9,0.1,0.2,1.1,0.0,0.1,35.8,82.8,0.1,1.3,0.0
85,Alessandro Deiola,0.5,0.3,0.5,0.1,0.1,0.0,0.0,0.0,0.4,0.7,0.2,0.4,0.0,0.2,0.5,0.0,0.7,12.3,76.2,0.3,0.8,0.0
86,Alessandro Deiola,1.1,0.9,1.0,0.8,0.2,0.0,0.0,0.0,0.5,0.5,0.1,0.3,0.0,0.3,0.6,0.0,0.5,19.5,82.9,0.3,1.3,0.0
87,Alessandro Di Pardo,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.5,0.3,0.0,0.0,0.0,0.0,0.3,1.0,75.0,0.0,0.0,0.0
88,Alessandro Florenzi,1.1,0.8,0.5,1.0,0.0,0.0,2.0,1.0,1.0,0.9,0.2,0.3,0.1,0.1,0.4,1.0,0.9,39.7,83.7,1.2,1.5,0.0
89,Alessandro Schöpf,0.6,0.3,0.6,0.2,0.1,0.0,0.0,0.0,0.5,0.2,0.6,0.7,0.2,1.5,1.2,0.0,0.2,16.9,81.6,0.1,0.2,0.0
90,Alessandro Tripaldelli,1.3,0.3,0.9,1.5,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.0,0.1,0.4,0.0,0.1,7.3,69.9,0.0,0.1,0.0
91,Alessandro Tuia,1.4,1.3,1.0,3.1,0.4,0.0,1.0,0.0,0.3,0.1,0.1,0.4,0.0,0.1,0.3,0.0,0.1,28.1,80.0,0.0,2.4,0.0
92,Alessio Cragno,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,24.2,64.8,0.0,6.3,0.0
93,Alessio gnoli,0.8,1.1,0.9,3.5,1.0,0.0,1.0,1.0,0.7,0.1,0.0,0.5,0.0,0.0,0.3,1.0,0.1,46.5,89.6,0.0,1.4,0.0
94,Alex Berenguer,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.5,0.5,1.0,1.5,0.0,0.0,20.5,75.6,0.5,0.5,0.0
95,Alex Berenguer,1.3,0.5,1.4,0.5,0.1,0.0,8.0,4.0,1.4,1.1,1.0,1.3,0.5,1.1,1.6,4.0,1.1,21.5,75.3,0.7,0.3,0.0
96,Alex Cordaz,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,35.4,69.2,0.0,7.6,0.0
97,Alex Ferrari,2.3,1.9,0.8,2.1,0.5,0.0,0.0,1.0,0.0,0.3,0.1,0.8,0.0,0.3,0.8,1.0,0.3,36.9,84.2,0.1,2.4,0.0
98,Alex Iwobi,0.9,0.5,0.4,0.4,0.0,0.0,1.0,2.0,0.5,0.5,1.5,0.4,0.0,0.9,1.4,2.0,0.5,19.8,83.0,0.3,0.8,0.0
99,Alex McCarthy,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,31.3,61.0,0.0,4.8,0.0
100,Alex Meret,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,87.8,0.0,3.2,0.0
101,Alex Oxlade Chamberlain,0.3,0.2,0.2,0.0,0.0,0.0,1.0,1.0,0.6,0.2,0.1,0.1,0.0,0.4,0.5,1.0,0.2,10.1,79.4,0.0,0.7,0.0
102,Alex Sandro,1.4,1.2,1.0,2.0,0.2,1.0,2.0,1.0,0.5,0.7,0.8,1.1,0.0,0.4,0.9,1.0,0.7,48.3,87.7,0.5,2.5,0.0
103,Alex Telles,1.6,1.8,0.4,2.0,0.2,0.0,0.0,2.0,0.6,1.3,0.3,0.4,0.1,0.6,0.6,2.0,1.3,50.9,84.7,1.3,1.6,0.1
104,Alexander Djiku,2.0,3.0,1.7,3.3,0.3,0.0,0.0,0.0,0.5,0.1,0.2,1.2,0.1,0.2,0.3,0.0,0.1,44.6,84.5,0.0,3.8,0.0
105,Alexander Hack,1.5,2.0,0.7,4.3,0.8,0.0,1.0,0.0,0.3,0.3,0.3,0.6,0.0,0.0,0.3,0.0,0.3,32.8,77.1,0.0,2.7,0.0
106,Alexander Isak,0.3,0.1,0.8,0.2,0.0,0.0,17.0,2.0,2.4,0.3,1.1,1.0,0.6,0.8,1.6,2.0,0.3,12.6,72.7,0.2,0.3,0.1
107,Alexander Nübel,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,94.1,0.0,1.0,0.0
108,Alexander Schwolow,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,30.3,77.3,0.0,6.8,0.0
109,Alexander Sørloth,0.2,0.1,0.9,0.4,0.1,0.0,5.0,3.0,1.6,1.0,0.8,0.2,0.2,1.1,1.5,3.0,1.0,15.3,73.6,0.1,0.1,0.0
110,Alexandre Jankewitz,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.5,66.7,0.0,0.0,0.0
111,Alexandre Lacazette,0.6,0.4,1.2,0.4,0.0,0.0,13.0,2.0,1.5,0.7,0.7,1.7,0.3,1.0,1.6,2.0,0.7,16.6,78.8,0.0,0.4,0.1
112,Alexandre Oukidja,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,25.1,59.4,0.0,7.6,0.0
113,Alexis Claude Maurice,1.3,0.5,0.8,0.1,0.1,0.0,4.0,5.0,1.1,1.2,1.6,1.8,0.0,1.4,2.1,5.0,1.2,23.0,84.5,0.6,0.5,0.0
114,Alexis Flips,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,2.5,0.0,0.0,6.0,75.0,0.0,0.5,0.0
115,Alexis Mac Allister,1.2,0.4,0.9,0.1,0.2,0.0,1.0,1.0,1.1,0.7,0.8,0.7,0.0,0.8,1.3,1.0,0.7,18.9,80.8,0.0,0.8,0.0
116,Alexis Saelemaekers,1.3,0.8,0.9,0.1,0.0,0.0,2.0,4.0,0.9,0.9,1.2,1.1,0.2,0.6,1.9,4.0,0.9,25.1,82.6,0.3,0.5,0.0
117,Alexis Sánchez,0.5,0.2,0.6,0.0,0.0,0.0,7.0,5.0,1.0,1.1,0.8,1.1,0.3,1.1,1.4,5.0,1.1,16.0,80.0,0.4,0.9,0.2
118,Alexis Trouillet,1.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.8,0.0,0.6,0.6,0.0,0.4,13.0,87.7,0.0,1.0,0.0
119,Alfon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,2.0,0.0,0.0,1.5,0.0,0.5,8.0,100.0,0.0,0.0,0.0
120,Alfonso Espino,2.9,1.3,1.0,1.8,0.2,0.0,0.0,3.0,0.3,0.5,0.5,0.7,0.1,0.5,1.0,3.0,0.5,22.3,64.1,0.5,1.9,0.0
121,Alfonso Pedraza,1.2,1.2,1.4,1.1,0.2,1.0,1.0,2.0,0.8,0.9,0.8,0.8,0.0,0.8,1.7,2.0,0.9,32.1,80.3,0.9,0.6,0.0
122,Alfred Finnbogason,0.1,0.1,0.6,0.2,0.1,0.0,0.0,1.0,0.8,0.5,0.2,0.3,0.0,0.6,1.2,1.0,0.5,10.1,63.4,0.1,0.6,0.1
123,Alfred Gomis,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,24.9,75.0,0.0,4.0,0.0
124,Alfred Gomis,0.2,0.2,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,31.2,59.6,0.0,7.2,0.0
125,Alireza Jahanbakhsh,0.4,0.4,0.3,0.0,0.0,0.0,0.0,1.0,0.9,0.5,0.5,0.2,0.0,0.3,0.6,1.0,0.5,11.0,77.6,0.2,0.3,0.1
126,Alisson,0.1,0.1,0.0,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,29.9,84.6,0.0,3.2,0.0
127,Alkhaly Momo Cissé,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.2,2.8,78.6,0.0,0.0,0.0
128,Allan,3.3,0.8,1.5,1.0,0.5,0.0,0.0,0.0,0.3,0.7,1.3,1.3,0.0,0.8,0.9,0.0,0.7,44.0,85.6,0.0,2.4,0.0
129,Allan Saint-Maximin,0.6,0.2,0.4,0.0,0.0,0.0,3.0,4.0,1.2,1.2,3.8,1.8,0.2,2.1,2.2,4.0,1.2,16.7,82.5,0.2,0.6,0.0
130,Allan Tchaptchet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
131,Allan-Roméo Nyom,1.2,0.7,1.4,1.0,0.1,0.0,0.0,2.0,0.3,0.5,0.4,0.6,0.0,0.7,1.0,2.0,0.5,20.9,64.1,0.7,1.3,0.0
132,Almamy Touré,1.1,0.5,0.8,1.1,0.1,0.0,1.0,1.0,0.9,0.8,0.6,0.1,0.4,0.3,1.0,1.0,0.8,15.5,67.8,1.1,0.8,0.0
133,Alpha Sissoko,1.3,1.3,0.2,1.7,0.1,1.0,0.0,0.0,0.1,0.2,0.3,0.4,0.0,0.6,0.4,0.0,0.2,23.0,73.9,0.0,1.7,0.0
134,Alphonse Areola,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,23.3,68.7,0.0,4.4,0.0
135,Alphonso Davies,1.7,1.2,0.6,1.2,0.0,0.0,1.0,2.0,0.2,0.9,2.7,1.6,0.1,1.2,2.7,2.0,0.9,56.2,89.6,0.3,1.0,0.0
136,Amad Diallo,1.0,0.0,0.7,0.3,0.3,0.0,0.0,1.0,0.3,0.7,1.7,1.3,0.0,1.7,1.7,1.0,0.7,21.0,82.5,0.0,0.7,0.3
137,Amad Diallo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,90.0,0.0,1.0,0.0
138,Amadou Diambo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,100.0,0.0,0.0,0.0
