,players,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall
1365,Japhet Tanganga,22,Premier League,Defender,Tottenham Hotspur,489,173,316,England,6,2,4,0,0,0,0,0,0,0,0,2,1,1,8,2,6,2,0,0.0,0.0,0.0,0.0,0.0,0,1.47,61,82,245,0,0.37
1366,Jarrad Branthwaite,19,Premier League,Midfielder,Everton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1367,Jarrod Bowen,24,Premier League,Forward,West Ham United,2578,1401,1177,England,38,19,19,8,6,2,5,2,3,0,0,11,6,5,33,16,17,0,0,0.45,0.17,0.28,0.39,0.15,322,1.15,78,68,0,516,0.0
1368,Jasmin Kurtič,32,Serie A,Midfielder,Parma,2746,1423,1323,Slovenia,34,17,17,4,1,3,0,0,0,0,0,5,5,0,53,29,24,5,0,0.13,0.0,0.13,0.06,0.2,687,1.74,52,81,549,0,0.16
1369,Jason Denayer,26,Ligue 1,Defender,Olympique Lyonnais,2619,1181,1438,Belgium,31,14,17,1,0,1,0,0,0,0,0,9,5,4,31,13,18,1,0,0.03,0.0,0.03,0.0,0.06,2619,1.07,84,84,2619,0,0.03
1370,Jason Remeseiro,27,La Liga,Forward,Valencia CF,431,242,189,Spain,17,8,9,0,0,0,0,0,0,0,0,3,1,2,6,4,2,4,1,0.0,0.0,0.0,0.0,0.0,0,1.25,72,25,108,0,0.84
1371,Jason Steele,30,Premier League,Goalkeeper,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1372,Jasper Cillessen,32,La Liga,Goalkeeper,Valencia CF,900,540,360,Netherlands,10,6,4,0,0,0,0,0,0,0,0,3,2,1,10,5,5,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,90,90,0,0,0.0
1373,Jaume Costa,33,La Liga,Defender,Villarreal,343,102,241,Spain,14,7,7,0,0,0,1,0,1,0,0,2,1,1,5,0,5,1,0,0.26,0.26,0.0,0.0,0.0,0,1.31,69,25,343,343,0.26
1374,Jaume Doménech,30,La Liga,Goalkeeper,Valencia CF,2520,1170,1350,Spain,28,13,15,0,0,0,0,0,0,0,0,4,1,3,41,16,25,1,0,0.0,0.0,0.0,0.0,0.0,0,1.46,61,90,2520,0,0.04
