,players,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall
0,Aaron Anthony Connolly,21,Premier League,Forward,Brighton & Hove Albion,790,397,393,Republic of Ireland,17,8,9,2,1,1,1,0,1,0,0,4,2,2,17,10,7,0,0,0.34,0.11,0.23,0.23,0.23,395,1.94,46,46,0,790,0.0
1,Aaron Cresswell,31,Premier League,Defender,West Ham United,3172,1552,1620,England,36,18,18,0,0,0,8,2,6,0,0,11,6,5,40,19,21,3,0,0.23,0.23,0.0,0.0,0.0,0,1.13,79,88,1057,397,0.09
2,Aaron Hickey,0,Serie A,Midfielder,Bologna,763,364,399,Scotland,11,5,6,0,0,0,0,0,0,0,0,1,1,0,15,7,8,4,1,0.0,0.0,0.0,0.0,0.0,0,1.77,51,69,153,0,0.59
3,Aaron Kamardin,19,Ligue 1,Defender,Olympique Marseille,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
4,Aaron Leya Iseka,23,Ligue 1,Forward,Metz,1010,609,401,Belgium,21,12,9,4,1,3,0,0,0,2,1,6,2,4,15,10,5,4,0,0.36,0.0,0.36,0.15,0.67,253,1.34,67,48,253,0,0.36
5,Aaron Ramsdale,23,Premier League,Goalkeeper,Sheffield United,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,5,4,1,61,26,35,1,0,0.0,0.0,0.0,0.0,0.0,0,1.61,56,90,3420,0,0.03
6,Aaron Ramsey,30,Serie A,Midfielder,Juventus,1093,572,521,Wales,22,12,10,2,1,1,4,3,1,0,0,6,4,2,11,4,7,2,0,0.49,0.33,0.16,0.16,0.17,547,0.91,99,50,547,273,0.16
7,Aaron Wan-Bissaka,23,Premier League,Midfielder,Manchester United,3060,1530,1530,England,34,17,17,2,1,1,4,3,1,0,0,13,6,7,33,21,12,3,0,0.18,0.12,0.06,0.06,0.06,1530,0.97,93,90,1020,765,0.09
8,Aarón Escandell Banacloche,25,La Liga,Goalkeeper,Granada CF,450,180,270,Spain,5,2,3,0,0,0,0,0,0,0,0,1,1,0,8,1,7,1,0,0.0,0.0,0.0,0.0,0.0,0,1.6,56,90,450,0,0.2
9,Aarón Martín,24,La Liga,Defender,Celta de Vigo,1539,668,871,Spain,19,9,10,0,0,0,3,1,2,0,0,5,3,2,24,11,13,1,0,0.18,0.18,0.0,0.0,0.0,0,1.4,64,81,1539,513,0.06
10,Aarón Martín,24,Bundesliga,Defender,Mainz 05,261,94,167,Spain,5,2,3,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.69,131,52,0,0,0.0
11,Abdallah Basit,21,Serie A,Midfielder,Benevento,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
12,Abdallahi Mohamed Mahmoud,21,La Liga,Defender,Deportivo Alavés,66,0,66,Mauritania,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.36,66,33,0,0,0.0
13,Abdelkabir Abqar,22,La Liga,Defender,Deportivo Alavés,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
14,Abdou Diallo,25,Ligue 1,Defender,PSG,1488,716,772,France,22,10,12,0,0,0,1,0,1,0,0,12,5,7,10,4,6,4,2,0.06,0.06,0.0,0.0,0.0,0,0.6,149,68,298,1488,0.3
15,Abdoul Hate Bane,20,Serie A,Defender,Parma,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
16,Abdoulay Diaby,30,La Liga,Forward,Getafe CF,17,0,17,Mali,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,17,0,0,0.0
17,Abdoulaye Bakayoko,0,Ligue 1,Defender,Saint-Étienne,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
18,Abdoulaye Bamba,31,Ligue 1,Defender,Angers SCO,1350,643,707,Côte d'Ivoire,16,8,8,0,0,0,0,0,0,0,0,5,2,3,22,9,13,2,0,0.0,0.0,0.0,0.0,0.0,0,1.47,61,84,675,0,0.13
19,Abdoulaye Doucouré,28,Premier League,Midfielder,Everton,2452,1211,1241,France,29,14,15,2,0,2,3,1,2,0,0,9,3,6,33,17,16,6,0,0.18,0.11,0.07,0.0,0.15,1226,1.21,74,85,409,817,0.22
20,Abdoulaye Ousame,21,Ligue 1,Defender,Strasbourg,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
21,Abdoulaye Sidibe,19,Ligue 1,Forward,Saint-Étienne,10,0,10,Mali,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,9.0,10,10,10,0,9.0
22,Abdoulaye Sylla,0,Ligue 1,Defender,Nantes,6,6,0,France,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,15.0,6,3,0,0,0.0
23,Abdoulaye Touré,27,Ligue 1,Midfielder,Nantes,1681,881,800,France,29,15,14,2,1,1,2,1,1,1,0,2,1,1,28,15,13,2,0,0.21,0.11,0.11,0.1,0.11,841,1.5,60,58,841,841,0.11
24,Abdul Majeed Waris,29,Ligue 1,Forward,Strasbourg,546,155,391,Ghana,15,7,8,1,1,0,0,0,0,1,0,5,3,2,9,1,8,0,0,0.16,0.0,0.16,0.58,0.0,546,1.48,61,36,0,0,0.0
25,Aboubakar Kamara,26,Ligue 1,Forward,Dijon,560,243,317,France,10,5,5,1,0,1,0,0,0,0,0,2,1,1,9,3,6,2,1,0.16,0.0,0.16,0.0,0.28,560,1.45,62,56,187,0,0.48
26,Aboubakar Kamara,26,Premier League,Forward,Fulham,312,208,104,France,11,7,4,0,0,0,0,0,0,0,0,1,1,0,9,5,4,2,1,0.0,0.0,0.0,0.0,0.0,0,2.6,35,28,104,0,0.87
27,Achraf Hakimi Mouh,22,Serie A,Defender,Inter Milan,2671,1261,1410,Morocco,37,18,19,7,4,3,8,5,3,0,0,13,6,7,26,12,14,6,0,0.51,0.27,0.24,0.29,0.19,382,0.88,103,72,445,334,0.2
28,Adam David Lallana,33,Premier League,Midfielder,Brighton & Hove Albion,1588,784,804,England,30,15,15,1,1,0,1,0,1,0,0,9,5,4,17,7,10,0,0,0.11,0.06,0.06,0.11,0.0,1588,0.96,93,53,0,1588,0.0
29,Adam Marušić,28,Serie A,Defender,Lazio,2968,1471,1497,Montenegro,36,18,18,2,0,2,3,2,1,0,0,11,6,5,45,20,25,3,0,0.15,0.09,0.06,0.0,0.12,1484,1.36,66,82,989,989,0.09
30,Adam Oudjani,19,Ligue 1,Midfielder,Lens,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
31,Adam Ounas,24,Serie A,Midfielder,Crotone,1516,780,736,Algeria,22,10,12,4,3,1,3,2,1,0,0,2,2,0,32,11,21,1,0,0.42,0.18,0.24,0.35,0.12,379,1.9,47,69,1516,505,0.06
32,Adam Webster,26,Premier League,Defender,Brighton & Hove Albion,2595,1260,1335,England,29,14,15,1,1,0,0,0,0,0,0,9,4,5,33,17,16,4,0,0.03,0.0,0.03,0.07,0.0,2595,1.14,79,89,649,0,0.14
33,Adama Traore,26,Ligue 1,Forward,Metz,0,0,0,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
34,Adama Traoré Diarra,25,Premier League,Midfielder,Wolverhampton Wanderers,2643,1209,1434,Spain,37,18,19,2,1,1,2,2,0,0,0,10,5,5,36,18,18,4,0,0.14,0.07,0.07,0.07,0.06,1322,1.23,73,71,661,1322,0.14
35,Ademipo Odubeko,18,Premier League,Midfielder,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
36,Ademola Lookman,23,Premier League,Forward,Fulham,2756,1412,1344,England,34,16,18,4,2,2,4,3,1,0,1,9,5,4,32,20,12,5,0,0.26,0.13,0.13,0.13,0.13,689,1.04,86,81,551,689,0.16
37,Ademola Lookman,23,Bundesliga,Forward,RB Leipzig,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
38,Adil Aouchiche,19,Ligue 1,Midfielder,Saint-Étienne,1739,866,873,France,34,16,18,2,1,1,5,3,2,0,0,10,4,6,24,12,12,2,0,0.36,0.26,0.1,0.1,0.1,870,1.24,72,51,870,348,0.1
39,Adil Ben Achour,19,Ligue 1,Forward,Montpellier,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
40,Adilson Malanda,19,Ligue 1,Defender,Nîmes,18,18,0,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,10.0,9,18,0,0,0.0
41,Admir Mehmedi,30,Bundesliga,Forward,Wolfsburg,819,419,400,Switzerland,18,9,9,0,0,0,2,2,0,0,0,7,5,2,5,4,1,0,0,0.22,0.22,0.0,0.0,0.0,0,0.55,164,46,0,410,0.0
42,Adnan Januzaj,26,La Liga,Midfielder,Real Sociedad,1011,572,439,Belgium,27,14,13,4,2,2,5,3,2,3,0,11,5,6,9,5,4,2,0,0.8,0.45,0.36,0.31,0.41,253,0.8,112,37,506,202,0.18
43,Adolfo Julián Gaich,22,Serie A,Forward,Benevento,771,345,426,Argentina,15,7,8,2,0,2,0,0,0,0,0,1,0,1,17,9,8,1,0,0.23,0.0,0.23,0.0,0.42,386,1.98,45,51,771,0,0.12
44,Adrian Bernabe Garcia,20,Premier League,Midfielder,Manchester City,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
45,Adrian Fein,22,Bundesliga,Midfielder,Bayern München,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
46,Adrian Grbic,24,Ligue 1,Midfielder,Lorient,945,428,517,Austria,33,16,17,4,2,2,0,0,0,3,0,3,2,1,18,8,10,2,0,0.38,0.0,0.38,0.42,0.35,236,1.71,53,29,473,0,0.19
47,Adrien Hunou,27,Ligue 1,Midfielder,Rennes,580,336,244,France,20,11,9,4,2,2,0,0,0,0,0,5,2,3,5,4,1,1,0,0.62,0.0,0.62,0.54,0.74,145,0.78,116,29,580,0,0.16
48,Adrien Lebeau,22,Ligue 1,Defender,Strasbourg,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
49,Adrien Louveau,0,Ligue 1,Midfielder,Lens,7,0,7,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,7,0,0,0.0
50,Adrien Rabiot,26,Serie A,Midfielder,Juventus,2312,1152,1160,France,34,16,18,4,1,3,2,0,2,0,0,6,5,1,26,12,14,7,1,0.23,0.08,0.16,0.08,0.23,578,1.01,89,68,330,1156,0.27
51,Adrien Sebastian Perruchet Silva,32,Serie A,Midfielder,Sampdoria,1603,878,725,Portugal,24,14,10,1,1,0,1,1,0,0,0,5,3,2,22,12,10,8,1,0.11,0.06,0.06,0.1,0.0,1603,1.24,73,67,200,1603,0.45
52,Adrien Tameze,26,Serie A,Midfielder,Hellas Verona,2312,1157,1155,France,33,16,17,1,0,1,0,0,0,0,0,7,3,4,29,16,13,6,0,0.04,0.0,0.04,0.0,0.08,2312,1.13,80,70,385,0,0.23
53,Adrien Thomasson,27,Ligue 1,Midfielder,Strasbourg,2638,1521,1117,France,37,19,18,5,3,2,1,1,0,0,0,10,5,5,40,25,15,8,1,0.2,0.03,0.17,0.18,0.16,528,1.36,66,71,330,2638,0.27
54,Adrien Truffert,19,Ligue 1,Forward,Rennes,1956,969,987,France,29,15,14,1,1,0,3,1,2,0,0,9,4,5,22,13,9,3,0,0.18,0.14,0.05,0.09,0.0,1956,1.01,89,67,652,652,0.14
55,Adrián,34,La Liga,Goalkeeper,CA Osasuna,473,291,182,Spain,17,11,6,1,0,1,1,1,0,0,0,6,4,2,5,4,1,0,0,0.38,0.19,0.19,0.0,0.49,473,0.95,95,28,0,473,0.0
56,Adrián Andrés Cubas,25,Ligue 1,Midfielder,Nîmes,2252,962,1290,Argentina,27,12,15,1,1,0,0,0,0,0,0,6,1,5,44,22,22,6,1,0.04,0.0,0.04,0.09,0.0,2252,1.76,51,83,375,0,0.24
57,Adrián Marín Gómez,24,La Liga,Defender,Granada CF,356,144,212,Spain,14,8,6,0,0,0,1,0,1,0,0,2,1,1,9,3,6,1,0,0.25,0.25,0.0,0.0,0.0,0,2.28,40,25,356,356,0.25
58,Adrián San Miguel del Castillo,34,Premier League,Goalkeeper,Liverpool,270,0,270,Spain,3,0,3,0,0,0,0,0,0,0,0,1,0,1,9,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,30,90,0,0,0.0
59,Ahmad Toure Ngouyamsa Nounchil,20,Ligue 1,Defender,Dijon,157,90,67,Cameroon,3,1,2,0,0,0,0,0,0,0,0,1,0,1,4,1,3,1,0,0.0,0.0,0.0,0.0,0.0,0,2.29,39,52,157,0,0.57
60,Ahmed Benali,29,Serie A,Midfielder,Crotone,1218,642,576,Libya,18,8,10,0,0,0,1,0,1,0,0,2,1,1,28,12,16,2,0,0.07,0.07,0.0,0.0,0.0,0,2.07,44,68,609,1218,0.15
61,Ahmed Eissa El Mohamady Abdel Fattah,33,Premier League,Midfielder,Aston Villa,833,442,391,Egypt,14,8,6,0,0,0,0,0,0,0,0,6,4,2,8,4,4,2,0,0.0,0.0,0.0,0.0,0.0,0,0.86,104,60,417,0,0.22
62,Ahmed Hegazi,30,Premier League,Defender,West Bromwich Albion,90,90,0,Egypt,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,90,0,0,0.0
63,Ahmed Kutucu,21,Bundesliga,Forward,Schalke 04,101,55,46,Germany,7,4,3,0,0,0,0,0,0,0,0,1,1,0,2,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0,1.78,51,14,101,0,0.89
64,Ahoueke Denkey,20,Ligue 1,Midfielder,Nîmes,525,237,288,France,10,5,5,1,1,0,1,1,0,0,0,3,1,2,7,4,3,3,0,0.34,0.17,0.17,0.38,0.0,525,1.2,75,53,175,525,0.51
65,Aihen Muñoz Capellán,23,La Liga,Midfielder,Real Sociedad,1210,575,635,Spain,16,8,8,0,0,0,1,0,1,0,0,5,3,2,13,4,9,6,0,0.07,0.07,0.0,0.0,0.0,0,0.97,93,76,202,1210,0.45
66,Aimar Oroz,19,La Liga,Midfielder,CA Osasuna,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
67,Aimen Moueffek,20,Ligue 1,Midfielder,Saint-Étienne,734,291,443,France,19,8,11,0,0,0,0,0,0,0,0,6,1,5,16,7,9,3,0,0.0,0.0,0.0,0.0,0.0,0,1.96,46,39,245,0,0.37
68,Ainsley Maitland-Niles,23,Premier League,Midfielder,West Bromwich Albion,1718,788,930,England,26,12,14,0,0,0,0,0,0,0,0,10,4,6,22,5,17,2,0,0.0,0.0,0.0,0.0,0.0,0,1.15,78,66,859,0,0.1
69,Aitor Fernández Abarisketa,30,La Liga,Goalkeeper,Levante UD,2610,1530,1080,Spain,29,17,12,0,0,0,0,0,0,0,0,3,2,1,40,25,15,0,0,0.0,0.0,0.0,0.0,0.0,0,1.38,65,90,0,0,0.0
70,Aitor Paredes Casamichana,21,La Liga,Defender,Athletic Club Bilbao,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
71,Aitor Ruibal García,25,La Liga,Forward,Real Betis,1605,764,841,Spain,28,12,16,2,1,1,2,1,1,0,0,8,3,5,24,11,13,2,0,0.22,0.11,0.11,0.12,0.11,803,1.35,67,57,803,803,0.11
72,Ajdin Hrustic,25,Bundesliga,Midfielder,Eintracht Frankfurt,265,182,83,Australia,11,6,5,1,1,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0.34,0.0,0.34,0.49,0.0,265,0.0,0,24,133,0,0.68
73,Akaki Gogia,29,Bundesliga,Midfielder,Union Berlin,134,95,39,Germany,7,4,3,0,0,0,1,1,0,0,0,1,1,0,2,1,1,1,0,0.67,0.67,0.0,0.0,0.0,0,1.34,67,19,134,134,0.67
74,Alan Pereira Empereur,27,Serie A,Defender,Hellas Verona,222,132,90,Brazil,4,3,1,0,0,0,0,0,0,0,0,2,2,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.41,222,56,222,0,0.41
75,Alassane Pléa,28,Bundesliga,Forward,Borussia M'gladbach,1805,863,942,France,29,13,16,6,1,5,1,1,0,0,0,7,4,3,26,7,19,2,0,0.35,0.05,0.3,0.1,0.48,301,1.3,69,62,903,1805,0.1
76,Alban Lafont,22,Ligue 1,Goalkeeper,Nantes,3420,1710,1710,France,38,19,19,0,0,0,0,0,0,0,0,5,2,3,54,29,25,2,0,0.0,0.0,0.0,0.0,0.0,0,1.42,63,90,1710,0,0.05
77,Alberto Cerri,25,Serie A,Forward,Cagliari,353,228,125,Italy,24,12,12,1,1,0,0,0,0,0,0,4,2,2,5,5,0,1,0,0.25,0.0,0.25,0.39,0.0,353,1.27,71,15,353,0,0.25
78,Alberto Cifuentes Martínez,42,La Liga,Goalkeeper,Cádiz,180,90,90,Spain,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.5,180,90,0,0,0.0
79,Alberto Grassi,26,Serie A,Midfielder,Parma,1179,500,679,Italy,23,10,13,0,0,0,0,0,0,0,0,3,3,0,23,9,14,3,0,0.0,0.0,0.0,0.0,0.0,0,1.76,51,51,393,0,0.23
80,Alberto Moreno,29,La Liga,Defender,Villarreal,192,186,6,Spain,5,3,2,0,0,0,0,0,0,0,0,3,1,2,3,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.41,64,38,0,0,0.0
81,Alberto Paleari,28,Serie A,Goalkeeper,Genoa,205,90,115,Italy,3,1,2,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.88,103,68,0,0,0.0
82,Alberto Perea Correoso,30,La Liga,Forward,Cádiz,1549,763,786,Spain,27,14,13,2,1,1,3,0,3,0,0,4,3,1,31,13,18,0,0,0.29,0.17,0.12,0.12,0.11,775,1.8,50,57,0,516,0.0
83,Alberto Rodríguez Baro,23,La Liga,Defender,Deportivo Alavés,847,202,645,Spain,12,3,9,0,0,0,0,0,0,0,0,4,2,2,12,0,12,5,1,0.0,0.0,0.0,0.0,0.0,0,1.28,71,71,169,0,0.53
84,Alberto Soro Álvarez,22,La Liga,Midfielder,Granada CF,384,160,224,Spain,15,8,7,1,0,1,2,1,1,0,0,3,2,1,12,2,10,1,0,0.7,0.47,0.23,0.0,0.4,384,2.81,32,26,384,192,0.23
85,Albin Ekdal,31,Serie A,Midfielder,Sampdoria,2301,1129,1172,Sweden,32,16,16,2,1,1,1,1,0,0,0,6,4,2,39,18,21,9,0,0.12,0.04,0.08,0.08,0.08,1151,1.53,59,72,256,2301,0.35
86,Aleix García,24,La Liga,Midfielder,SD Eibar,436,147,289,Spain,11,4,7,0,0,0,1,1,0,0,0,0,0,0,10,4,6,1,0,0.21,0.21,0.0,0.0,0.0,0,2.06,44,40,436,436,0.21
87,Aleix Vidal,31,La Liga,Defender,Sevilla FC,588,383,205,Spain,12,6,6,0,0,0,1,0,1,0,0,9,4,5,1,1,0,2,0,0.15,0.15,0.0,0.0,0.0,0,0.15,588,49,294,588,0.31
88,Alejandro Baena Rodríguez,20,La Liga,Midfielder,Villarreal,135,135,0,Spain,6,5,1,0,0,0,0,0,0,0,0,4,3,1,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.33,68,23,0,0,0.0
89,Alejandro Blanco Sánchez,22,La Liga,Forward,Valencia CF,579,297,282,Spain,13,6,7,1,1,0,0,0,0,0,0,2,1,1,7,3,4,1,0,0.16,0.0,0.16,0.3,0.0,579,1.09,83,45,579,0,0.16
90,Alejandro Blesa Pina,0,La Liga,Midfielder,Levante UD,10,10,0,Spain,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10,0,0,0.0
91,Alejandro Cantero Sánchez,21,La Liga,Forward,Levante UD,239,23,216,Spain,4,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0,1.51,60,60,239,0,0.38
92,Alejandro Centelles Plaza,21,La Liga,Defender,Valencia CF,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
93,Alejandro Fernández Iglesias,28,La Liga,Midfielder,Cádiz,1949,969,980,Spain,25,12,13,4,1,3,1,1,0,2,0,7,3,4,26,10,16,1,0,0.23,0.05,0.18,0.09,0.28,487,1.2,75,78,1949,1949,0.05
94,Alejandro Gómez,33,La Liga,Midfielder,Sevilla FC,917,441,476,Argentina,18,10,8,3,2,1,1,1,0,0,0,9,7,2,6,1,5,0,0,0.39,0.1,0.29,0.41,0.19,306,0.59,153,51,0,917,0.0
95,Alejandro Gómez,33,Serie A,Midfielder,Atalanta,672,322,350,Argentina,10,4,6,4,1,3,2,0,2,0,0,1,0,1,14,6,8,0,0,0.8,0.27,0.54,0.28,0.77,168,1.88,48,67,0,336,0.0
96,Alejandro Marqués,21,Serie A,Forward,Juventus,0,0,0,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
97,Alejandro Millán Iranzo,21,La Liga,Forward,Villarreal,1,0,1,Spain,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,0.0
98,Alejandro Moreno Lopera,28,La Liga,Midfielder,Real Betis,1786,920,866,Spain,23,12,11,0,0,0,2,1,1,0,0,6,3,3,30,15,15,4,0,0.1,0.1,0.0,0.0,0.0,0,1.51,60,78,447,893,0.2
99,Alejandro Pozo Pozo,22,La Liga,Midfielder,SD Eibar,2187,896,1291,Spain,30,14,16,0,0,0,0,0,0,0,0,6,4,2,37,14,23,4,0,0.0,0.0,0.0,0.0,0.0,0,1.52,59,73,547,0,0.16
100,Alejandro Remiro Gargallo,26,La Liga,Goalkeeper,Real Sociedad,3420,1710,1710,Spain,38,19,19,0,0,0,0,0,0,0,0,14,6,8,37,20,17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.97,92,90,0,0,0.0
101,Aleksandar Dragović,30,Bundesliga,Defender,Bayer Leverkusen,1130,574,556,Austria,18,11,7,1,0,1,0,0,0,0,0,4,1,3,13,7,6,3,0,0.08,0.0,0.08,0.0,0.16,1130,1.04,87,63,377,0,0.24
102,Aleksandar Kolarov,35,Serie A,Defender,Inter Milan,387,279,108,Serbia,7,4,3,0,0,0,1,1,0,0,0,1,0,1,10,7,3,0,0,0.23,0.23,0.0,0.0,0.0,0,2.33,39,55,0,387,0.0
103,Aleksandar Mitrović,26,Premier League,Forward,Fulham,1389,727,662,Serbia,27,15,12,3,0,3,3,2,1,1,1,7,4,3,22,10,12,3,0,0.39,0.19,0.19,0.0,0.41,463,1.43,63,51,463,463,0.19
104,Aleksandar Radovanović,27,Ligue 1,Defender,Lens,90,0,90,Serbia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,23,90,0,0,0.0
105,Aleksandr Golovin,25,Ligue 1,Midfielder,Monaco,1071,497,574,Russia,21,9,12,5,1,4,9,7,2,0,0,12,5,7,8,3,5,2,0,1.18,0.76,0.42,0.18,0.63,214,0.67,134,51,536,119,0.17
106,Aleksandr Kokorin,30,Serie A,Forward,Fiorentina,91,55,36,Russia,4,2,2,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,1.98,46,23,91,0,0.99
107,Aleksey Miranchuk,25,Serie A,Midfielder,Atalanta,659,273,386,Russia,25,13,12,4,3,1,2,0,2,0,0,8,4,4,11,3,8,0,0,0.82,0.27,0.55,0.99,0.23,165,1.5,60,26,0,330,0.0
108,Alessandro Bastoni,22,Serie A,Defender,Inter Milan,2926,1334,1592,Italy,33,15,18,0,0,0,3,3,0,0,0,14,7,7,25,11,14,6,0,0.09,0.09,0.0,0.0,0.0,0,0.77,117,89,488,975,0.18
109,Alessandro Berardi,30,Serie A,Goalkeeper,Hellas Verona,27,0,27,Italy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,27,0,0,0.0
110,Alessandro Bianco,18,Serie A,Midfielder,Fiorentina,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
111,Alessandro Buongiorno,22,Serie A,Defender,Torino,856,439,417,Italy,12,6,6,0,0,0,0,0,0,0,0,2,1,1,18,11,7,4,0,0.0,0.0,0.0,0.0,0.0,0,1.89,48,71,214,0,0.42
112,Alessandro Deiola,26,Serie A,Midfielder,Cagliari,975,428,547,Italy,24,14,10,0,0,0,0,0,0,0,0,8,3,5,10,6,4,3,0,0.0,0.0,0.0,0.0,0.0,0,0.92,98,41,325,0,0.28
113,Alessandro Di Pardo,22,Serie A,Midfielder,Juventus,10,6,4,Italy,4,3,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,0.0
