home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no
0,1.5,1,2,3,2,1,1,9,9,2,0,1,0,1,1,0,1,17,11,3,4,14,7,9,9,44,56,1.57,1.21,3.95,3.65,1.95,1.28,1.77,2.8,4.9,1.71,2.25
2,0.5,2,2,4,1,1,0,5,3,1,0,0,0,0,1,0,0,14,10,4,3,10,7,10,7,46,54,1.63,1.18,1.57,4.15,6.25,1.32,1.87,3.05,5.75,1.95,1.95
2,2,1,1,2,2,1,1,12,3,0,0,2,1,0,0,3,0,24,7,9,4,15,3,13,4,66,34,2.94,0.91,2.6,3.25,2.85,1.34,1.95,3.15,6.5,1.87,2.05
0.5,0.5,1,1,2,0,0,0,5,5,4,0,3,0,3,1,1,2,13,13,4,3,9,10,13,10,36,64,1.4,1.46,3.25,3.5,2.25,1.29,1.8,2.85,5,1.71,2.3
3,0,1,0,1,1,1,0,10,3,3,0,3,0,1,2,1,2,17,10,8,2,9,8,8,13,58,42,2.08,1.02,1.42,4.6,8.5,1.31,1.83,3.05,6,2.1,1.83
0,2,0,1,1,0,0,0,5,7,3,0,4,0,0,3,1,3,16,11,7,4,9,7,7,9,44,56,1.75,1.31,4.65,3.6,1.8,1.29,1.77,2.85,5.75,1.87,2.05
1,3,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,4.65,3.45,1.87,1.38,2.05,3.45,6.75,1.91,2
0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1.49,4.55,7,1.29,1.77,2.8,5,1.95,1.95
3,3,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2.8,3.1,2.75,1.54,2.45,4.35,8.75,2.15,1.8
3,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,6,4.35,1.54,1.29,1.8,2.9,5.5,1.95,1.95
3,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1.21,7.5,13,1.17,1.49,2.2,3.8,2.15,1.77
1,3,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3.1,3.5,2.3,1.29,1.8,2.8,4.9,1.67,2.35
3,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3.4,3.25,2.3,1.49,2.3,4.05,8.25,2.1,1.83
3,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1.29,5.75,11,1.3,1.83,3,6,2.5,1.59
1,3,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,4.95,4.25,1.67,1.22,1.61,2.45,4.15,1.67,2.35
3,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1.77,3.65,4.95,1.38,2.05,3.4,6.75,2,1.91
0.5,0.5,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3.25,3.75,2.15,0,0,0,0,1.62,2.45
0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2.15,3.25,3.75,0,0,0,0,2.25,1.71
0.5,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,3.65,3.4,2.15,0,0,0,0,1.91,2
