,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Jeff Reine-Adélaïde,1,1,34.0,82.4,0.0,2.0,0.0,9.23
1,Neymar,6,2.6,58.4,80.6,0.8,2.9,0.9,8.58
2,Kylian Mbappé,5,2,30.1,80.4,0.4,0.5,0.1,8.14
3,Ángel Di María,14,3,41.3,78.5,1.6,2.3,0.5,7.75
4,Dimitri Payet,4,4,40.9,76.6,2.5,2.7,0.2,7.73
5,Anthony Caci,4,1.5,52.3,80.1,1.4,5.1,0.1,7.6
6,Memphis Depay,2,1.9,33.8,78.8,0.8,1.2,0.2,7.59
7,Hianga'a M'Bock,0.0,0.5,44.5,82.0,0.0,2.5,0.0,7.49
8,Téji Savanier,2,1.5,45.3,79.0,1.3,5.0,0.0,7.45
9,Donovan Léon,0.0,0.0,17.0,64.7,0.0,4.0,0.0,7.38
10,Souleyman Doumbia,0.0,1,34.0,82.4,0.0,1.0,0.0,7.38
11,Moreto Cassamã,1,1.1,68.6,90.4,1.4,6.6,0.0,7.38
12,Wissam Ben Yedder,4,1.7,29.9,74.9,0.2,0.4,0.2,7.35
13,Idrissa Gueye,2,1.2,78.3,92.7,0.1,2.1,0.1,7.33
14,Marco Verratti,5,1.4,85.5,92.5,0.3,3.3,0.3,7.32
15,Mounir Chouiar,0.0,2.2,26.1,76.2,1.7,0.9,0.0,7.3
16,Jessy Moulin,0.0,0.0,29.0,53.1,0.0,5.2,0.0,7.3
17,Zinédine Ould Khaled,0.0,0.0,25.0,96.0,0.0,3.0,0.0,7.23
18,Hassane Kamara,0.0,0.5,39.2,83.8,0.4,2.1,0.0,7.23
19,Yassine Benrahou,3,2.1,28.3,74.9,2.3,1.0,0.0,7.22
20,Bruno Guimarães,0.0,1.7,64.0,91.1,0.0,5.7,0.0,7.21
21,Marquinhos,1,0.2,68.3,93.4,0.0,3.8,0.1,7.19
22,Adil Aouchiche,0.0,0.0,30.0,80.0,0.0,1.0,0.0,7.17
23,Youcef Atal,1,0.8,32.8,81.0,0.4,0.9,0.0,7.15
24,Mauro Icardi,2,0.6,8.5,86.4,0.1,0.2,0.0,7.15
25,Andy Delort,3,1.5,26.4,62.0,0.8,1.2,0.0,7.15
26,Victor Osimhen,4,0.8,12.7,61.4,0.2,0.1,0.0,7.14
27,Lucas Perrin,0.0,0.0,63.3,90.9,0.0,3.3,0.0,7.14
28,Pierre Lees-Melou,6,1.3,44.5,86.1,0.4,2.9,0.1,7.14
29,Júlio Tavares,2,1.4,22.0,65.2,0.1,0.2,0.0,7.14
30,Raphinha,3,1.9,25.8,71.3,1.3,1,0.1,7.13
31,Zinedine Ferhat,4,2,28.9,70.2,1.8,1,0.0,7.13
32,Renato Sanches,1,1.8,47.0,86.7,1.1,2.4,0.0,7.13
33,Steven Nzonzi,0.0,0.0,61.2,89.9,0.0,2.2,0.0,7.12
34,Islam Slimani,7,1.8,28.3,69.4,0.3,0.6,0.2,7.12
35,Eduardo Camavinga,2,0.3,39.0,87.7,0.0,2.5,0.0,7.12
36,Nicolas de Preville,4,1.9,34.8,78.2,1.3,1.7,0.0,7.12
37,Aleksandr Golovin,4,1.9,39.4,81.8,1.5,2,0.1,7.11
38,Valentin Rongier,1,3,56.7,88.2,1,3,0.3,7.11
39,Marcin Bulka,0.0,0.0,15.0,100.0,0.0,0.0,0.0,7.11
40,Benjamin André,1,0.6,46.8,79.0,0.1,1.7,0.0,7.11
41,Adam Ounas,4,1.6,26.4,82.0,0.6,1.9,0.3,7.1
42,Baptiste Santamaría,1,0.5,47.2,81.5,0.0,5.0,0.1,7.1
43,Yunis Abdelhamid,0.0,0.2,55.8,84.5,0.0,3.1,0.0,7.1
44,Ludovic Baal,0.0,1.3,45.8,79.8,0.9,2.1,0.0,7.09
45,Fabien Centonze,3,0.8,36.3,75.2,0.6,1.9,0.0,7.08
46,Fábio,0.0,0.7,41.1,81.5,0.4,2.0,0.0,7.07
47,Lucas Deaux,1,0.9,40.2,76.6,0.2,3.4,0.1,7.07
48,Lucas Dias,0.0,0.0,23.5,48.9,0.0,6.5,0.0,7.07
49,Jordan Amavi,1,0.5,38.6,79.0,0.3,1.8,0.0,7.07
50,Valentin Rongier,2,1.2,54.6,86.6,0.0,2.1,0.0,7.07
51,Angelo Fulgini,1,1.3,42.6,80.7,1.1,1.2,0.0,7.06
52,Wylan Cyprien,3,1.9,62.6,87.6,1.5,3.8,0.0,7.06
53,Xavier Chavalerin,3,1.8,41.2,81.5,1.2,3.1,0.0,7.06
54,Moussa Dembele,2,0.8,16.0,70.1,0.0,0.3,0.1,7.06
55,Gaëtan Laborde,5,0.9,21.9,68.8,0.1,0.3,0.1,7.06
56,Tiemoué Bakayoko,2,0.5,47.2,86.0,0.0,2.1,0.1,7.05
57,Juan Bernat,4,0.8,55.3,91.0,0.2,0.4,0.0,7.05
58,Gil Dias,0.0,0.9,38.1,82.0,0.4,1.4,0.0,7.05
59,Denis Bouanga,3,0.7,19.1,72.4,0.3,0.7,0.0,7.04
60,Nayef Aguerd,0.0,0.0,53.6,83.1,0.0,6.4,0.0,7.04
61,Gerónimo Rulli,0.0,0.0,29.2,74.1,0.0,8.9,0.0,7.04
62,Nolan Roux,0.0,1.3,19.0,70.7,0.3,0.1,0.0,7.03
63,Tanguy Nianzou,0.0,0.5,56.5,91.4,0.0,1.8,0.0,7.03
64,Predrag Rajkovic,0.0,0.0,32.3,69.8,0.0,5.7,0.0,7.03
65,Pablo,0.0,0.1,59.4,87.1,0.0,2.7,0.0,7.02
66,Houssem Aouar,4,1,42.1,85.7,0.2,1.3,0.1,7.02
67,Marçal,1,1.1,58.8,83.8,0.7,3.9,0.0,7.02
68,Gautier Larsonneur,0.0,0.0,32.1,68.8,0.0,6.2,0.0,7.02
69,Ludovic Ajorque,4,0.6,19.0,70.3,0.1,0.4,0.0,7.01
70,Bouna Sarr,3,0.5,39.7,84.7,0.5,1.0,0.0,7.01
71,Nicolas Pallois,0.0,0.1,51.0,83.3,0.0,4.0,0.0,7.01
72,Presnel Kimpembe,0.0,0.1,69.4,95.0,0.0,1.8,0.0,7.0
