,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
221,Gaëtan Belaud,0.0,0.0,0.4,0.3,0.6,0.7,0.0,0.0,0.4,6.69
222,Joachim Andersen,1,0.0,0.6,0.2,0.2,0.2,0.0,0.1,0.2,6.69
223,Arnaud Lusamba,1,2,0.4,1.2,1.3,1.5,0.1,1.3,1.5,6.69
224,Lovre Kalinic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69
225,Keylor Navas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.69
226,Remi Oudin,1,1,1.5,0.6,1.4,0.5,0.6,1,1.5,6.69
227,Domagoj Bradaric,0.0,1,0.3,0.9,0.3,0.8,0.1,0.2,1,6.69
228,El Bilal Touré,3,0.0,1.6,0.6,0.6,0.7,0.4,0.9,1.7,6.68
229,Vukasin Jovanovic,0.0,1,0.0,0.3,0.0,0.9,0.0,0.3,0.4,6.68
230,Bruno Ecuele Manga,0.0,0.0,0.6,0.2,0.2,0.5,0.0,0.4,0.5,6.68
231,Daniel Congré,0.0,1,0.4,0.1,0.3,0.7,0.0,0.1,0.6,6.68
232,Sidy Sarr,0.0,2,1.0,0.5,0.4,0.4,0.1,0.3,0.7,6.68
233,Dylan Bronn,0.0,0.0,0.2,0.0,0.2,0.6,0.0,0.1,0.2,6.68
234,José Fonte,1,1,0.6,0.2,0.1,0.6,0.0,0.1,0.3,6.68
235,Frédéric Sammaritano,1,2,0.9,2,1.0,0.9,0.2,1.3,1.5,6.68
236,Laurent Koscielny,0.0,0.0,0.1,0.1,0.1,0.5,0.1,0.2,0.4,6.68
237,Mama Baldé,6,2,2.1,0.9,1.1,1.0,0.2,1.5,2.9,6.67
238,Irvin Cardona,6,3,2.4,0.9,0.7,0.6,0.1,1.5,2.5,6.67
239,Lamine Koné,1,0.0,0.4,0.2,0.4,0.6,0.1,0.3,0.5,6.67
240,Benjamin Lecomte,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.67
241,Jonathan Cafú,0.0,0.0,0.3,0.7,1,2.3,0.3,1,3.3,6.67
242,William Vainqueur,0.0,0.0,0.8,0.4,1,0.9,0.0,0.9,1.3,6.67
243,Haris Belkebla,0.0,0.0,0.3,0.4,0.8,1.4,0.0,0.8,1,6.66
244,Marshall Munetsi,0.0,2,0.2,0.3,0.9,0.8,0.0,0.5,1,6.66
245,Jean-Charles Castelletto,1,0.0,0.1,0.2,0.5,0.5,0.1,0.2,0.2,6.66
246,Loïck Landre,1,0.0,0.5,0.2,0.0,1.1,0.1,0.0,0.2,6.66
247,Steve Mandanda,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.66
248,Ibrahima Diallo,0.0,1,0.3,0.5,1.4,1.2,0.0,1.2,1.2,6.66
249,Jean Eudes Aholou,1,1,0.9,0.4,1.1,1.3,0.1,0.6,1.7,6.65
250,Luiz Gustavo,0.0,0.0,0.7,0.7,0.0,0.3,0.0,1,1,6.65
251,Benoît Costil,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,6.64
252,Jean-Ricner Bellegarde,0.0,0.0,0.8,0.9,1.4,1.3,0.0,1.2,1.7,6.64
253,Bafodé Diakité,2,0.0,0.6,0.1,0.3,0.3,0.0,0.1,0.2,6.64
254,Yassine Benzia,0.0,0.0,1.3,1.3,1,2.7,0.0,1.3,1,6.64
255,Clément Grenier,1,0.0,0.6,1.1,0.5,1.0,0.0,0.5,1.1,6.64
256,Adrien Hunou,8,1,1.2,0.6,0.2,1.5,0.2,1,1.8,6.64
257,Ismael Traoré,0.0,0.0,0.4,0.2,0.2,0.2,0.0,0.4,0.3,6.64
258,Jérémy Morel,1,0.0,0.6,0.4,0.4,0.9,0.0,0.3,0.1,6.63
259,Nemanja Radonjic,5,1,1.4,0.7,1.7,0.5,0.1,1.5,2.1,6.63
260,Alban Lafont,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.63
261,Pedro Mendes,1,0.0,0.6,0.1,0.3,1.4,0.0,0.3,0.4,6.63
262,Adrien Silva,0.0,2,0.6,0.7,0.8,1.0,0.0,0.6,0.5,6.63
263,Ruben Aguilar,0.0,2,0.3,0.9,0.6,1.1,0.0,0.6,0.5,6.63
264,Matthieu Dossevi,1,2,0.9,1.9,1.2,0.8,0.2,1.3,2,6.63
265,Álvaro González,0.0,0.0,0.7,0.2,0.2,0.7,0.0,0.0,0.1,6.62
266,Rémi Walter,0.0,0.0,0.0,1,1,1.0,0.0,0.0,3,6.62
267,Cristian Battocchio,3,1,0.8,0.8,0.3,0.3,0.0,0.4,0.5,6.62
268,Patrick Burner,1,1,0.4,0.4,1,0.5,0.0,0.2,0.4,6.61
269,Yaya Sanogo,3,1,1.7,0.5,0.1,1.5,0.3,0.8,1.7,6.61
270,Jean-Kévin Duverne,0.0,0.0,0.1,0.1,0.5,0.6,0.0,0.2,0.4,6.61
271,Paul Bernardoni,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.61
272,Flavien Tait,2,2,0.8,1.1,1.3,1.1,0.0,1.1,1.2,6.61
273,Ibrahim Cissé,0.0,0.0,0.0,1,2,0.0,0.0,0.0,3,6.61
274,Leandro Paredes,0.0,1,1.1,0.3,0.5,0.8,0.0,0.1,0.2,6.61
275,Stevan Jovetic,2,0.0,2.4,0.7,1.4,0.7,0.0,0.8,1.1,6.61
276,Saman Ghoddos,1,0.0,1.2,1,0.2,0.2,0.2,0.6,1,6.61
277,Moussa Wague,0.0,2,0.2,1,0.6,0.4,0.0,1,0.8,6.6
278,Rafael,0.0,0.0,0.4,0.2,0.6,0.9,0.0,0.3,1.4,6.6
279,Aurélien Chedjou,0.0,0.0,0.4,0.1,0.4,0.5,0.0,0.2,0.4,6.6
280,Jordan Ferri,0.0,0.0,0.7,1.4,1.3,1.8,0.0,1.8,1.3,6.6
281,Loris Benito,1,0.0,0.5,0.7,0.2,0.3,0.0,0.5,1.1,6.6
282,Jacques-Alaixys Romao,0.0,0.0,0.5,0.5,0.7,2.7,0.0,0.6,0.9,6.6
283,Abdoulaye Bamba,0.0,0.0,0.1,0.4,0.1,0.3,0.0,0.4,0.4,6.59
284,Rachid Alioui,6,1,2.1,0.6,0.6,1.2,0.2,0.6,1.4,6.59
285,Mamadou Fofana I,0.0,0.0,0.5,0.3,0.2,0.2,0.0,0.3,0.2,6.59
286,Romain Amalfitano,1,1,0.4,0.5,1,1.7,0.0,0.7,1.2,6.59
287,Mike Maignan,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.58
288,Anthony Briançon,1,0.0,0.8,0.1,0.2,0.6,0.1,0.0,0.1,6.58
289,Mexer,0.0,2,0.5,0.3,0.5,0.7,0.1,0.4,0.5,6.58
290,Matis Carvalho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58
