,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
181,Eric García Martret,20,Defender,Manchester City,380,110,270,Spain,6,2,4,0,0,0,0,0,0,0,0,2,1,1,12,5,7,0,0,0,0,0,0,0,0,2.84,32,63,0,0,0,305,272,162,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Erik Lamela,29,Midfielder,Tottenham Hotspur,719,310,409,Argentina,23,11,12,1,0,1,0,0,0,0,0,5,3,2,14,4,10,6,1,0.13,0,0.13,0,0.22,719,1.75,51,31,120,0,0.75,131,396,-1,12,0.7,0.3,1,0,0,0.6,0,0,1,0,0.9,0.4,1.1,0.4,0,0.6,0.9,0,0.4,14.7,83.1,0.1,0.3,0
183,Erik Pieters,32,Defender,Burnley,1261,594,667,Netherlands,20,9,11,0,0,0,1,1,0,0,0,6,2,4,19,9,10,1,0,0.07,0.07,0,0,0,0,1.36,66,63,1261,1261,0.07,381,173,99,17,1.5,0.6,1.3,0.3,1.4,1,0.5,1,0,1,0.2,0.3,0.3,1.1,0.1,0.5,0.6,1,0.3,23.6,74.4,0,1.4,0
184,Ethan Ampadu,20,Midfielder,Sheffield United,2090,1027,1063,Wales,25,12,13,0,0,0,0,0,0,0,0,2,2,0,40,18,22,3,0,0,0,0,0,0,0,1.72,52,84,697,0,0.13,413,407,-1,26,2.3,2,1,0.2,3.3,1,0.8,1,0,0,0.3,0.4,0.5,1,0,0.2,0.6,0,0.4,40.2,82.3,0.2,2.2,0
185,Ezdzhan Alioski,29,Forward,Leeds United,2464,1223,1241,FYR Macedonia,36,18,18,2,1,1,3,1,2,0,0,12,6,6,33,10,23,7,0,0.18,0.11,0.07,0.07,0.07,1232,1.21,75,68,352,821,0.26,186,128,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Ezri Konsa Ngoyo,23,Midfielder,Aston Villa,3195,1575,1620,England,36,18,18,2,2,0,0,0,0,0,0,13,6,7,43,27,16,3,0,0.06,0,0.06,0.11,0,1598,1.21,74,89,1065,0,0.08,206,387,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Fabián Cornelio Balbuena González,29,Defender,West Ham United,1198,658,540,Paraguay,14,8,6,1,0,1,0,0,0,0,0,4,2,2,18,9,9,2,1,0.08,0,0.08,0,0.17,1198,1.35,67,86,399,0,0.23,167,310,95,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Fabian Delph,31,Midfielder,Everton,261,81,180,England,8,3,5,0,0,0,0,0,0,0,0,2,0,2,5,2,3,1,0,0,0,0,0,0,0,1.72,52,33,261,0,0.34,-1,-1,-1,20,0.6,0.5,0.4,0,0.9,0.3,0,0,0,0,0.1,0.3,0.9,0.9,0,0,0.5,0,0.3,27.1,89.9,0,1,0
189,Fabian Schär,29,Defender,Newcastle United,1255,698,557,Switzerland,18,10,8,1,0,1,0,0,0,1,0,4,1,3,18,10,8,5,1,0.07,0,0.07,0,0.16,1255,1.29,70,70,209,0,0.43,182,283,87,13,0.7,1.5,1.2,0.3,2.8,0.7,0.7,0,1,0,0.7,0,0.4,0.8,0.1,0.3,0.2,0,0,32.3,77.1,0,3.5,0
190,Fabinho,27,Midfielder,Liverpool,2565,1305,1260,Brazil,30,16,14,0,0,0,0,0,0,0,0,11,5,6,27,12,15,6,0,0,0,0,0,0,0,0.95,95,86,428,0,0.21,361,355,-1,16,1.9,1.5,1,0.5,2.2,0.9,0.3,0,0,0,0.3,0.1,0.2,0.9,0,0.2,0.6,0,0.1,70.3,90.3,0,3.3,0
