,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
759,Vanja Milinković Savić,24,Goalkeeper,Torino,450,180,270,Serbia,5,2,3,0,0,0,0,0,0,0,0,1,0,1,6,2,4,1,1,0,0,0,0,0,0,1.2,75,90,225,0,0.4,436,349,53,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,Vasco Regini,30,Defender,Sampdoria,86,80,6,Italy,3,2,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2.09,43,29,0,0,0,-1,-1,-1,17,0.7,0.3,0.3,1,0.3,1,0,0,0,0.3,0,0.3,0,0,0,0,0.3,10.3,90.3,0.3,0.7,0
761,Vasilios Zagaritis,20,Midfielder,Parma,63,19,44,Greece,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.43,63,32,0,0,0,-1,-1,-1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,Vedat Muriqi,27,Forward,Lazio,817,341,476,Kosovo,27,13,14,1,0,1,0,0,0,0,0,9,7,2,9,2,7,1,0,0.11,0,0.11,0,0.19,817,0.99,91,30,817,0,0.11,165,327,-1,8,0.1,0.1,0.5,0.7,0.1,0,1,0,1.1,0.4,0.1,0.7,0.6,0.6,1.2,0,0.4,9.2,69,0,0.2,0
763,Victor James Osimhen,22,Forward,Napoli,1576,794,782,Nigeria,24,11,13,10,5,5,3,2,1,0,0,9,2,7,18,10,8,4,0,0.74,0.17,0.57,0.57,0.58,158,1.03,88,66,394,525,0.23,18,95,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,Viktor Kovalenko,25,Midfielder,Atalanta,3,0,3,Ukraine,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,-1,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,0,0,0
765,Vincent Laurini,32,Defender,Parma,873,161,712,France,14,4,10,0,0,0,0,0,0,0,0,2,2,0,22,4,18,1,0,0,0,0,0,0,0,2.27,40,62,873,0,0.1,356,411,176,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,Vincenzo Millico,20,Forward,Torino,18,15,3,Italy,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,26,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.3,2.7,75,0.3,0.3,0
767,Vittorio Parigini,25,Forward,Genoa,52,32,20,Italy,4,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,13,1.3,0,0,0,0,0,0,0,0.3,0,0.3,0.5,0.3,0.3,0.3,0,0,3.5,71.4,0.3,0,0
768,Vlad Chiriche?,31,Defender,Sassuolo,1843,866,977,Romania,24,12,12,2,1,1,1,0,1,0,0,5,2,3,32,14,18,6,0,0.15,0.05,0.1,0.1,0.09,922,1.56,58,77,307,1843,0.29,180,238,124,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
