,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
550,Rubén Pardo Gutiérrez,28,Midfielder,Bordeaux,21,0,21,Spain,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,-1,-1,-1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,Rúnar Alex Rúnarsson,26,Goalkeeper,Dijon,0,0,0,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,Ryad Boudebouz,31,Midfielder,Saint-Étienne,649,256,393,Algeria,14,7,7,0,0,0,1,1,0,0,2,3,1,2,14,4,10,2,0,0.14,0.14,0,0,0,0,1.94,46,46,325,649,0.28,305,100,-1,19,0.6,0.4,0.5,0.2,0,0,0,1,0.9,1.6,1,0.6,0,0.6,1.1,1,1.6,29.2,80.4,1,2.1,0.1
553,Sacha Boey,20,Defender,Dijon,1990,931,1059,France,26,13,13,0,0,0,1,0,1,0,0,4,3,1,32,14,18,2,1,0.05,0.05,0,0,0,0,1.45,62,77,663,1990,0.14,330,215,111,22,2.3,1.7,1.5,2.2,0.2,0,0,1,0.4,0.8,0.9,0.5,0.1,0.5,1.4,1,0.8,31.7,79.2,0.8,1.6,0
554,Sacha Boey,20,Defender,Dijon,1990,931,1059,France,26,13,13,0,0,0,1,0,1,0,0,4,3,1,32,14,18,2,1,0.05,0.05,0,0,0,0,1.45,62,77,663,1990,0.14,330,215,111,22,1.5,1,1,1,0,0,0,0,0.5,0.5,0,0,0,0,1.5,0,0.5,34,85.3,0.5,1,0
555,Sacha Delaye,19,Forward,Montpellier,6,0,6,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,25,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,66.7,0,1,0
556,Sada Thioub,26,Forward,Angers SCO,1253,600,653,France,27,14,13,1,1,0,1,0,1,0,0,5,2,3,20,8,12,0,0,0.14,0.07,0.07,0.15,0,1253,1.44,63,46,0,1253,0,202,191,-1,11,0.6,0.3,0.7,0,0,0,1,1,0.9,0.9,1.3,0.9,0,1.5,1.6,1,0.9,21.3,84.7,0.2,0.6,0
557,Saidou Sow,19,Defender,Saint-Étienne,996,338,658,France,15,6,9,0,0,0,0,0,0,0,0,3,0,3,16,9,7,0,0,0,0,0,0,0,0,1.45,62,66,0,0,0,406,374,112,30,1.5,0.9,0.5,2.5,0.5,0,0,0,0.1,0.1,0.2,0.3,0,0.2,0.3,0,0.1,38.9,82.4,0,2.5,0
558,Saîf-Eddine Khaoui,26,Midfielder,Olympique Marseille,599,377,222,France,17,11,6,2,2,0,1,1,0,0,0,3,2,1,4,2,2,4,0,0.45,0.15,0.3,0.48,0,300,0.6,150,35,150,599,0.6,66,88,-1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,Salim Ben Seghir,18,Forward,Nice,6,6,0,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,100,0,1,0
560,Salomon Sambia,24,Midfielder,Montpellier,2443,1013,1430,France,36,17,19,1,1,0,6,4,2,0,0,5,1,4,46,23,23,2,0,0.26,0.22,0.04,0.09,0,2443,1.69,53,68,1222,407,0.07,245,47,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,Sami Ben Amar,23,Forward,Nîmes,6,6,0,France,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,50,0,0,0
562,Samuel Kalu Ojim,23,Forward,Bordeaux,972,622,350,Nigeria,20,11,9,4,2,2,1,0,1,0,0,10,6,4,9,6,3,3,0,0.46,0.09,0.37,0.29,0.51,243,0.83,108,49,324,972,0.28,42,157,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,Samuel Moutoussamy,24,Midfielder,Nantes,83,0,83,France,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,-1,-1,-1,23,0,0,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,27,96.3,0,0,0
