,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Harry Kane,23,14,3.9,1.4,1.5,1.7,0.4,1.5,1.8,7.79
1,Kevin De Bruyne,6,12,3.2,3.2,1.9,1.2,0.0,1.3,1.8,7.65
2,Jack Grealish,6,10,1.9,3.1,2.5,4.2,0.3,1.5,2.1,7.56
3,Bruno Fernandes,18,12,3.3,2.6,0.6,1.4,0.1,1.0,1.5,7.43
4,Tomas Soucek,10,1,1.7,0.5,0.4,1.1,0.1,0.6,1.1,7.36
5,Mason Mount,6,5,2.3,2.4,1.2,1.2,0.1,1.1,1.6,7.33
6,Sadio Mané,11,7,2.7,1.7,2.3,2.2,0.9,1.7,2.9,7.33
7,Riyad Mahrez,9,6,2.1,1.6,1.7,1.1,0.3,1.1,1.7,7.31
8,João Cancelo,2,3,1.3,1.6,1.7,0.6,0.1,0.8,1.3,7.31
9,Gareth Bale,11,2,1.9,1.1,1.4,0.5,0.3,0.4,0.9,7.3
10,Nathaniel Phillips,1,1,0.9,0.4,0.1,0.5,0.0,0.2,0.5,7.29
11,Ilkay Gündogan,13,2,1.9,1.5,1,0.9,0.0,0.5,1.1,7.29
12,Son Heung-Min,17,10,1.8,2,1.1,1.5,0.4,1.4,1.6,7.27
13,Wilfred Ndidi,1,4,0.6,0.6,0.6,0.6,0.0,0.5,1.0,7.25
14,Jesse Lingard,9,4,2.6,1.1,1.1,1.5,0.4,1.4,1.8,7.22
15,Raphinha,6,9,2.2,2.1,1.9,1.0,0.5,1.1,2.8,7.22
16,Raheem Sterling,10,7,2.3,1.3,2.1,1.3,0.3,2.7,2.0,7.22
17,James Rodríguez,6,4,1.6,1.7,1.5,1.7,0.3,1.7,1.4,7.21
18,Ollie Watkins,14,5,2.6,1.2,1.1,1.3,0.8,2.3,3.1,7.18
19,Kortney Hause,1,0.0,0.7,0.0,0.0,0.4,0.0,0.0,0.1,7.17
20,Rodri,2,2,0.9,1.0,0.8,0.9,0.1,0.6,0.7,7.17
21,Michail Antonio,10,5,2.4,1.0,1.7,1.5,0.6,1.9,3.0,7.17
22,Dominic Calvert-Lewin,16,0.0,2.5,0.5,0.7,1.2,0.5,0.9,3.1,7.17
23,Jimmy Dunne,1,0.0,2.3,0.7,0.3,1.0,0.0,0.3,0.3,7.16
24,Aaron Wan-Bissaka,2,4,0.2,0.9,1.0,0.4,0.0,0.6,1.0,7.15
25,Phil Foden,9,5,1.6,1.3,1.4,1.2,0.1,0.5,1.7,7.14
26,Joseph Willock,8,0.0,1.4,0.6,1.6,1.1,0.0,1.1,1.5,7.13
27,Marcus Rashford,11,9,2.1,1.2,2.2,1.1,0.7,1.4,2.1,7.13
28,Thiago,1,0.0,0.9,1.3,1.4,1.0,0.0,0.8,1.0,7.12
29,Allan Saint-Maximin,3,4,1.2,1.2,3.8,1.8,0.2,2.1,2.2,7.12
30,Gabriel Jesus,9,4,1.9,1.1,1.7,1.6,0.6,1.3,2,7.11
31,Pedro Neto,5,6,2,2.0,2.1,1.4,0.1,1.3,2.5,7.11
32,Adama Traoré,2,2,1.2,1.5,4.1,2.3,0.2,1.8,3,7.11
33,Roberto Firmino,9,7,2.3,1.2,1.6,0.4,0.1,1.3,2.2,7.11
34,Jamie Vardy,15,9,2.4,0.8,0.8,0.7,1.1,0.4,1.7,7.11
35,Mat Ryan,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,7.1
36,Youri Tielemans,6,4,1.3,1.3,1.1,1.4,0.0,0.9,1.1,7.09
37,Lucas Digne,0.0,7,0.4,1.5,0.6,0.7,0.1,0.7,1.1,7.08
38,Christian Benteke,10,1,2.4,0.5,0.5,0.7,0.5,0.9,2,7.08
39,Bernardo Silva,2,6,1.1,1.0,1.6,0.7,0.1,0.9,1.3,7.07
40,Kurt Zouma,5,0.0,1.1,0.2,0.1,0.3,0.0,0.2,0.3,7.07
41,Solly March,2,1,1,1.3,2.1,1.2,0.1,1.1,1,7.07
42,James Ward-Prowse,8,7,1.1,1.6,0.4,0.7,0.0,0.4,0.9,7.07
43,Mohamed Salah,22,5,3.4,1.5,1,0.6,0.4,2.2,3.1,7.07
