,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Harry Kane,14,1.4,25.9,69.9,0.2,1.9,0.1,7.79
1,Kevin De Bruyne,12,3.2,50.6,81.7,1.6,2.6,0.2,7.65
2,Jack Grealish,10,3.1,38.3,83.3,0.7,1.2,0.1,7.56
3,Bruno Fernandes,12,2.6,57.1,78.3,1.1,3.8,0.2,7.43
4,Tomas Soucek,1,0.5,42.3,75.5,0.0,2.2,0.0,7.36
5,Mason Mount,5,2.4,47.3,86.5,1.7,1.6,0.0,7.33
6,Sadio Mané,7,1.7,28.8,78.7,0.3,0.8,0.0,7.33
7,Riyad Mahrez,6,1.6,37.2,88.4,0.7,0.9,0.0,7.31
8,João Cancelo,3,1.6,66.2,87.1,0.4,2.4,0.1,7.31
9,Gareth Bale,2,1.1,18.3,73.2,0.6,1.5,0.1,7.3
10,Nathaniel Phillips,1,0.4,65.7,84.2,0.0,2.6,0.0,7.29
11,Ilkay Gündogan,2,1.5,61.2,91.7,0.3,1.6,0.0,7.29
12,Son Heung-Min,10,2,28.6,83.4,1,0.8,0.0,7.27
13,Wilfred Ndidi,4,0.6,55.1,86.9,0.0,2.0,0.0,7.25
14,Jesse Lingard,4,1.1,39.6,83.6,0.4,1.0,0.0,7.22
15,Raphinha,9,2.1,29.2,72.3,1.3,1.5,0.0,7.22
16,Raheem Sterling,7,1.3,35.9,86.2,0.0,0.3,0.0,7.22
17,James Rodríguez,4,1.7,44.8,83.3,0.7,4.3,0.2,7.21
18,Ollie Watkins,5,1.2,21.7,71.5,0.1,0.2,0.0,7.18
19,Kortney Hause,0.0,0.0,33.1,74.6,0.0,2.3,0.0,7.17
20,Rodri,2,1.0,81.9,91.3,0.1,4.6,0.0,7.17
21,Michail Antonio,5,1.0,17.4,68.2,0.1,0.5,0.0,7.17
22,Dominic Calvert-Lewin,0.0,0.5,20.5,68.7,0.1,0.5,0.0,7.17
23,Jimmy Dunne,0.0,0.7,51.0,68.6,0.0,3.3,0.0,7.16
24,Aaron Wan-Bissaka,4,0.9,53.1,84.9,0.4,0.8,0.0,7.15
25,Phil Foden,5,1.3,27.2,88.2,0.5,0.3,0.0,7.14
26,Joseph Willock,0.0,0.6,16.2,77.1,0.2,0.6,0.0,7.13
27,Marcus Rashford,9,1.2,32.1,82.1,0.2,0.9,0.0,7.13
28,Thiago,0.0,1.3,71.7,89.6,0.0,5.0,0.1,7.12
29,Allan Saint-Maximin,4,1.2,16.7,82.5,0.2,0.6,0.0,7.12
30,Gabriel Jesus,4,1.1,25.2,85.0,0.1,0.4,0.0,7.11
31,Pedro Neto,6,2.0,32.9,88.4,1.9,0.5,0.0,7.11
32,Adama Traoré,2,1.5,18.9,76.3,0.6,0.4,0.0,7.11
33,Roberto Firmino,7,1.2,36.1,80.7,0.0,0.6,0.1,7.11
34,Jamie Vardy,9,0.8,12.8,67.5,0.1,0.1,0.0,7.11
