,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Harry Kane,0.6,0.3,0.7,,1.1,0.5,0.3,,7.79
1,Kevin De Bruyne,1.4,0.4,1.1,,0.3,1.4,,,7.65
2,Jack Grealish,1.2,0.5,1.5,,0.2,0.3,0.1,,7.56
3,Bruno Fernandes,1.5,0.7,1.2,,0.7,2.0,,,7.43
4,Tomas Soucek,2.1,1.6,1.8,0.1,2.7,1.3,0.5,1,7.36
5,Mason Mount,2.1,0.9,1.4,,0.3,1.2,0.1,,7.33
6,Sadio Mané,1.4,0.4,1.5,,0.3,0.6,,,7.33
7,Riyad Mahrez,0.7,0.3,0.5,,0.1,0.9,,,7.31
8,João Cancelo,2.4,1.5,1.3,0.3,1.0,1.4,0.1,,7.31
9,Gareth Bale,0.9,0.4,0.5,0.1,0.7,0.4,0.1,,7.3
10,Nathaniel Phillips,1.3,1.2,1.2,0.5,4.8,0.8,0.8,,7.29
11,Ilkay Gündogan,0.9,0.7,0.3,,0.3,1.0,0.1,,7.29
12,Son Heung-Min,0.9,0.4,0.4,,0.1,1.5,0.1,,7.27
13,Wilfred Ndidi,3.7,2.3,2.1,0.1,2,1.5,0.4,,7.25
14,Jesse Lingard,0.8,0.3,1.3,,,0.6,0.1,,7.22
15,Raphinha,1.1,1.0,0.4,,0.9,1.5,,,7.22
16,Raheem Sterling,0.7,0.5,1.2,,0.1,0.2,,,7.22
17,James Rodríguez,1.2,0.7,0.7,,,1.5,,,7.21
18,Ollie Watkins,0.8,0.2,1.3,,0.6,0.6,0.1,,7.18
19,Kortney Hause,0.6,1.1,0.7,0.4,7.6,0.4,0.3,,7.17
20,Rodri,2.1,1.1,1.3,,1.6,1.0,0.3,,7.17
21,Michail Antonio,0.3,0.3,1.1,,0.3,0.2,0.1,,7.17
22,Dominic Calvert-Lewin,0.5,0.2,1.1,,1,0.2,0.2,,7.17
23,Jimmy Dunne,1.0,2.0,0.7,0.3,5.3,0.3,0.7,,7.16
24,Aaron Wan-Bissaka,2.6,1.8,0.9,0.2,1.8,0.4,0.5,,7.15
25,Phil Foden,0.8,0.4,0.4,,0.4,0.5,,,7.14
26,Joseph Willock,1.9,1.2,0.6,,0.7,2.4,0.2,,7.13
27,Marcus Rashford,0.5,0.2,0.7,0.1,0.3,0.5,0.1,,7.13
28,Thiago,2.5,1.3,2.0,,0.5,1.3,,,7.12
29,Allan Saint-Maximin,0.6,0.2,0.4,,,0.2,,,7.12
30,Gabriel Jesus,0.6,0.5,1,,0.2,0.6,,,7.11
31,Pedro Neto,0.5,1,0.8,,0.2,0.7,0.1,,7.11
32,Adama Traoré,0.8,0.2,1.3,,0.3,0.2,,,7.11
33,Roberto Firmino,0.9,0.3,0.6,,0.3,0.7,0.1,,7.11
34,Jamie Vardy,0.5,0.1,0.8,0.1,0.9,0.4,0.1,,7.11
35,Mat Ryan,,,,,1.0,,,,7.1
36,Youri Tielemans,2.3,1.2,1,,0.4,1.7,0.2,,7.09
37,Lucas Digne,2.1,1,1.1,0.1,2.4,0.8,0.1,,7.08
38,Christian Benteke,0.5,0.1,1.2,,1.3,0.2,0.2,,7.08
39,Bernardo Silva,1,0.7,0.7,,0.2,1.6,,,7.07
40,Kurt Zouma,0.7,1.2,0.7,0.5,3.8,0.2,0.4,,7.07
41,Solly March,2.3,1,1.2,,1.0,0.8,0.2,,7.07
42,James Ward-Prowse,2,1.1,1.2,,1.4,1.1,0.1,,7.07
43,Mohamed Salah,0.5,,0.6,,0.3,0.2,,,7.07
44,Liam Cooper,2.7,2.4,0.9,0.5,2.7,0.9,1.3,,7.06
45,Kiko Casilla,,,,,1.3,,,,7.06
46,Serge Aurier,2.9,1,1.2,0.2,2.2,1.3,0.3,,7.06
47,Paul Pogba,1.4,1,1.6,,1.4,0.8,0.1,,7.06
48,Harry Maguire,0.9,1.8,1.2,0.6,3.6,0.3,0.7,,7.04
49,John Stones,1,0.8,0.3,0.7,2.5,0.2,0.7,,7.03
50,James Justin,2.7,1.3,0.7,0.2,1.9,0.9,0.4,,7.03
51,Luke Shaw,1.4,0.6,1.3,0.1,1.2,0.5,0.3,1,7.03
52,Patrick Bamford,0.6,0.3,0.9,,1.0,0.5,0.1,,7.03
53,Caoimhin Kelleher,,,,,1.0,,,,7.03
54,James Tarkowski,1.8,1.2,0.8,0.6,4.4,0.7,1.2,,7.02
55,Antonio Rüdiger,1.6,0.9,0.8,0.5,2.7,0.2,0.5,1,7.02
56,Trent Alexander-Arnold,1.6,1.4,0.6,0.4,1.2,0.6,0.1,,7.02
57,Wesley Fofana,1.8,2.2,1.3,0.5,3.3,0.5,0.6,,7.01
58,Declan Rice,1.8,1.8,0.7,,1.1,0.9,0.3,,7.01
59,Kalvin Phillips,2.6,1.6,1.6,0.1,1.7,1.2,0.5,,7.01
60,James Maddison,1.0,0.3,0.6,,0.1,0.9,,,7.0
61,Ben Chilwell,1.6,0.9,0.9,0.1,1.7,0.7,0.1,,7.0
62,Emiliano Martínez,0.1,0.1,,,0.4,,,,7.0
63,André-Frank Zambo Anguissa,2.2,1.6,1.2,,0.4,1.1,0.2,,6.99
64,Yves Bissouma,2.9,1.8,1.5,,1.8,0.9,0.2,,6.98
65,Richarlison,1.4,0.4,1,,1.0,1,0.1,,6.98
66,Harvey Barnes,0.8,0.3,0.6,,0.4,0.7,0.1,,6.98
67,Alex Telles,1.6,1.8,0.4,0.1,2.0,1,0.2,,6.97
68,Okay Yokuslu,2.4,2.2,1.6,,2.0,1.1,0.2,,6.96
69,Jack Harrison,1.8,0.4,0.8,,0.5,0.9,0.1,,6.96
70,Matheus Pereira,0.8,0.9,1,,0.4,1.3,,,6.96
71,Joel Matip,1.4,0.7,1.1,1.2,2.2,0.1,,,6.96
72,Vladimir Coufal,2.1,1.2,0.9,0.3,2.6,1.1,0.2,,6.95
73,Pierre-Emile Højbjerg,2.6,1.3,1.8,,1.7,2,0.2,,6.95
74,Luke Ayling,2.8,0.9,0.8,0.4,2,1,0.9,,6.94
75,Scott Carson,,,,,,,,,6.94
76,Reece James,1.7,0.5,1,0.1,1.3,0.7,0.2,,6.94
77,Oriol Romeu,3.3,1.4,1.4,,0.7,2,0.3,,6.93
78,Matthew Cash,2.5,2.1,1.3,0.1,2.9,1.2,0.4,,6.93
79,Scott McTominay,1.6,0.9,1.5,,1.3,0.4,0.3,,6.93
80,Ahmed Hegazi,,1.0,,,7.0,,,,6.93
81,Ben Mee,1.1,1.4,0.5,0.7,4.9,0.5,1.5,,6.93
82,Anthony Elanga,2,0.5,1,,0.5,0.5,0.5,,6.93
83,Fred,2.7,1.5,1.5,,0.7,2,0.3,,6.92
84,Timothy Fosu-Mensah,2,3.0,1,,1.0,,,,6.92
85,César Azpilicueta,2,1.1,1.2,0.1,2.3,0.7,0.2,,6.92
86,Ademola Lookman,1,0.6,1.4,,0.2,0.9,,,6.92
87,Michael Keane,0.8,1.5,0.4,0.3,4.5,0.5,0.9,,6.92
88,Rúben Dias,0.8,1.1,0.7,0.3,2.8,0.4,0.7,1,6.91
89,Thiago Silva,0.9,1.4,0.6,0.6,3.6,0.3,0.6,,6.91
90,Raúl Jiménez,0.3,0.8,0.9,,1.0,0.7,,1,6.91
91,Illan Meslier,,,,,1.2,,,1,6.91
92,Diego Llorente,2.3,1.3,1,0.3,2.5,0.9,0.9,,6.9
93,Matt Targett,2.2,1.4,0.7,0.2,2.3,0.8,0.4,,6.9
94,Marcos Alonso,1,0.9,1,,2.2,0.5,0.1,,6.9
95,Nélson Semedo,2.5,1.2,1.2,0.2,2.1,0.9,0.3,1,6.9
96,Diogo Jota,0.6,0.3,1.3,,0.2,1.4,,,6.89
97,Jannik Vestergaard,1.7,1.4,0.6,0.5,4.0,0.6,0.5,,6.89
98,Arthur Masuaku,1.7,0.7,0.8,0.2,1.4,1.9,,,6.89
99,Alexandre Lacazette,0.6,0.4,1.2,,0.4,0.6,,,6.89
100,Andros Townsend,2.3,1.2,0.8,,0.4,1.4,0.1,,6.88
101,John McGinn,1.6,1.2,1.2,0.1,0.6,1.5,0.2,,6.88
102,Wilfried Zaha,0.9,0.3,1.1,,,0.6,,,6.88
103,Andrew Robertson,1.2,0.6,0.6,0.3,1.8,0.8,0.2,,6.88
104,Bukayo Saka,0.8,0.8,0.9,,0.6,0.9,0.1,1,6.88
105,Jorginho,2.0,1.4,1.1,,0.7,1.6,0.2,,6.88
106,Jonny Evans,0.9,1.6,0.6,0.6,3.4,0.2,0.1,1,6.87
107,Romain Saïss,1.3,1.9,1.1,0.5,4.1,0.5,0.5,,6.87
108,Stuart Dallas,1.9,1.2,1.1,0.1,1.2,1.5,0.1,,6.87
109,Dwight McNeil,1.3,0.9,0.3,,0.5,1.1,0.2,,6.87
110,Nick Pope,,0.1,0.1,,1.3,,,,6.86
111,Tanguy Ndombele,1.2,0.6,0.8,,0.3,0.8,0.1,,6.86
112,Yerry Mina,0.9,1.0,0.9,0.3,4.5,0.2,1,,6.86
113,N'Golo Kanté,2.6,2.0,1.2,,0.9,1,0.1,,6.86
