,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
493,Merveille Papela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97
494,Niklas Lomb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.96
495,Leon Dajaku,0.0,0.0,0.0,0.0,0.5,0.5,1,0.5,1,5.95
496,Mohamed Sankoh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,5.94
497,Sebastian MüllerArminia Bielefeld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.94
498,Mikail Maden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.93
499,Emrehan Gedikli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.91
500,Rabbi Matondo,0.0,0.0,0.0,1,0.3,0.3,0.3,1.3,2.3,5.87
501,Jonas Michel Dirkner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,5.87
502,Lukas Petkov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.87
503,Jacob Bruun Larsen,0.0,0.0,0.0,0.5,0.0,0.0,1,1,2,5.82
