,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
288,Lukasz Piszczek,0.0,0.3,24.7,80.5,0.1,0.8,0.0,6.45
289,Kevin Möhwald,1,0.4,35.1,86.0,0.2,1.4,0.0,6.45
290,Robert Skov,0.0,0.8,17.7,75.4,0.7,0.9,0.0,6.44
291,Krzysztof Piatek,1,0.3,12.0,72.3,0.1,0.4,0.0,6.44
292,Dominik Kohr,0.0,0.1,23.4,78.7,0.0,1,0.0,6.44
293,Youssoufa Moukoko,0.0,0.1,4.9,75.0,0.0,0.0,0.0,6.44
294,Atakan Karazor,0.0,0.1,36.9,86.2,0.0,0.8,0.0,6.44
295,Erik Thommy,2,0.6,14.9,77.3,0.5,1.3,0.0,6.44
296,Danny Latza,2,0.8,24.0,72.0,0.4,1.1,0.0,6.44
297,Timo Horn,0.0,0.0,35.6,72.7,0.0,9.1,0.0,6.44
298,Lukas Kübler,1,0.3,16.6,69.9,0.2,1.7,0.1,6.44
299,Admir Mehmedi,2,1,23.0,80.4,0.2,0.8,0.1,6.44
300,Jonathan Burkardt,0.0,0.5,12.3,71.8,0.0,0.5,0.1,6.44
301,Rocco Reitz,0.0,1,22.5,84.4,0.0,1.0,0.0,6.44
302,Rani Khedira,0.0,0.2,24.2,71.1,0.1,0.8,0.0,6.43
303,Roberto Massimo,0.0,0.4,12.5,76.0,0.1,0.3,0.0,6.43
304,Jorge Meré,0.0,0.2,42.6,87.4,0.0,3.1,0.0,6.43
305,Omar Mascarell,1,0.2,36.4,82.7,0.1,3.2,0.0,6.43
306,Mateo Klimowicz,1,0.6,12.5,77.9,0.0,0.5,0.0,6.43
307,Yann Sommer,0.0,0.0,36.0,80.3,0.0,6.3,0.0,6.43
308,Felix Agu,0.0,0.2,14.6,70.8,0.1,0.5,0.0,6.42
309,Dennis Geiger,1,1.3,34.6,88.1,0.9,2.2,0.1,6.42
310,Deyovaisio Zeefuik,0.0,0.5,16.9,71.5,0.5,0.7,0.0,6.42
311,Dominick Drexler,1,0.6,18.1,79.6,0.3,0.6,0.0,6.42
312,Sami Khedira,1,0.3,24.2,83.0,0.1,1.0,0.0,6.42
313,Karim Bellarabi,0.0,0.7,15.1,79.8,0.5,0.5,0.0,6.42
314,Douglas Costa,1,0.5,14.1,78.1,0.5,0.9,0.0,6.41
315,Sargis Adamyan,3,0.6,7.9,68.5,0.1,0.1,0.0,6.41
316,Lazar Samardzic,1,0.4,8.9,72.6,0.0,0.3,0.1,6.41
317,Ismail Jakobs,1,0.7,23.2,69.9,0.5,0.9,0.0,6.41
318,Matthew Hoppe,1,0.4,11.4,68.9,0.0,0.1,0.0,6.41
319,Steven Zuber,3,0.7,14.2,78.9,0.3,0.8,0.0,6.4
320,Stefan Ilsanker,0.0,0.2,32.1,79.2,0.0,1.5,0.0,6.4
321,Mike van der HoornArminia Bielefeld,0.0,0.1,38.0,86.6,0.0,3.0,0.0,6.4
322,Daniel Brosinski,1,1.3,27.3,68.6,1.1,1.9,0.0,6.39
323,Jeong Woo-Yeong,0.0,0.5,13.8,76.3,0.1,0.4,0.0,6.39
324,Marco Richter,1,0.5,13.8,65.9,0.3,0.9,0.0,6.39
325,Ozan Kabak,0.0,0.3,49.0,87.9,0.0,2.3,0.1,6.39
326,Nils Petersen,0.0,0.3,7.4,64.3,0.0,0.2,0.0,6.38
327,Christian Groß,1,0.3,37.5,85.3,0.0,1.5,0.0,6.38
328,Marvin Plattenhardt,2,0.6,32.4,81.5,0.8,1.3,0.0,6.38
329,Sergio CórdovaArminia Bielefeld,1,0.5,10.3,66.7,0.1,0.3,0.0,6.38
330,Kevin Stöger,0.0,0.6,17.7,73.8,0.7,0.9,0.0,6.38
331,Tim Siersleben,0.0,0.0,24.0,83.3,0.0,2.0,0.0,6.38
332,Jordan Torunarigha,0.0,0.2,44.6,86.4,0.1,2.2,0.0,6.37
333,Javi Martínez,0.0,0.1,20.3,89.6,0.0,1.3,0.0,6.37
334,Patrick Herrmann,3,0.8,10.6,74.4,0.4,0.3,0.0,6.37
335,Javairô Dilrosun,1,0.4,13.4,75.8,0.2,1.0,0.1,6.37
336,Luca Netz,0.0,0.2,12.2,76.1,0.1,0.4,0.0,6.37
337,Klaas Jan Huntelaar,1,0.6,14.7,77.3,0.1,0.3,0.0,6.37
338,Sead Kolasinac,1,0.8,36.7,79.5,0.4,0.9,0.0,6.37
339,Kevin Vogt,1,0.2,62.9,89.3,0.0,7.5,0.0,6.36
340,Timo Becker,0.0,0.2,33.3,76.0,0.2,1.4,0.0,6.36
341,Georginio Rutter,0.0,0.2,6.4,75.9,0.1,0.3,0.0,6.36
342,Carlos Gruezo,0.0,0.3,28.1,79.6,0.0,2.3,0.0,6.35
343,László Bénes,1,0.8,19.0,68.4,0.8,0.7,0.0,6.35
344,Sava-Arangel Cestic,0.0,0.2,39.4,72.5,0.0,2.2,0.0,6.35
345,Jeremie Frimpong,0.0,0.4,22.1,86.4,0.4,0.7,0.0,6.35
346,Michel VlapArminia Bielefeld,1,1.0,14.3,75.0,0.7,0.4,0.0,6.34
