,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
25,João Cancelo,2.4,1.2,1.0,0.1,0.9,0.9,0.1,0.0,0.0,0.0,0.9,1.0,2.2,0.5,0.0,0.5,0.9,0.0,1.0,59.4,90.4,0.4,2.2,0.0
26,Trent Alexander-Arnold,1.4,1.2,0.6,0.5,1.8,1.1,0.2,0.0,4.0,13.0,1.2,2.3,0.6,0.2,0.1,0.3,1.2,13.0,2.3,64.2,76.7,2.1,5.1,0.0
27,Aaron Wan-Bissaka,3.7,1.9,0.6,0.4,1.7,0.6,0.4,0.0,0.0,4.0,0.2,0.7,1.5,0.5,0.0,1.3,1.0,4.0,0.7,47.1,81.3,0.4,1.0,0.0
28,Richarlison,1.9,0.3,1.2,0.0,1.1,0.8,0.1,0.0,13.0,3.0,2.5,0.9,1.7,2.0,0.5,2.1,2.6,3.0,0.9,21.9,66.6,0.1,0.6,0.0
29,Willy Boly,2.6,1.8,1.1,0.1,4.7,0.8,0.5,0.0,0.0,1.0,0.2,0.3,0.4,0.4,0.0,0.2,0.5,1.0,0.3,44.7,80.9,0.0,1.8,0.0
30,James Tarkowski,1.7,1.7,1.3,0.4,5.3,0.6,1.2,0.0,2.0,2.0,0.6,0.4,0.3,0.8,0.1,0.1,0.4,2.0,0.4,35.5,70.8,0.0,2.8,0.0
31,Paul Pogba,1.3,0.4,1.6,0.0,0.6,0.5,0.3,0.0,1.0,3.0,1.4,1.9,1.7,1.1,0.1,2.0,1.2,3.0,1.9,64.6,85.5,0.1,5.9,0.4
32,Christian Pulisic,0.9,0.2,0.6,0.0,0.3,0.7,0.0,0.0,9.0,4.0,2.5,1.2,2.2,1.2,0.1,2.5,2.1,4.0,1.2,26.7,79.9,0.2,0.8,0.0
33,Sergio Agüero,0.3,0.1,0.4,0.0,0.1,0.3,0.0,0.0,16.0,3.0,3.2,0.8,1.0,0.4,0.3,1.3,1.4,3.0,0.8,14.8,80.5,0.0,0.0,0.0
34,Lucas Digne,2.1,1.2,1.2,0.2,2.7,1.0,0.3,1.0,0.0,7.0,0.8,2.1,0.7,0.8,0.1,0.7,0.8,7.0,2.1,39.3,74.2,2.1,1.8,0.1
35,James Ward-Prowse,2.4,1.6,1.5,0.1,1.9,1.4,0.4,0.0,5.0,3.0,1.5,1.6,0.4,1.1,0.0,0.6,0.7,3.0,1.6,43.8,80.9,1.5,2.1,0.0
36,Jordan Henderson,2.1,1.0,1.0,0.1,0.6,1.1,0.1,0.0,4.0,5.0,0.7,0.9,0.6,0.4,0.0,0.2,0.8,5.0,0.9,61.9,84.5,0.3,4.2,0.1
37,Tomas Soucek,2.2,1.7,0.8,0.0,2.6,1.0,0.1,1.0,3.0,0.0,1.5,0.4,0.0,0.7,0.0,0.1,0.8,0.0,0.4,30.3,70.1,0.0,1.2,0.0
38,Roberto Firmino,1.0,0.2,0.8,0.1,0.3,0.9,0.1,0.0,9.0,8.0,2.6,1.4,1.4,0.4,0.2,1.0,2.4,8.0,1.4,30.6,79.6,0.1,0.7,0.0
39,César Azpilicueta,2.4,1.9,1.1,0.1,2.3,0.9,0.6,0.0,2.0,6.0,0.8,1.3,0.3,0.4,0.1,0.4,0.8,6.0,1.3,67.6,80.7,0.8,2.2,0.0
40,Harry Maguire,1.0,1.9,0.9,0.4,4.1,0.4,0.6,0.0,1.0,1.0,0.8,0.4,0.2,0.6,0.2,0.2,0.3,1.0,0.4,66.3,86.7,0.0,4.4,0.0
41,Danny Ings,1.1,0.2,0.9,0.0,0.6,1.4,0.1,0.0,22.0,2.0,2.4,0.9,1.3,0.7,0.3,1.3,1.8,2.0,0.9,16.9,62.7,0.2,0.5,0.0
42,Andrew Robertson,1.5,1.1,0.5,0.5,1.6,0.9,0.2,0.0,2.0,12.0,0.6,1.7,0.6,0.4,0.1,0.3,1.4,12.0,1.7,69.2,83.7,1.1,2.3,0.0
43,Dejan Lovren,1.3,1.0,0.4,1.7,4.1,0.5,0.6,0.0,0.0,1.0,0.5,0.1,0.1,0.8,0.0,0.0,0.1,1.0,0.1,68.0,83.2,0.0,2.8,0.1
44,Rodri,1.4,0.7,1.2,0.1,0.9,1.1,0.1,0.0,3.0,2.0,0.7,1.0,0.9,0.9,0.0,0.8,0.6,2.0,1.0,73.7,92.9,0.1,4.9,0.1
45,Sébastien Haller,0.7,0.3,1.4,0.0,0.8,0.8,0.2,0.0,7.0,1.0,1.8,0.8,0.8,1.2,0.6,1.1,1.9,1.0,0.8,24.0,65.8,0.0,0.4,0.0
