,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Kevin De Bruyne,20,3.9,54.5,81.5,2.1,3.5,0.4,7.97
1,Bruno Fernandes,7,2.1,55.5,75.7,1.0,3.3,0.3,7.73
2,Ricardo Pereira,2,1.0,56.1,78.9,0.3,2.1,0.1,7.5
3,Adama Traoré,9,1.3,19.2,74.4,1.2,0.2,0.1,7.49
4,Riyad Mahrez,9,1.8,33.2,90.1,0.6,1.7,0.2,7.48
5,Sadio Mané,7,1.7,31.5,81.6,0.3,1.0,0.1,7.45
6,Mohamed Salah,10,1.8,28.8,76.5,0.3,0.4,0.1,7.4
7,Raheem Sterling,1,1.5,35.4,82.8,0.2,0.3,0.1,7.35
8,Marcus Rashford,7,1.1,30.4,77.3,0.3,1.2,0.2,7.35
9,James Maddison,3,2.5,47.5,83.0,1.9,2.3,0.2,7.34
10,Harry Kane,2,0.9,19.1,66.7,0.1,0.8,0.2,7.33
11,Virgil van Dijk,1,0.2,85.8,89.1,0.0,5.4,0.1,7.32
12,Anthony Martial,6,0.9,22.3,80.6,0.1,0.3,0.1,7.31
13,Willian,7,2.1,39.9,82.7,1.4,1.8,0.1,7.31
14,Marcos Alonso,2,1.4,50.4,82.6,1.1,1.4,0.1,7.3
15,Michail Antonio,3,1.1,18.6,68.4,0.4,0.4,0.1,7.29
16,Allan Saint-Maximin,4,1.3,16.6,79.1,0.3,0.8,0.0,7.29
17,Joel Matip,0.0,0.1,61.4,84.3,0.0,2.9,0.0,7.29
18,David Silva,10,1.8,54.9,89.3,0.1,1.1,0.1,7.29
19,Gabriel Jesus,7,0.9,17.9,86.5,0.1,0.6,0.0,7.26
20,Raúl Jiménez,6,1.3,26.1,72.2,0.1,1.2,0.1,7.25
21,Son Heung-Min,10,1.4,26.6,84.7,0.4,0.7,0.2,7.24
22,Jack Grealish,6,2.5,38.1,84.8,0.8,2.3,0.1,7.23
23,Wilfred Ndidi,1,0.5,52.2,85.1,0.0,2.5,0.0,7.23
24,Jamie Vardy,5,0.9,12.6,70.6,0.2,0.2,0.0,7.22
25,João Cancelo,0.0,1.0,59.4,90.4,0.4,2.2,0.0,7.21
26,Trent Alexander-Arnold,13,2.3,64.2,76.7,2.1,5.1,0.0,7.2
27,Aaron Wan-Bissaka,4,0.7,47.1,81.3,0.4,1.0,0.0,7.19
28,Richarlison,3,0.9,21.9,66.6,0.1,0.6,0.0,7.19
29,Willy Boly,1,0.3,44.7,80.9,0.0,1.8,0.0,7.19
30,James Tarkowski,2,0.4,35.5,70.8,0.0,2.8,0.0,7.19
31,Paul Pogba,3,1.9,64.6,85.5,0.1,5.9,0.4,7.18
32,Christian Pulisic,4,1.2,26.7,79.9,0.2,0.8,0.0,7.18
33,Sergio Agüero,3,0.8,14.8,80.5,0.0,0.0,0.0,7.16
34,Lucas Digne,7,2.1,39.3,74.2,2.1,1.8,0.1,7.16
35,James Ward-Prowse,3,1.6,43.8,80.9,1.5,2.1,0.0,7.15
36,Jordan Henderson,5,0.9,61.9,84.5,0.3,4.2,0.1,7.15
37,Tomas Soucek,0.0,0.4,30.3,70.1,0.0,1.2,0.0,7.14
38,Roberto Firmino,8,1.4,30.6,79.6,0.1,0.7,0.0,7.14
39,César Azpilicueta,6,1.3,67.6,80.7,0.8,2.2,0.0,7.12
40,Harry Maguire,1,0.4,66.3,86.7,0.0,4.4,0.0,7.12
41,Danny Ings,2,0.9,16.9,62.7,0.2,0.5,0.0,7.12
42,Andrew Robertson,12,1.7,69.2,83.7,1.1,2.3,0.0,7.11
43,Dejan Lovren,1,0.1,68.0,83.2,0.0,2.8,0.1,7.09
44,Rodri,2,1.0,73.7,92.9,0.1,4.9,0.1,7.09
45,Sébastien Haller,1,0.8,24.0,65.8,0.0,0.4,0.0,7.08
46,Emiliano Buendía,7,2.3,39.1,80.0,1.1,2.5,0.3,7.08
47,Luke Thomas,1,3.3,51.0,77.8,3,2.0,0.0,7.07
48,Nicolas Pépé,6,1.3,22.8,81.4,0.9,0.5,0.1,7.06
49,Serge Aurier,5,1.0,38.8,79.1,0.6,1.0,0.0,7.06
50,Dwight McNeil,6,1.4,27.1,79.1,1.8,1.5,0.0,7.06
51,Diego Rico,4,1.2,40.2,67.3,1.6,2.1,0.1,7.06
52,Troy Deeney,2,1.1,26.3,54.2,0.0,0.3,0.0,7.05
53,Çaglar Söyüncü,1,0.1,68.2,89.6,0.0,3.3,0.0,7.04
54,Bernardo Silva,7,1.5,40.4,90.2,0.5,1.1,0.0,7.03
55,Pierre-Emerick Aubameyang,3,0.7,22.7,72.2,0.6,0.3,0.0,7.03
56,Emiliano Martínez,0.0,0.0,27.2,67.3,0.0,3.7,0.0,7.02
57,João Moutinho,6,2,48.4,85.5,1.8,4.0,0.1,7.01
58,Declan Rice,3,0.6,45.6,86.0,0.3,3.4,0.0,7.01
59,Nemanja Matic,2,0.7,60.2,87.0,0.1,2.2,0.0,7.0
60,John McGinn,3,1.3,25.4,81.4,0.5,2.9,0.0,7.0
61,Aymeric Laporte,0.0,0.2,76.5,92.5,0.0,3.9,0.0,7.0
62,Japhet Tanganga,0.0,0.2,33.5,81.1,0.0,1.0,0.0,7.0
63,Jarrod Bowen,4,1.2,16.4,77.0,1.2,1.0,0.0,6.99
64,Matt Doherty,3,0.6,41.0,74.9,0.2,1.3,0.0,6.99
65,Hugo Lloris,0.0,0.0,22.6,67.1,0.0,5.8,0.0,6.98
66,Wilfried Zaha,3,0.9,28.8,81.1,0.5,0.7,0.0,6.98
67,Chris Basham,1,0.3,34.6,74.7,0.2,1.8,0.0,6.98
68,Jonjo Shelvey,2,1.7,40.2,76.9,0.8,5.5,0.1,6.97
69,Lucas Moura,4,1,22.1,73.5,0.1,0.3,0.1,6.96
70,Ben Chilwell,3,1.3,61.3,78.3,0.7,2.0,0.0,6.96
