,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Kevin De Bruyne,13,20,2.8,3.9,1.4,0.8,0.1,0.9,1.3,7.97
1,Bruno Fernandes,8,7,3.1,2.1,1.1,1.0,0.1,0.9,2.1,7.73
2,Ricardo Pereira,3,2,0.6,1.0,2.1,1.3,0.0,1.1,1.6,7.5
3,Adama Traoré,4,9,1.2,1.3,5.0,2.1,0.2,1.8,2.4,7.49
4,Riyad Mahrez,11,9,2.2,1.8,1.6,0.9,0.4,1.0,1.4,7.48
5,Sadio Mané,18,7,2.2,1.7,2.0,1.5,0.4,1.6,2.9,7.45
6,Mohamed Salah,19,10,3.9,1.8,1.5,0.5,0.6,2.0,2.6,7.4
7,Raheem Sterling,20,1,3.0,1.5,1.7,1.2,0.4,1.8,2.0,7.35
8,Marcus Rashford,17,7,3.1,1.1,1.9,1.5,0.4,1.1,2.1,7.35
9,James Maddison,6,3,2.4,2.5,1.6,2.8,0.1,0.9,1.8,7.34
10,Harry Kane,18,2,2.8,0.9,1.0,1.5,0.7,1.1,2.3,7.33
11,Virgil van Dijk,5,1,0.8,0.2,0.1,0.7,0.0,0.1,0.1,7.32
12,Anthony Martial,17,6,2.5,0.9,1.6,1.3,0.4,1.9,2.3,7.31
13,Willian,9,7,2.0,2.1,1.8,1.3,0.1,0.8,1.7,7.31
14,Marcos Alonso,4,2,1.7,1.4,0.7,0.8,0.1,0.6,1.8,7.3
15,Michail Antonio,10,3,2.8,1.1,2.7,1.5,0.5,1.9,3.0,7.29
16,Allan Saint-Maximin,3,4,1.8,1.3,4.7,1.8,0.1,2.0,2.8,7.29
17,Joel Matip,1,0.0,0.4,0.1,0.2,0.7,0.0,0.2,0.3,7.29
18,David Silva,6,10,1.7,1.8,1.2,0.7,0.1,0.7,1.3,7.29
19,Gabriel Jesus,14,7,3.0,0.9,1.3,0.9,0.6,1.0,1.4,7.26
20,Raúl Jiménez,17,6,3.1,1.3,1.6,0.9,0.5,1.8,2.9,7.25
21,Son Heung-Min,11,10,2.7,1.4,2.1,0.9,0.6,1.9,2.2,7.24
22,Jack Grealish,8,6,2.0,2.5,2.0,4.6,0.1,1.6,1.9,7.23
23,Wilfred Ndidi,2,1,0.8,0.5,0.7,0.8,0.0,0.8,1.0,7.23
24,Jamie Vardy,23,5,2.5,0.9,0.7,0.3,0.8,0.5,1.5,7.22
25,João Cancelo,0.0,0.0,0.9,1.0,2.2,0.5,0.0,0.5,0.9,7.21
26,Trent Alexander-Arnold,4,13,1.2,2.3,0.6,0.2,0.1,0.3,1.2,7.2
