,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
29,Éver Banega,2.2,0.9,1.8,0.0,0.8,1.6,0.2,0.0,3.0,4.0,1.0,1.7,1.8,2.1,0.1,1.8,1.3,4.0,1.7,65.3,85.4,1.0,6.5,0.1
30,Ivan Rakitic,0.9,1.5,0.8,0.1,0.8,0.7,0.2,0.0,3.0,5.0,1.1,0.5,0.6,1.6,0.1,0.7,0.7,5.0,0.5,74.6,91.4,0.1,4.6,0.1
31,Ander Guevara,3.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,42.0,97.6,1.0,3.0,0.0
32,Rubén Rochina,1.9,0.8,1.8,0.0,0.6,2.1,0.0,0.0,4.0,5.0,1.7,1.1,2.4,2.0,0.0,2.1,1.9,5.0,1.1,34.9,72.8,0.7,3.4,0.3
33,Giovani Lo Celso,1.6,0.5,1.1,0.0,0.3,0.8,0.0,0.0,9.0,4.0,2.0,0.8,2.0,2.1,0.0,1.7,2.2,4.0,0.8,44.5,82.9,0.1,1.3,0.2
34,Cote,1.9,1.2,0.6,0.5,2.8,0.7,0.1,0.0,1.0,1.0,0.7,1.6,1.3,0.5,0.0,0.5,0.6,1.0,1.6,42.5,68.1,2.0,5.1,0.0
35,Enric Gallego,1.1,0.4,2.4,0.1,1.6,0.8,0.1,0.0,5.0,1.0,1.7,0.8,0.7,1.5,1.0,1.2,3.2,1.0,0.8,19.7,55.1,0.2,0.1,0.1
36,Emiliano Velázquez,2.7,2.6,1.7,0.6,5.7,0.8,0.4,0.0,0.0,2.0,0.4,0.4,0.8,0.3,0.0,0.3,0.8,2.0,0.4,28.1,69.5,0.2,2.1,0.1
37,Zouhair Feddal,1.8,1.5,1.4,0.6,4.3,0.6,0.4,0.0,1.0,1.0,0.8,0.3,0.9,0.4,0.0,0.2,0.7,1.0,0.3,60.6,86.2,0.0,4.1,0.0
38,Rubén Peña,2.0,1.1,0.8,0.5,1.3,0.9,0.3,0.0,1.0,2.0,0.7,1.4,2.0,1.1,0.0,0.9,1.5,2.0,1.4,43.5,71.5,1.6,3.9,0.0
39,Vicente Iborra,1.6,1.2,1.5,0.0,2.2,1.2,0.4,0.0,3.0,1.0,0.9,0.4,0.4,1.9,0.1,0.7,0.8,1.0,0.4,41.6,80.4,0.0,1.9,0.2
40,Daniel Carvajal,1.7,1.1,1.3,0.0,1.1,1.0,0.3,0.0,1.0,2.0,0.5,1.3,1.4,1.4,0.1,0.8,1.1,2.0,1.3,64.6,87.4,0.4,3.5,0.0
41,Adnan Januzaj,0.6,0.3,0.8,0.1,0.2,0.5,0.0,0.0,1.0,3.0,1.6,1.5,3.3,1.8,0.3,2.6,2.6,3.0,1.5,21.6,75.4,2.0,1.5,0.1
42,Luka Modric,1.4,0.9,0.8,0.0,0.2,1.0,0.1,0.0,3.0,6.0,1.1,1.6,1.6,1.4,0.1,1.2,1.1,6.0,1.6,55.6,88.9,0.6,4.1,0.1
43,Cristhian Stuani,0.7,0.1,2.8,0.0,1.1,0.5,0.0,0.0,19.0,0.0,2.4,0.4,0.4,2.3,0.8,1.2,1.9,0.0,0.4,15.7,68.2,0.0,0.2,0.0
44,Koke Vegas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,75.0,0.0,3.0,0.0
45,Sofiane Boufal,1.0,0.3,1.2,0.0,0.2,0.9,0.0,0.0,3.0,3.0,1.5,1.1,4.1,1.7,0.0,1.8,2.6,3.0,1.1,22.9,80.0,0.3,0.8,0.1
46,Roberto Rosales,2.3,1.0,1.6,0.1,2.9,1.1,0.3,0.0,3.0,1.0,0.9,0.6,0.6,0.8,0.0,0.5,1.4,1.0,0.6,43.5,77.3,0.5,3.2,0.0
47,Lucas Hernández,2.5,1.0,0.9,0.1,3.4,0.2,0.6,0.0,1.0,0.0,0.4,0.2,0.4,1.4,0.0,0.4,0.3,0.0,0.2,36.4,81.3,0.2,1.5,0.0
48,Jordi Alba,1.2,1.7,0.7,0.4,1.6,0.8,0.2,0.0,2.0,8.0,0.4,1.3,0.4,0.5,0.3,0.6,0.8,8.0,1.3,65.6,85.6,0.3,2.0,0.1
49,Leandro Cabrera,1.5,1.6,1.1,0.9,6.7,0.5,0.5,1.0,2.0,0.0,0.7,0.2,0.1,0.4,0.1,0.1,0.3,0.0,0.2,30.0,50.6,0.2,4.5,0.0
50,Sergio Reguilón,1.8,1.4,1.7,0.2,2.5,0.8,0.2,0.0,0.0,2.0,0.4,1.2,0.8,2.1,0.0,0.4,1.6,2.0,1.2,47.6,85.9,0.3,2.4,0.0
