Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Jesús Navas,1,5,1,1.3,1.1,1,0.3,0.4,0.5,6.93
Martín Mantovani,2,0,0.6,0,0,1.8,0,0.3,0.3,6.93
Gabriel Paulista,0,1,0.4,0.2,0.1,1,0,0.1,0.4,6.93
Junior Firpo,3,4,0.8,0.8,1.3,1.1,0.2,0.6,1,6.93
Borja Iglesias,17,3,2.4,1.1,0.6,1.4,1.2,1.8,3,6.93
Philippe Coutinho,5,2,2,0.9,1.5,1.3,0.2,1.4,1.2,6.93
Rodrigo,8,6,2.4,0.9,1.3,1.2,0.4,1.1,2,6.93
Ezequiel Garay,2,0,0.5,0.2,0.1,0.5,0,0,0.2,6.92
Sergio Ramos,6,1,1.1,0.3,0.1,1.3,0.2,0.1,0.4,6.91
Youssef En-Nesyri,9,2,2.4,0.5,0.9,1.3,0.5,1.7,1.9,6.91
Guido Carrillo,6,1,1.8,0.7,0.3,0.9,0.3,0.7,1.2,6.91
Toni Moya,0,0,0,0,0,0,0,0,0,6.91
Sergi Roberto,0,7,0.3,1,0.5,1.1,0,0.7,1,6.91
Santiago Arias,1,1,0.4,0.6,0.3,1.3,0.1,0.4,0.9,6.91
Marc Roca,1,2,0.7,0.7,0.8,0.8,0,0.7,0.6,6.9
Jan Oblak,0,0,0,0,0,0.1,0,0,0.1,6.9
Jeison Murillo,0,0,0,0,0,3,0,0,0,6.9
Jorge Miramón,1,0,0.4,0.9,1.1,0.4,0,0.5,1.1,6.9
Naldo,1,1,0.4,0.1,0.1,0.3,0.1,0.1,0.6,6.9
Óscar Rodríguez,4,3,2,1.5,1.2,0.9,0.1,1.1,1.9,6.9
Gonçalo Guedes,5,3,1.4,0.8,1.4,2,0.3,1,1.6,6.89
Jony,5,10,1.5,2.4,1.7,0.9,0.4,1.7,3,6.89
Rubén Alcaraz,3,2,1.5,0.6,0.7,3.2,0,1.2,1,6.89
