Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Álvaro Medrán,3,0,1.1,1.4,1,0.9,0.1,0.8,0.9,6.53
Keko,2,1,0.8,0.5,1.2,0.8,0.5,0.8,1.4,6.53
Wilfrid Kaptoum,0,0,0.3,0.2,1.9,1.2,0,0.8,1.4,6.52
Rúben Semedo,0,0,0.5,0.1,0.3,0.5,0,0.1,0.5,6.52
Javi Moyano,0,0,0.2,0.4,0.3,0.8,0,0.4,0.5,6.52
Guilherme Arana,0,0,0.7,0.1,0.3,0.9,0,0.3,0.7,6.52
Ibai Gómez,0,2,0.6,1.2,0.4,0.2,0,0.8,1.8,6.52
Federico Valverde,0,0,0.4,0.6,0.8,0.1,0,0.3,0.4,6.51
Ferran Torres,2,1,0.7,0.6,0.6,0.4,0,0.7,0.8,6.51
Hernán Pérez,1,2,0.8,0.7,1.1,0.8,0.3,0.8,1.4,6.51
Takashi Inui,2,0,1.3,0.3,1.2,1.3,0,0.8,2.3,6.51
Damián Musto,0,0,0.5,0.3,0,0.7,0,0.5,0.8,6.51
Stanislav Lobotka,0,1,0.4,0.6,1,1.5,0,0.7,0.8,6.51
Bebé,1,1,2.2,0.8,1.3,0.3,0.3,1.1,1.4,6.51
Manu Trigueros,0,0,0.8,0.8,0.3,0.9,0,0.7,0.8,6.51
Sergio Álvarez,0,0,0,0,0,0,0,0,0,6.51
Miguel Ángel Moyá,0,0,0,0,0.1,0.1,0,0,0.1,6.51
Íñigo Lekue,0,0,0,0.5,0.8,0.8,0,0.8,1,6.51
Luca Sangalli,1,3,0.6,0.6,0.9,0.9,0,1,1.1,6.51
Stole Dimitrievski,0,0,0,0,0,0.2,0,0,0,6.5
Borja Mayoral,3,2,0.8,0.7,0.8,1.1,0.6,1.7,1.4,6.5
Javi Sánchez,0,0,0,0,0,0,0,0,0,6.5
Óscar Duarte,0,0,0.2,0.2,0,0.2,0.1,0.1,0,6.5
David Ferreiro,1,3,1,1.5,0.7,1,0.7,0.8,1.4,6.5
Jordi Amat,0,0,0.2,0.2,0.8,0.3,0,0.2,0.6,6.5
Denis Suárez,0,0,0.5,0.5,1.5,0.5,0,0,0,6.5
Arthur,0,1,0.2,0.5,0.4,1.5,0,0.4,0.4,6.49
Mubarak Wakaso,1,1,1.1,0.3,0.7,1.1,0,0.6,0.8,6.49
Júnior Alonso,0,0,0.4,0.6,0.1,0.2,0.1,0.3,0.7,6.49
Ryad Boudebouz,0,0,1.1,1.1,0.8,0.9,0.1,1.7,1.7,6.49
Marko Rog,0,0,0.2,0.4,1.1,1.1,0,0.4,0.5,6.48
Roque Mesa,2,2,0.9,0.6,0.7,0.8,0.1,1.1,1.2,6.48
Loren Morón,6,0,1.8,0.3,0.5,1.4,0.8,1.3,1.8,6.48
Juanmi,5,2,1.4,0.3,0.5,0.9,0.8,1.3,1,6.48
Rubén Sobrino,3,1,1,0.5,0.8,0.7,0.2,0.9,1.6,6.48
Waldo Rubio,1,0,1.5,0.8,0.9,0.3,0.5,0.3,1.1,6.48
Antonio Adán,0,0,0,0,0,0,0,0,0,6.47
Ignasi Miquel,0,0,0,0,0.3,0.1,0,0,0,6.47
Francisco Portillo,1,4,0.3,0.7,1.2,1.1,0.1,1.5,1.4,6.47
Álex Gallar,4,1,1.1,1.2,0.8,0.6,0.1,0.9,1,6.47
Samu Sáiz,1,0,0.7,0.3,1.5,0.3,0.1,0.2,0.6,6.46
Sanjin Prcic,0,0,0.8,0.1,0.2,1,0,0.3,0.4,6.46
Jesús Vallejo,1,0,0.2,0,0,0.4,0,0.2,0,6.46
Iago Herrerín,0,1,0,0.1,0,0.1,0,0,0,6.46
Víctor Sánchez,0,2,0.5,0.3,0.3,1.5,0.1,0.5,0.7,6.46
Diego Costa,2,2,1,0.6,0.6,0.9,0.7,1.6,2.5,6.46
Jeison Murillo,0,0,0.5,0,0,0,0,1,0.5,6.46
Ángel Rodríguez,8,3,1.8,0.5,0.3,0.9,0.9,0.8,2,6.46
Luisinho,0,0,0.4,0.4,0.7,1.1,0,0.6,0.3,6.46
Xavi Quintillá,0,0,0.4,0.7,0,0,0,0,0.3,6.45
Gonzalo Melero,2,1,1,1,0.6,0.8,0,0.5,0.9,6.45
Pablo De Blasis,2,0,0.5,0.9,0.3,0.5,0,0.7,1.3,6.45
Antonio Luna,0,2,0.2,0.6,0.6,0.8,0,0.6,1.1,6.45
Pedro López,0,1,0.2,0.6,0.7,1.3,0,0.1,0.6,6.45
Mikel Rico,0,0,0.8,0.3,0,0.8,0,1.5,1.3,6.45
Carles Aleñá,2,0,0.8,0.5,0.7,0.8,0.1,0.8,0.7,6.44
Sergio Postigo,1,1,0.3,0.2,0,0.2,0,0.1,0.3,6.44
Pione Sisto,2,1,0.7,0.5,1,0.8,0.1,0.7,0.8,6.44
Marko Dmitrovic,0,0,0,0,0,0,0,0,0,6.44
Andoni Gorosabel,0,0,0.3,0.6,0.1,0.7,0,0.6,1.7,6.44
Adrián Marín,0,0,0.3,0,0.2,0.5,0,0,0.5,6.44
Moi Delgado,0,0,0.7,1,0.7,1,0,0.3,1.7,6.44
Darko Brasanac,0,1,0.4,0.4,0.5,0.6,0,0.6,1.2,6.44
Mikel San José,0,0,0.4,0.5,0.2,0.2,0.1,0.5,0.7,6.44
Riqui Puig,0,0,0,1,0,0.5,0,2,0,6.44
Sergio García,2,1,1.2,0.9,0.6,1.3,0.1,1.3,1.6,6.43
Asier Riesgo,0,0,0,0,0,0,0,0,0,6.43
Munir El Haddadi,1,1,0.6,0.4,0.4,0.3,0.6,0.3,0.4,6.43
Kevin Gameiro,6,1,1.1,0.8,0.4,0.4,0.5,0.8,1,6.43
Moses Simon,1,1,0.8,0.4,1.1,0.3,0,1,0.5,6.43
Emerson Royal,0,0,0.5,0.7,0,2.3,0,0.2,1.3,6.41
Anuar Mohamed,1,0,0.5,0.1,0.2,0.8,0.2,0.6,0.6,6.41
Sergio Akieme,0,1,0,0.5,1,1,0,2,2,6.41
Antoñito,2,1,0.3,0.8,0.7,0.4,0.2,0.6,1,6.41
Thomas Vermaelen,0,0,0.2,0,0,0.4,0,0,0.3,6.4
Sebastián Cristóforo,0,2,0.1,0.5,0.2,1.1,0,0.5,0.3,6.4
Hugo Duro,0,0,0.6,0.2,0.5,1.5,0,0.2,0.7,6.4
Nabil El Zhar,4,0,1,0.6,1,0.4,0.1,0.9,0.8,6.4
Nikola Vukcevic,0,1,0,0.1,0.3,0.7,0,0.3,0.3,6.39
Pedro León,1,0,0.8,0.6,0.1,0.6,0,0.9,1.2,6.39
Pablo Piatti,1,0,0.8,0.7,0.6,1.3,0.1,1,1.6,6.39
Antonio Sanabria,2,0,1.1,0.1,0.3,0.9,0.4,0.7,1.7,6.38
Jonás Ramalho,1,0,0.3,0.1,0.2,0.5,0,0.4,0.5,6.38
Bryan Gil,1,1,0.4,0.2,0.8,0.7,0,0.5,0.5,6.38
Carlos Bacca,6,1,0.9,0.7,0.4,0.3,0.5,0.8,0.8,6.38
Javi García,0,0,0,0,0.2,0.4,0,0.3,0.1,6.38
Nicola Sansone,1,1,0.3,0.3,0,0,0.3,0,1.3,6.38
Daniele Bonera,0,0,0,0,0,0,0,0,0.2,6.38
Uche Agbo,0,0,0.2,0.2,0.5,0.7,0,0.5,0.3,6.37
Kike García,3,0,1.4,0.5,0.2,0.8,0.3,0.9,2,6.37
Marc Cardona,3,1,1,0.3,0.4,0.7,0.3,0.5,1.5,6.37
Valery Fernández,0,1,0.1,0.2,1.1,0.9,0,0.6,1.4,6.37
Jon Bautista,1,0,1.1,0.2,0.3,0.5,0.5,0.8,1,6.37
Tito,0,0,0.1,0.4,0.1,0.9,0,0.5,0.5,6.36
Jasper Cillessen,0,0,0,0,0,0,0,0,0,6.36
Diego Rolan,0,0,0.3,0.5,1.5,1.3,0,1.2,1,6.36
Mariano,3,0,1.8,0.4,0.1,0.3,1.1,0.3,0.9,6.36
Gaël Kakuta,1,0,0.5,0.4,1.3,0.4,0.3,1,2.1,6.35
Gelson Martins,0,0,0.6,0.3,1,0.9,0.1,1,0.9,6.35
Takashi Inui,0,0,1.6,0.4,1,1.5,0.1,0.8,1.4,6.35
Diego Lainez,0,1,0.8,0.6,1.3,1.5,0,0.8,1.4,6.35
Pere Milla,0,0,0.8,0.6,0.6,1,0.4,2,2.6,6.35
Erick Cabaco,2,0,0.5,0.1,0,0.6,0,0.1,0.4,6.34
Gaku Shibasaki,0,0,0.9,0.4,0.6,0.4,0,1.4,1.1,6.34
Álvaro García,4,2,0.8,0.6,0.3,0.5,0.1,0.7,1.2,6.34
Rafinha,0,0,0.4,0.4,0,1.6,0,1.4,1.6,6.33
Sandro Ramírez,0,0,1.8,0.8,0.5,1,0.4,0.5,1.5,6.33
Chechu Dorado,0,0,0,0,2,1,0,0,0,6.33
Rubén Sobrino,0,0,0.8,0.3,0.5,0.8,0,0.8,1.5,6.33
Carlos Vigaray,0,0,0.1,0.6,0.4,0.5,0,0.5,0.9,6.33
Unai López,0,0,0.6,0.3,0.7,0.6,0.1,0.3,0.9,6.33
Ander Iturraspe,0,0,0,0,0,0.3,0,0.3,0.3,6.33
Pedro Bigas,0,1,0.3,0.1,0,0.4,0,0.1,0.1,6.32
Emmanuel Boateng,1,0,1.1,0.1,0.3,1.2,0.6,0.8,1,6.32
Javi Fuego,0,0,0,0,0.2,1,0,0.6,0,6.32
Pablo Hervías,0,0,1,0.7,0.3,1,0,0,0.3,6.32
Jesé,2,0,1.4,0.5,0.9,0.3,0.4,0.6,1.4,6.32
Javi Guerra,0,1,0.9,0.4,0.5,0.4,0.1,0.3,0.4,6.31
Camacho,0,0,1,0.7,0.7,0,0,1,0.3,6.31
Diego Rolan,0,0,0.9,0.2,0.8,1,0,0.9,1,6.31
Borja Bastón,5,1,1.2,0.3,0.2,0.5,0.4,0.7,1.4,6.31
Lluís López,0,0,0.2,0,0.2,0.3,0,0.2,0.2,6.31
Unai Simón,0,0,0,0,0,0,0,0,0,6.31
Gerard Gumbau,1,1,1.2,0.4,0.3,0.7,0,0.2,0.6,6.3
Nikola Kalinic,2,0,0.5,0.2,0,0.5,0.2,0.3,1.2,6.3
Fran Beltrán,1,0,0.6,0.3,0.4,0.5,0,0.7,0.7,6.3
Michael Santos,1,3,1.1,0.4,0.2,0.7,1,0.4,0.9,6.3
Antonio Barragán,0,0,0.1,0.6,0.2,0.6,0,0.3,1,6.29
Roberto López,0,0,0,0,0,0,0,0,0,6.29
Mikel Balenziaga,0,0,0.1,0.3,0.2,0.1,0.1,0.2,0.2,6.28
Patrick Roberts,0,0,0.4,0.4,1.4,0.5,0.1,0.9,0.9,6.28
Kevin Soni,0,0,1,0.6,1.2,0.4,0,1.2,1.2,6.28
Mathias Jensen,0,0,0.7,0.2,0,0.7,0,0.8,0.8,6.28
Borja Fernández,0,0,0.3,0.1,0.1,0.3,0.1,0.2,0.4,6.27
Emre Mor,0,0,0.8,0.2,1,0.7,0.2,0.9,1.2,6.27
Jozabed,0,0,0.6,0.4,0.3,0.6,0.1,0.3,0.7,6.27
Daniele Verde,2,0,1.1,0.5,0.4,0.5,0.4,0.7,0.7,6.27
Kevin Vázquez,0,0,0,0.3,0.3,1.8,0,0.3,0.5,6.27
Luis Muriel,1,1,0.7,0.5,0.3,0,0.5,0,0.8,6.26
Toni Lato,0,0,0.5,0.3,0.3,0.5,0,0,0.8,6.26
Aleksandar Jovanovic,0,0,0,0,0,0.2,0,0,0,6.25
Aritz Aduriz,2,0,1,0.4,0.1,0.4,0.6,0.4,1.2,6.25
Leonardo Suárez,2,0,0.8,0.2,0.3,0.8,0.3,0.6,1.4,6.25
Antonio Sivera,0,0,0,0.3,0,0,0,0,0.3,6.24
Andrew Hjulsager,0,3,0.1,0.4,0.4,0.2,0.1,0.7,0.8,6.24
Facundo Ferreyra,1,0,0.3,0,0,0.4,0.2,0.2,0.7,6.24
Samuele Longo,1,2,0.7,0.4,0.5,0.5,0.2,1.5,1.5,6.24
Seydou Doumbia,2,0,0.9,0,0.7,0.3,0.2,0.9,0.9,6.23
Burgui,1,0,0.5,0.8,0.4,1.3,0.2,0.2,0.6,6.23
John Guidetti,2,1,0.5,0.4,0,0.2,0,0.3,0.7,6.23
Dani Raba,0,1,0.3,0.6,0.1,0.5,0,0.9,0.5,6.23
Michy Batshuayi,1,0,1.1,0.7,0.3,0.5,0.3,1.2,1.3,6.23
Kevin-Prince Boateng,0,0,1,0.7,0,3,1,3.3,3,6.22
Juan Aguilera,0,0,0.5,0,0.2,1,0,0.3,0.7,6.22
Dani Ojeda,0,0,0.4,0.4,0.4,0.4,0,0.4,1,6.22
José Arnáiz,0,0,0.2,0.2,0.5,0.7,0,0.8,0.7,6.21
Moctar Sidi El Hacen,0,0,0,0,0,1,0,0,0,6.21
Mathieu Flamini,0,0,0,0.1,0,0.6,0,0.2,0.3,6.21
Javier Eraso,0,0,0.2,0.5,0.2,0.8,0.1,1,0.9,6.2
Duje Cop,0,0,0.9,0.6,0.1,0.4,0.2,0.3,0.9,6.2
Martín Zubimendi,0,0,0,1,0,0,0,0,0,6.2
Javi Montero,0,0,0,0,0,0.1,0.2,0,0.4,6.19
Dennis-Yerai Eckert Ayensa,0,0,0.9,0.3,0,0.7,0.1,0.9,0.4,6.19
Javier Puado,0,0,0.5,0.3,0.4,0.1,0.1,0.7,1.1,6.18
Fran Manzanara,0,0,0.3,0,0,0.3,0,0,0.8,6.17
Javi Díaz,0,0,0,0,0,0,0,0,0,6.17
Álex López,0,0,0.3,0,0.3,1,0,0.5,0.5,6.17
Miguel De la Fuente,0,0,1,0,0,0.5,0,0,1.5,6.17
Cristo González,0,0,1,1,0,0,0,1,1,6.16
Rober Ibáñez,0,0,0.6,0,0.4,0.7,0,0.1,0.1,6.16
Kenan Kodro,1,0,0.4,0.2,0.1,0.2,0.1,0.5,0.6,6.15
Anthony Lozano,0,0,1.2,0.2,0.3,0.5,0.3,0.8,1,6.15
Alfa Semedo,0,0,0.7,0.3,0.7,0,0,0.7,1,6.15
Ezequiel Muñoz,0,0,0.7,0,0,0,0,0,0,6.14
Serdar Gürler,0,1,0.5,0.5,0.5,0.8,0.5,0.8,1.2,6.14
Seung-Ho Paik,0,0,0.3,0,0,0.7,0,0.7,0,6.13
Sergio León,0,1,0.8,0.4,0.3,0.9,0.5,0.8,1.4,6.12
Raphael Dwamena,0,1,0.3,0.3,0.2,0.5,0.3,0.2,0.5,6.12
Álex Alegría,0,0,0.3,0.3,0.7,0.4,0.3,0.4,1.1,6.11
Sabin Merino,0,0,0.9,0.2,0.2,0.3,0.2,0.3,1.2,6.11
Manuel Iturra,0,0,0,0,0,0.3,0,0,0,6.1
Carles Pérez,0,0,1,0,1,0,0,1,0,6.1
Lee Kang-In,0,0,0.3,0.3,0,0,0,0,0.7,6.09
Nolito,0,0,0.5,0,0.3,0.3,0.3,0.5,0.5,6.09
Markel Bergara,0,0,0,0,0,0,0,0,1,6.08
Johan Mojica,0,0,0,0,0,1,0,0,0,6.08
Rajko Brezancic,0,0,0,0,0,1,0,0,0,6.08
Lluis Sastre,0,0,0,0.3,0,0.5,0,0.3,0.8,6.07
Sergio Moreno,0,0,1,0,0,1,0,0,0,6.07
Patrick Twumasi,0,0,0.3,0.2,0.1,0.1,0.1,0.5,0.9,6.06
Dani Torres,0,0,0,0,0,0.5,0,0.5,0.5,6.06
Cheick Doukouré,0,0,0.1,0.1,0.2,0.7,0,0.4,0.7,6.04
Miguel Marí,0,0,0.5,0,0,0.5,0,0.5,0,6.03
Luca Zidane,0,0,0,0,0,1,0,0,0,6.02
Bebé,0,0,1.5,0.5,0,0.5,0,0,2,6.02
Victor Mollejo,0,0,0.5,0.3,0,0.5,0,1,0.3,6.02
Gorka Guruzeta,0,0,0.2,0.3,0,0,0,0.3,0.3,6.01
Cristian Ganea,0,0,0,0,0,1,0,0,0,6
Joaquín Muñoz,0,0,0,0,0,0,0,0,0,6
Jordi Calavera,0,0,0,0,0,0,0,0,0,6
Leandro Chichizola,0,0,0,0,0,1,0,0,0,6
Stiven Plaza,0,0,0,0,0,1.5,0,0.5,0,5.99
Álex Blanco,0,0,0,0,0.5,0,0,0,0.5,5.99
Martín Merquelanz,0,0,0,0,0,0,0,0,0,5.99
Sergi Guardiola,0,0,0.7,0,0,0.7,0,0,0.7,5.99
Emmanuel Apeh,0,0,0,0.5,0,0,0,1.5,0,5.98
Iván Alejo,0,0,0.3,0.3,1,1.8,0,1.3,1,5.96
Álex Collado,0,0,2,0,0,1,0,0,1,5.96
Ivi López,0,0,0.3,0,0,0,0,0.3,1,5.94
Alexander Szymanowski,0,0,0,0,0,0,0,0,1,5.92
Franco Di Santo,0,0,0,0,0.2,0.7,0.3,0,0.7,5.91
Axel Werner,0,0,0,0,0,0,0,0,0,5.87
Yoel Rodríguez,0,0,0,0,0,0,0,0,0,5.66
