,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
133,Andriy Lunin,,,,,0.4,,,,6.82
134,Oier Olazábal,,,,,1.3,,,,6.82
135,Joel Robles,0.2,,,,1.2,,,,6.81
136,Djené Dakonam,1.6,2.2,1.5,0.9,4.4,0.5,0.3,,6.81
137,Igor Zubeldia,1.8,1.4,1.1,,1.7,1,0.2,,6.81
138,Marcelo,1.5,0.7,0.8,0.3,0.6,1,0.1,,6.81
139,Alejandro Catena,2,4,2,0.5,4.0,,1,,6.81
140,Toni Villa,2.0,0.5,1.1,,0.2,1.0,,,6.8
141,Sergi Enrich,0.8,0.2,1.9,,0.3,0.7,,,6.8
142,Munir El Haddadi,1.1,0.4,1.1,0.1,0.5,0.3,,,6.8
143,Joseba Zaldua,1.4,1.5,1.3,,2.5,0.7,0.1,,6.8
144,Ramiro Funes Mori,1.3,1.4,1.0,0.6,4.7,0.8,0.8,1,6.8
145,Manu Morlanes,2.1,0.5,1.3,,0.9,1.2,0.3,,6.8
146,Borja García,1.2,1.2,0.6,,0.4,0.7,0.1,,6.8
147,Dídac Vilá,2.4,2.0,1.4,0.1,3.0,1.0,0.4,,6.79
148,William Carvalho,1.5,0.4,0.8,,1.0,0.4,,,6.79
149,Sergi Guardiola,1.1,0.3,2.2,,1.0,0.6,,,6.79
150,David Juncà,2.6,1.7,1.2,0.4,2.1,0.9,0.3,,6.79
151,Gerard Moreno,0.6,0.3,1.1,,1.1,0.5,0.3,,6.79
152,Abdoulaye Ba,1.8,1.1,0.9,0.8,6,0.4,0.7,,6.78
153,Lucas Olaza,2.9,0.8,0.7,0.1,1.3,0.4,0.6,,6.78
154,Nemanja Maksimovic,2.1,2.0,0.5,0.1,0.8,1.1,0.4,,6.78
155,Samuel Chukwueze,0.7,0.4,0.8,,,0.8,0.1,,6.78
156,Mario Suárez,2.6,1.0,1.5,0.1,1.2,0.9,0.2,,6.78
157,Marco Asensio,0.4,0.5,0.6,,0.1,0.7,,,6.78
158,Kenneth Omeruo,1.8,1.3,0.6,0.4,5.6,0.3,0.4,,6.78
