,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
437,Robin Quaison,27,Midfielder,Mainz 05,2203,1124,1079,Sweden,28,14,14,7,5,2,3,1,2,0,0,4,3,1,34,17,17,1,0,0.41,0.12,0.29,0.4,0.17,315,1.39,65,79,2203,734,0.04,72,127,-1,2,0.7,0.3,1.1,0,0.1,0.3,0,0,7,3,1.8,0.8,0.8,0.8,0.4,2.1,1.4,3,0.8,15.7,72.9,0.1,0.4,0
438,Robin Zentner,26,Goalkeeper,Mainz 05,900,540,360,Germany,10,6,4,0,0,0,0,0,0,0,0,2,1,1,14,8,6,1,0,0,0,0,0,0,0,1.4,64,90,900,0,0.1,333,358,58,22,0,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,28.5,54.4,0,5.1,0
439,Robin Ziegele,24,Defender,Wolfsburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,Roland Sallai,23,Midfielder,Freiburg,524,277,247,Hungary,10,6,4,2,1,1,0,0,0,0,0,2,2,0,8,1,7,3,0,0.34,0,0.34,0.32,0.36,262,1.37,66,52,175,0,0.52,56,273,-1,8,1.2,0.3,1.7,0,0.7,0.8,0,0,2,0,1.4,0.5,0.5,1.9,0.1,0.9,1.4,0,0.5,13.4,78.4,0.3,0,0
441,Roman Bürki,30,Goalkeeper,Borussia Dortmund,2880,1350,1530,Switzerland,32,15,17,0,0,0,0,0,0,0,0,10,3,7,39,20,19,1,0,0,0,0,0,0,0,1.22,74,90,2880,0,0.03,344,370,33,19,0,0.1,0,0,0.6,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,28.2,65.8,0,5.4,0
442,Romario Roesch,21,Midfielder,Augsburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,Ron-Robert Zieler,32,Goalkeeper,Stuttgart,3060,1530,1530,Germany,34,17,17,0,0,0,0,0,0,0,0,6,4,2,67,26,41,3,0,0,0,0,0,0,0,1.97,46,90,1020,0,0.09,334,359,120,22,0.1,0,0,0,1,0.1,0,1,0,0,0,0,0.1,0,0,0,0.1,0,0,32,56,0,8.9,0
444,Ron-Torben Hofmann,22,Goalkeeper,Bayern München,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,Rouwen Hennings,33,Forward,Fortuna Düsseldorf,1831,1132,699,Germany,29,17,12,7,6,1,4,1,3,1,0,4,2,2,32,17,15,3,0,0.54,0.2,0.34,0.48,0.13,262,1.57,57,63,610,458,0.15,58,66,-1,3,0.5,0.1,0.8,0,0.7,0.4,0,0,7,4,2,1,0.1,0.8,0.2,0.4,1.2,4,1,15.3,66.4,0,0.5,0.1
446,Rune Jarstein,36,Goalkeeper,Hertha BSC,2746,1350,1396,Norway,31,15,16,0,0,0,0,0,0,0,0,8,3,5,44,20,24,2,0,0,0,0,0,0,0,1.44,62,89,1373,0,0.07,312,276,68,17,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,34.1,57.2,0,11.8,0
