,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
366,Koray Günter,26,Defender,Genoa,830,257,573,Germany,14,5,9,0,0,0,0,0,0,0,0,2,1,1,14,1,13,1,0,0,0,0,0,0,0,1.52,59,59,830,0,0.11,276,297,140,27,1.3,1.3,0.4,0.4,2.4,0.5,0.5,0,0,0,0.2,0.4,0,0.6,0.1,0,0.1,0,0.4,25.1,83.5,0.1,2.3,0.1
367,Krzysztof Piątek,25,Forward,AC Milan,2973,1572,1401,Poland,37,19,18,22,11,11,0,0,0,2,0,10,9,1,41,15,26,5,0,0.67,0,0.67,0.63,0.71,135,1.24,73,80,595,0,0.15,6,295,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,Kwadwo Asamoah,32,Midfielder,Inter Milan,2672,1211,1461,Ghana,32,15,17,0,0,0,1,0,1,0,0,15,8,7,24,6,18,6,0,0.03,0.03,0,0,0,0,0.81,111,84,445,2672,0.2,413,243,-1,22,1.4,1.3,0.8,0.3,1.2,0.7,0.1,0,0,1,0.3,1,1.3,2.2,0,0.7,1.1,1,1,60.5,89,0.6,3.5,0
369,Ladislav Krejčí,28,Midfielder,Bologna,1060,533,527,Czech Republic,18,9,9,0,0,0,3,2,1,0,0,4,3,1,22,6,16,2,0,0.25,0.25,0,0,0,0,1.87,48,59,530,353,0.17,370,23,-1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,Lautaro Javier Martínez,23,Forward,Inter Milan,1334,649,685,Argentina,27,14,13,6,3,3,2,1,1,1,0,11,8,3,15,3,12,4,0,0.54,0.13,0.4,0.42,0.39,222,1.01,89,49,334,667,0.27,36,109,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,Lazar Nikolić,21,Midfielder,SPAL,0,0,0,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,Leo Štulac,26,Midfielder,Parma,1450,706,744,Slovenia,26,13,13,0,0,0,2,1,1,0,0,7,5,2,18,8,10,4,1,0.12,0.12,0,0,0,0,1.12,81,56,290,725,0.31,334,127,-1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,Leonardo Bonucci,33,Defender,Juventus,2471,1325,1146,Italy,29,15,14,3,2,1,0,0,0,0,0,11,6,5,19,8,11,2,0,0.11,0,0.11,0.14,0.08,824,0.69,130,85,1236,0,0.07,158,353,12,7,0.6,1.3,0.5,0.2,2.8,0.1,0.7,0,3,0,0.5,0.3,0.1,0.8,0.1,0.1,0.3,0,0.3,55.7,86.6,0.1,5.7,0
374,Leonardo Capezzi,26,Midfielder,Empoli,774,407,367,Italy,12,6,6,0,0,0,0,0,0,0,0,2,1,1,15,6,9,4,0,0,0,0,0,0,0,1.74,52,65,194,0,0.47,366,328,-1,22,1.1,0.8,1.8,0,0.7,0.5,0.3,1,0,0,1,0.2,0.5,0.5,0,0.4,0.5,0,0.2,40.9,85.3,0.2,2.4,0
375,Leonardo Pavoletti,32,Forward,Cagliari,2738,1481,1257,Italy,32,17,15,16,11,5,1,1,0,0,0,6,5,1,39,15,24,6,0,0.56,0.03,0.53,0.67,0.36,171,1.28,70,86,456,2738,0.2,12,251,-1,1,1,0.2,2.5,0.1,0.8,0.3,0.1,0,16,1,2.6,0.8,0.3,1.1,0.7,1,2.3,1,0.8,26.3,69,0,0.4,0
376,Leonardo Sernicola,23,Defender,Sassuolo,5,0,5,Italy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1,-1,-1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0,0,0
377,Leonardo Spinazzola,28,Defender,Juventus,598,364,234,Italy,10,6,4,0,0,0,1,1,0,0,0,2,2,0,9,5,4,0,0,0.15,0.15,0,0,0,0,1.35,66,60,0,598,0,284,90,97,23,0.9,0.3,0.3,0.1,0.4,0.4,0,0,0,1,0.8,0.8,1.1,0.1,0.1,0.7,1.3,1,0.8,30,83,0.6,0.9,0
378,Levan Mchedlidze,31,Forward,Empoli,197,126,71,Georgia,11,6,5,0,0,0,1,1,0,0,0,0,0,0,4,4,0,1,0,0.46,0.46,0,0,0,0,1.83,49,18,197,197,0.46,-1,-1,-1,17,0.1,0,0.5,0,0.4,0.1,0,0,0,1,0.4,0.3,0.1,0.2,0,0.4,0.6,1,0.3,4.5,76,0,0.2,0
379,Lévy Koffi Djidji,28,Defender,Torino,1388,578,810,Côte d'Ivoire,17,8,9,0,0,0,0,0,0,0,0,5,2,3,17,9,8,2,0,0,0,0,0,0,0,1.1,82,82,694,0,0.13,409,317,53,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Lisandro Ezequiel López,31,Defender,Genoa,0,0,0,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,Lorenco Šimić,24,Defender,SPAL,233,131,102,Croatia,8,5,3,0,0,0,0,0,0,0,0,2,1,1,5,3,2,0,0,0,0,0,0,0,0,1.93,47,29,0,0,0,-1,-1,-1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,Lorenzo Ariaudo,31,Defender,Frosinone,1684,874,810,Italy,19,10,9,0,0,0,0,0,0,0,0,4,2,2,32,15,17,2,0,0,0,0,0,0,0,1.71,53,89,842,0,0.11,382,390,156,29,1.1,0.7,0.8,0.4,5.4,0.2,1.1,1,0,0,0.3,0.2,0.2,1.2,0.1,0.1,0.1,0,0.2,33.4,83,0,2.4,0
383,Lorenzo Crisetig,28,Midfielder,Frosinone,505,242,263,Italy,8,4,4,0,0,0,0,0,0,0,0,2,2,0,10,2,8,3,0,0,0,0,0,0,0,1.78,51,63,168,0,0.53,387,393,-1,22,1.8,1.5,1.9,0,1.4,1.1,0.4,0,0,0,0,0.1,0.1,1.4,0,0.1,0.5,0,0.1,25.3,85.6,0.1,1.8,0
384,Lorenzo De Silvestri,32,Defender,Torino,2425,1087,1338,Italy,32,15,17,2,2,0,4,3,1,0,0,13,7,6,24,7,17,2,0,0.22,0.15,0.07,0.17,0,1213,0.89,101,76,1213,606,0.07,202,88,32,12,0.5,0.7,1,0.1,2,0.5,0.1,0,2,4,0.9,0.9,0.2,0.6,0.2,0.6,1.2,4,0.9,26.8,68,0.9,0.7,0
385,Lorenzo Dickmann,24,Defender,SPAL,173,15,158,Italy,6,1,5,0,0,0,0,0,0,0,0,1,1,0,5,0,5,1,0,0,0,0,0,0,0,2.6,35,29,173,0,0.52,-1,-1,-1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,Lorenzo Insigne,29,Forward,Napoli,2080,1104,976,Italy,28,15,13,10,6,4,6,5,1,1,1,11,8,3,20,8,12,7,1,0.69,0.26,0.43,0.49,0.37,208,0.87,104,74,260,347,0.35,25,20,-1,3,0.5,0.3,0.3,0,0.1,0.4,0,0,10,6,4.3,2.3,0.9,0.5,0.6,1,1.6,6,2.3,43.9,86,0.4,2.8,0.2
387,Lorenzo Lollo,30,Midfielder,Empoli,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,Lorenzo Peli,21,Forward,Atalanta,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,Lorenzo Pellegrini,24,Midfielder,Roma,1827,930,897,Italy,25,13,12,2,1,1,3,2,1,0,0,6,3,3,24,12,12,6,0,0.25,0.15,0.1,0.1,0.1,914,1.18,76,73,305,609,0.3,164,81,-1,12,1.6,0.5,1.3,0,0.8,0.8,0.1,0,2,3,1.8,2.4,1,1.3,0.2,1.3,2,3,2.4,33.9,80,1.6,1.4,0.1
390,Lorenzo Tonelli,31,Defender,Sampdoria,1653,974,679,Italy,19,11,8,1,0,1,0,0,0,0,0,4,3,1,25,11,14,6,0,0.05,0,0.05,0,0.13,1653,1.36,66,87,276,0,0.33,232,289,101,9,1.6,1.3,1.3,0.6,4.7,0.2,1.1,1,1,0,0.4,0.1,0.3,1.9,0,0.7,0.3,0,0.1,62.4,88.8,0,2.6,0
391,Luan David Capanni Dias,20,Forward,Lazio,8,0,8,Brazil,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,0,11.25,-1,-1,-1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,Luca Antonelli,34,Defender,Empoli,759,268,491,Italy,13,5,8,0,0,0,1,0,1,0,0,3,1,2,16,3,13,1,0,0.12,0.12,0,0,0,0,1.9,47,58,759,759,0.12,336,123,171,16,1,1.2,0.8,0.2,1.7,0.8,0.3,0,0,1,0.4,0.5,0.4,1.7,0.2,0.3,0.9,1,0.5,24.8,71.5,0,0.7,0
393,Luca Belardinelli,20,Midfielder,Empoli,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,Luca Ceppitelli,31,Defender,Cagliari,2054,990,1064,Italy,24,11,13,1,1,0,1,1,0,0,0,4,3,1,32,10,22,8,2,0.09,0.04,0.04,0.09,0,2054,1.4,64,86,205,2054,0.44,245,236,109,6,1.7,0.8,0.9,0.8,4.5,0.4,1,1,1,1,0.6,0.1,0.1,0.6,0,0.1,0.2,1,0.1,50.2,82.9,0,4.6,0
395,Luca Cigarini,34,Midfielder,Cagliari,1688,1038,650,Italy,25,16,9,0,0,0,1,0,1,0,0,5,4,1,23,12,11,9,0,0.05,0.05,0,0,0,0,1.23,73,68,188,1688,0.48,354,218,-1,23,2.2,1,1.3,0,1.5,1.4,0.2,0,0,1,0.8,1.3,0.4,0.7,0,0.5,0.4,1,1.3,51.8,80,1.2,3.4,0.1
396,Luca Coccolo,23,Defender,Juventus,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,Luca Matarese,23,Forward,Frosinone,14,6,8,Italy,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,14,0,6.43,-1,-1,-1,31,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,2,75,0,0,0
398,Luca Mazzitelli,25,Midfielder,Genoa,319,186,133,Italy,10,7,3,0,0,0,0,0,0,0,0,2,2,0,3,1,2,3,0,0,0,0,0,0,0,0.85,106,32,106,0,0.85,274,296,-1,20,0.5,0.6,1.3,0,0.6,0.1,0.1,0,0,0,0.5,0.3,0,0.5,0,0.3,0.3,0,0.3,20.6,75.7,0.1,1.8,0
399,Luca Paganini,27,Midfielder,Frosinone,1121,574,547,Italy,14,7,7,2,1,1,0,0,0,0,0,3,1,2,17,10,7,2,0,0.16,0,0.16,0.16,0.16,561,1.36,66,80,561,0,0.16,110,280,-1,5,1.8,1.4,1.9,0.2,0.9,1.1,0.3,0,2,0,2,0.6,0.3,2.5,0.1,1.2,1.5,0,0.6,26.6,76.4,0.4,1.1,0
400,Luca Pellegrini,22,Defender,Cagliari,1103,406,697,Italy,16,7,9,0,0,0,2,1,1,0,0,3,1,2,18,6,12,6,1,0.16,0.16,0,0,0,0,1.47,61,69,184,552,0.49,316,79,125,11,2.3,1.5,1.4,0.2,1.5,0.9,0.3,0,0,1,0.2,0.8,0.9,0.8,0.1,0.8,1,1,0.8,28.8,67.8,0.8,1.7,0
