,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
587,Tristan Dingome,30,Midfielder,Reims,1356,689,667,France,20,9,11,1,1,0,3,2,1,0,0,6,2,4,15,9,6,5,0,0.27,0.2,0.07,0.13,0,1356,1,90,68,271,452,0.33,187,53,-1,10,1.4,0.6,1.5,0,0.2,0.9,0.2,0,1,3,0.4,1.4,0.5,0.6,0.1,0.9,1.3,3,1.4,29.3,78.8,0.1,1.4,0.4
588,Umut Bozok,24,Forward,Nîmes,1236,558,678,France,25,11,14,2,0,2,3,2,1,0,2,4,3,1,19,7,12,1,0,0.36,0.22,0.15,0,0.27,618,1.38,65,49,1236,412,0.07,127,37,-1,11,0.4,0.2,0.6,0,0,0.1,0,0,2,3,1.2,0.6,0.5,1.2,0.4,1.4,1.3,3,0.6,11.4,75.4,0,0.4,0
589,Valentin Eysseric,29,Midfielder,Nantes,210,94,116,France,5,2,3,1,1,0,0,0,0,1,1,2,0,2,6,5,1,1,0,0.43,0,0.43,0.96,0,210,2.57,35,42,210,0,0.43,-1,-1,-1,13,0.2,0,1.6,0,0,0.4,0,0,1,0,1.2,1,0.6,1.8,0,0.4,1.8,0,1,18,81.1,0.8,0.8,0
590,Valentin Rongier,26,Midfielder,Nantes,3228,1620,1608,France,36,18,18,4,3,1,5,5,0,1,1,8,6,2,43,23,20,3,0,0.25,0.14,0.11,0.17,0.06,807,1.2,75,90,1076,646,0.08,148,97,-1,5,2.4,0.9,1.2,0,0.4,1.1,0.2,0,4,5,2,2.4,1,0.8,0.1,1.1,1.8,5,2.4,53.2,82.7,1.1,3.3,0
591,Valentin Rosier,24,Defender,Dijon,1458,730,728,France,18,9,9,0,0,0,3,2,1,0,0,4,2,2,25,14,11,2,0,0.19,0.19,0,0,0,0,1.54,58,81,729,486,0.12,321,58,156,23,2.4,1.8,2,0.1,1.8,0.8,0.2,0,0,3,0.8,0.6,0.9,1.1,0.1,1.3,1.4,3,0.6,37,83.8,0.4,1.3,0
592,Valentin Vada,25,Midfielder,Saint-Étienne,433,214,219,Argentina,14,7,7,1,0,1,1,1,0,0,0,5,3,2,6,2,4,1,0,0.42,0.21,0.21,0,0.41,433,1.25,72,31,433,433,0.21,84,43,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,Valère Germain,30,Forward,Olympique Marseille,2167,1080,1087,France,36,18,18,8,3,5,2,2,0,0,0,12,10,2,31,11,20,1,0,0.42,0.08,0.33,0.25,0.41,271,1.29,70,60,2167,1084,0.04,46,163,-1,2,1.1,0.2,0.6,0,0.8,0.7,0.1,0,8,2,1.5,0.6,0.1,0.6,0.1,0.5,1.2,2,0.6,16.2,78,0.1,0.2,0
594,Vincent Manceau,31,Defender,Angers SCO,2790,1350,1440,France,31,15,16,1,1,0,1,0,1,0,0,12,7,5,38,15,23,2,0,0.06,0.03,0.03,0.07,0,2790,1.23,73,90,1395,2790,0.06,230,240,93,12,3.2,1.4,0.9,0.4,2.3,0.9,0.3,1,1,1,0.5,0.6,0.4,1.1,0,0.5,0.8,1,0.6,40.5,82.2,0.4,2,0.1
595,Vincent Pajot,30,Midfielder,Angers SCO,720,341,379,France,13,6,7,0,0,0,0,0,0,0,0,3,0,3,12,5,7,2,0,0,0,0,0,0,0,1.5,60,55,360,0,0.25,360,397,-1,22,1.4,0.6,1.5,0,0.5,0.8,0,0,0,0,0.9,0.3,0.1,0.9,0.1,0.2,0.5,0,0.3,23.3,85.1,0,0.7,0.1
596,Virgile Jacky Marcel Pinson V. Pinson,25,Forward,Reims,4,4,0,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,Vitorino Hilton,43,Defender,Montpellier,3233,1620,1613,Brazil,36,18,18,0,0,0,2,2,0,0,0,11,6,5,38,17,21,6,1,0.06,0.06,0,0,0,0,1.06,85,90,462,1617,0.19,302,182,55,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,Vukašin Jovanović,24,Defender,Bordeaux,1377,703,674,Serbia,16,8,8,0,0,0,0,0,0,0,0,6,4,2,9,4,5,8,1,0,0,0,0,0,0,0.59,153,86,153,0,0.59,288,400,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,Wahbi Khazri,30,Midfielder,Saint-Étienne,2825,1489,1336,Tunisia,32,17,15,13,11,2,6,3,3,4,0,11,7,4,31,12,19,11,1,0.61,0.19,0.41,0.66,0.13,217,0.99,91,88,235,471,0.38,30,56,-1,1,1.3,0.3,1.7,0,0.2,1,0.1,0,13,6,2.9,2.2,1.4,1.6,0.7,2.2,2.8,6,2.2,27.4,74.5,1.6,1.8,0
600,Walter Daniel Benítez,28,Goalkeeper,Nice,3150,1530,1620,Argentina,35,17,18,0,0,0,0,0,0,0,0,16,10,6,26,8,18,1,0,0,0,0,0,0,0,0.74,121,90,3150,0,0.03,333,325,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,Wesley Fofana,20,Midfielder,Saint-Étienne,160,70,90,France,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.56,160,80,0,0,0,-1,-1,-1,28,3.5,2,1,0.5,4.5,3.5,0,0,0,0,0,0,0,2,0,0,1,0,0,39,88.5,0,2.5,0
