,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Lionel Messi,25,21,4.8,2.7,5.5,2.1,0.4,2.4,2.1,8.71
1,Guillermo Maripán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54
2,Casemiro,4,3,1.3,0.4,0.8,1.9,0.1,0.8,0.7,7.47
3,Karim Benzema,21,8,3.4,1.6,1,0.4,0.7,1.1,1.7,7.44
4,Luis Suárez,16,8,2.8,0.9,0.8,0.9,0.6,0.9,1.2,7.33
5,Mikel Merino,5,1,1.2,0.9,1,2.5,0.1,1.4,1.6,7.31
6,Gerard Moreno,18,5,2.5,1.4,1.7,1.4,0.5,1.3,2.6,7.31
7,Eden Hazard,1,3,1.2,1.3,3.1,3.1,0.1,2.1,1.8,7.3
8,Nabil Fekir,7,4,3.2,1.3,3.1,3.5,0.4,1.9,2.6,7.22
9,Saúl Ñíguez,6,0.0,1.3,0.4,0.8,0.7,0.2,0.9,1.1,7.22
10,Joselu,11,2,2.4,0.4,0.4,1.6,0.2,1.2,2.5,7.22
11,Lucas Ocampos,14,3,2.5,0.7,2.1,1.7,0.4,2.2,2.8,7.21
12,Raúl García,15,1,2.3,0.6,0.3,1.7,0.5,0.4,1.7,7.21
13,Toni Kroos,4,5,1.6,1.7,0.9,1.2,0.1,0.4,0.5,7.2
14,Daniel Carvajal,1,5,0.6,1.3,0.8,1.0,0.1,0.8,1.3,7.18
15,Santi Cazorla,11,9,1.4,2,1.4,1.1,0.1,0.9,1.7,7.17
16,Koke Vegas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.16
17,Chimy Avila,9,2,3.5,1.1,0.8,2.2,1.2,1.5,2.5,7.16
18,Marcelo,1,2,1.1,1.7,1.2,1.2,0.0,0.7,1.3,7.15
19,Nacho,1,0.0,1,0.5,0.2,1.2,0.0,0.3,0.8,7.14
20,Rafinha,4,1,1.1,0.8,2.1,3.4,0.1,1.7,2.1,7.13
21,Martin Ødegaard,4,6,1.6,2.0,2.0,1.2,0.0,1.2,1.7,7.1
22,Éver Banega,3,7,1.2,1.8,1.8,1.7,0.1,1.2,1.6,7.1
23,Sergio Reguilón,2,4,0.9,1.3,1.6,1.5,0.1,0.8,1.6,7.1
24,Thomas Partey,3,0.0,0.9,0.5,1.6,0.9,0.0,0.4,0.7,7.08
25,Sébastien Corchia,0.0,0.0,1.0,2.3,2.0,1.7,0.0,1.0,1.3,7.08
26,Sergio Ramos,11,0.0,1.1,0.1,0.3,0.8,0.2,0.1,0.4,7.07
27,Sergio Busquets,2,2,0.3,0.7,0.7,1.5,0.0,0.4,0.5,7.07
28,André-Frank Zambo Anguissa,2,0.0,0.8,0.5,2.4,1.1,0.0,1.3,2.0,7.06
29,Mikel Oyarzabal,10,11,1.7,1.4,1.8,1.5,0.4,1.4,2.4,7.05
30,Gerard Piqué,1,0.0,0.4,0.1,0.2,0.5,0.0,0.3,0.4,7.03
31,Yassine Bounou,0.0,1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,7.03
32,Koke,4,5,0.7,1.8,0.4,1.0,0.0,1.1,1.4,7.02
33,Daniel Parejo,8,3,1,1.7,1.1,2.6,0.1,0.9,1,7.01
34,Luka Modric,3,7,1,1.3,1.4,0.9,0.0,0.9,1,7.01
35,Ferland Mendy,1,2,0.3,0.8,2,1.2,0.0,0.7,1.5,7.01
36,Santiago Arias,0.0,1,0.4,0.8,0.4,1.1,0.1,0.2,0.8,7.0
37,José Campaña,2,7,1.2,2.0,1.7,1.6,0.1,0.9,1.8,7.0
38,Yeray Álvarez,0.0,0.0,0.4,0.2,0.4,1.0,0.0,0.2,0.4,6.99
39,Kieran Trippier,0.0,4,0.1,1.6,0.5,0.5,0.1,0.4,0.9,6.99
40,Iago Aspas,14,3,2.3,1.5,1.4,1.8,0.5,1.2,2,6.99
41,Raphaël Varane,2,1,0.3,0.2,0.3,0.4,0.0,0.1,0.3,6.98
42,Aitor Fernández,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,6.97
