,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Lionel Messi,21,2.7,59.8,82.6,0.8,2.2,0.6,8.71
1,Guillermo Maripán,0.0,0.0,12.0,75.0,0.0,1.0,0.0,7.54
2,Casemiro,3,0.4,61.5,84.1,0.2,6.5,0.0,7.47
3,Karim Benzema,8,1.6,34.7,86.2,0.0,1.4,0.1,7.44
4,Luis Suárez,8,0.9,23.4,75.5,0.1,0.9,0.0,7.33
5,Mikel Merino,1,0.9,53.7,75.8,0.2,2.2,0.0,7.31
6,Gerard Moreno,5,1.4,27.5,74.5,0.3,1.9,0.1,7.31
7,Eden Hazard,3,1.3,35.9,85.9,0.2,1.4,0.0,7.3
8,Nabil Fekir,4,1.3,29.8,83.9,0.5,1.2,0.0,7.22
9,Saúl Ñíguez,0.0,0.4,47.7,79.3,0.1,2.2,0.1,7.22
10,Joselu,2,0.4,26.9,52.0,0.0,0.9,0.0,7.22
11,Lucas Ocampos,3,0.7,25.4,79.9,0.6,0.8,0.0,7.21
12,Raúl García,1,0.6,26.8,55.9,0.1,0.6,0.0,7.21
13,Toni Kroos,5,1.7,66.7,93.5,1,6.9,0.0,7.2
14,Daniel Carvajal,5,1.3,64.4,86.6,0.7,2.9,0.0,7.18
15,Santi Cazorla,9,2,44.9,86.4,1.2,4.0,0.1,7.17
16,Koke Vegas,0.0,0.0,24.5,63.3,0.0,6.0,0.0,7.16
17,Chimy Avila,2,1.1,14.5,57.2,0.2,0.8,0.0,7.16
18,Marcelo,2,1.7,59.2,84.2,1.1,3.3,0.1,7.15
19,Nacho,0.0,0.5,41.7,86.8,0.3,1.3,0.0,7.14
20,Rafinha,1,0.8,44.1,87.1,0.1,1.8,0.2,7.13
21,Martin Ødegaard,6,2.0,48.2,84.7,1.1,1.8,0.2,7.1
22,Éver Banega,7,1.8,67.0,86.0,1.5,7.3,0.2,7.1
23,Sergio Reguilón,4,1.3,47.4,81.4,0.9,2.3,0.0,7.1
24,Thomas Partey,0.0,0.5,46.8,83.4,0.1,2.9,0.0,7.08
25,Sébastien Corchia,0.0,2.3,40.7,85.2,3,1.7,0.0,7.08
26,Sergio Ramos,0.0,0.1,61.4,91.0,0.0,6.8,0.0,7.07
27,Sergio Busquets,2,0.7,78.0,89.9,0.0,3.3,0.2,7.07
28,André-Frank Zambo Anguissa,0.0,0.5,40.6,87.8,0.1,1.6,0.0,7.06
29,Mikel Oyarzabal,11,1.4,28.0,77.5,0.6,1.2,0.1,7.05
30,Gerard Piqué,0.0,0.1,76.6,91.8,0.0,4.3,0.0,7.03
31,Yassine Bounou,1,0.2,24.0,68.8,0.0,6.8,0.0,7.03
32,Koke,5,1.8,51.4,85.2,0.6,1.3,0.1,7.02
33,Daniel Parejo,3,1.7,64.1,86.3,1.4,6.0,0.1,7.01
34,Luka Modric,7,1.3,44.8,88.6,0.5,3.7,0.1,7.01
35,Ferland Mendy,2,0.8,40.4,87.9,0.5,2.0,0.0,7.01
36,Santiago Arias,1,0.8,36.4,78.2,0.4,1.1,0.0,7.0
37,José Campaña,7,2.0,52.7,81.4,1.1,2.8,0.1,7.0
38,Yeray Álvarez,0.0,0.2,45.9,78.3,0.1,3.6,0.0,6.99
39,Kieran Trippier,4,1.6,37.6,76.7,1.3,1.8,0.1,6.99
40,Iago Aspas,3,1.5,34.1,77.0,0.1,1.1,0.0,6.99
41,Raphaël Varane,1,0.2,52.2,87.3,0.0,5.0,0.0,6.98
42,Aitor Fernández,0.0,0.0,25.3,61.5,0.0,5.9,0.0,6.97
43,Jeison Murillo,0.0,0.1,39.8,86.6,0.0,2.7,0.0,6.97
44,Antoine Griezmann,4,0.9,31.9,81.8,0.1,0.9,0.1,6.97
45,Felipe,0.0,0.2,36.8,76.8,0.0,2.4,0.0,6.97
46,Víctor García,0.0,1.5,17.0,64.7,1,1.0,0.0,6.97
47,Fernando,3,0.3,46.0,87.6,0.0,3.2,0.0,6.96
48,Adrián Embarba,4,1.3,17.6,68.4,1,0.7,0.1,6.96
49,Sergio Escudero,0.0,0.5,43.4,81.3,0.3,2.0,0.0,6.95
50,Yangel Herrera,3,0.6,30.5,75.2,0.1,1.5,0.1,6.95
51,Munir El Haddadi,2,0.8,20.4,79.0,0.3,0.6,0.0,6.95
52,Joan Jordán,2,1.1,48.8,87.3,0.8,4.1,0.0,6.94
53,Yuri Berchiche,1,0.9,38.9,81.8,0.6,2.6,0.0,6.94
54,Oier Olazábal,0.0,0.0,24.0,77.1,0.0,5.0,0.0,6.93
55,Rafinha,0.0,1.7,50.0,90.0,1,2.3,0.0,6.93
56,Ante Budimir,2,0.4,16.5,64.0,0.0,0.1,0.0,6.92
57,James Rodríguez,1,1.8,33.9,82.3,0.8,2.5,0.5,6.91
58,Fabián Orellana,7,1.7,30.5,76.9,1.3,1.4,0.1,6.91
