,Player,Tackles,Inter,Fouls,Offsides,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
130,Remo Freuler,1.6,0.9,1.3,0.0,0.8,0.2,0.0,2.0,2.0,0.6,0.8,0.5,1.1,0.0,0.6,1.1,2.0,0.8,52.0,88.5,0.2,1.4,0.0
131,Darko Lazovic,0.7,0.6,0.3,0.1,1.1,0.1,0.0,3.0,7.0,0.9,1.4,1.0,0.4,0.5,0.5,1.1,7.0,1.4,32.4,77.3,0.8,0.8,0.0
132,Nicolò Barella,1.3,0.5,1.4,0.0,0.4,0.2,0.0,1.0,4.0,0.9,0.9,1.3,1.4,0.1,0.9,1.4,4.0,0.9,44.0,83.7,0.3,2.9,0.0
133,Amir Rrahmani,1.4,0.8,1.4,0.2,4.0,0.9,0.0,0.0,1.0,1.2,0.4,0.3,0.5,0.0,0.4,0.4,1.0,0.4,41.4,80.4,0.0,2.5,0.0
134,Tomás Rincón,1.8,1.1,2.1,0.1,1.9,0.1,0.0,1.0,3.0,0.5,0.9,0.9,1.5,0.0,0.8,1.3,3.0,0.9,38.5,82.6,0.2,3.3,0.0
135,Piotr Zielinski,0.7,0.6,0.7,0.0,0.4,0.1,0.0,2.0,4.0,2.1,1.4,1.2,1.5,0.0,1.0,1.0,4.0,1.4,52.5,87.9,0.2,2.5,0.1
136,Marash Kumbulla,1.6,2.0,1.9,0.7,3.3,1.0,0.0,1.0,0.0,0.4,0.1,0.1,1.0,0.0,0.2,0.4,0.0,0.1,36.4,84.9,0.0,1.6,0.0
137,Marco Silvestri,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,25.9,41.7,0.0,5.9,0.0
138,Nikola Maksimovic,1.5,1.3,1.1,0.3,2.7,0.5,0.0,1.0,1.0,0.2,0.3,0.4,0.3,0.0,0.1,0.3,1.0,0.3,59.5,93.1,0.3,2.6,0.0
139,Stefano Turati,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.5,84.4,0.0,4.0,0.0
140,Matthijs de Ligt,0.9,0.9,1.0,0.4,3.3,0.8,0.0,4.0,0.0,0.6,0.1,0.0,0.6,0.0,0.1,0.3,0.0,0.1,53.7,90.2,0.0,3.4,0.0
141,Cristian Ansaldi,1.4,0.5,1.0,0.1,0.6,0.1,0.0,4.0,4.0,1.1,1.2,1.3,1.1,0.1,1.1,1.5,4.0,1.2,20.2,77.1,1.7,2.3,0.0
142,Lasse Schöne,1.3,1.2,1.1,0.0,0.8,0.2,0.0,2.0,3.0,1.1,1.3,0.9,1.0,0.0,1.1,0.9,3.0,1.3,46.9,88.3,1.0,1.5,0.0
143,Mattia Zaccagni,0.6,0.6,1.0,0.0,0.4,0.1,0.0,2.0,5.0,0.8,1.0,1.8,2.4,0.3,0.9,1.5,5.0,1.0,21.2,75.3,0.1,0.6,0.0
144,Simone Verdi,0.6,0.2,0.7,0.0,0.0,0.0,0.0,2.0,6.0,1.6,1.4,1.5,1.4,0.1,0.9,1.5,6.0,1.4,22.6,78.4,1.2,2.0,0.0
145,Kevin Malcuit,2.0,0.8,0.5,0.3,0.3,0.3,0.0,0.0,0.0,0.5,0.5,0.8,1.0,0.0,0.8,0.8,0.0,0.5,31.8,85.0,0.5,1.8,0.0
146,Gianluca Mancini,1.5,1.8,2.1,0.6,2.9,0.5,0.0,1.0,0.0,0.7,0.4,0.3,0.8,0.1,0.3,0.3,0.0,0.4,52.0,88.2,0.0,2.7,0.1
147,Andrea Petagna ,0.3,0.0,1.5,0.0,0.8,0.1,0.0,12.0,1.0,3.1,1.0,1.5,2.0,0.4,2.1,2.6,1.0,1.0,23.5,75.6,0.1,1.4,0.1
148,Germán Pezzella,1.1,1.6,1.1,0.8,3.8,0.6,0.0,3.0,1.0,1.0,0.2,0.0,0.7,0.0,0.1,0.2,1.0,0.2,36.8,82.7,0.1,2.5,0.0
149,Lorenzo Andrenacci,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,67.5,0.0,5.8,0.0
150,Ola Aina,1.4,1.3,0.8,0.1,1.2,0.2,0.0,0.0,2.0,0.4,0.7,1.5,1.1,0.1,0.7,1.0,2.0,0.7,27.9,78.6,0.5,1.1,0.0
151,Danilo D'Ambrosio,1.4,0.6,1.6,0.1,1.0,0.2,0.0,4.0,0.0,0.3,0.3,0.4,0.9,0.2,0.3,0.8,0.0,0.3,36.1,85.0,0.1,1.4,0.0
152,Sofyan Amrabat,1.7,0.9,1.9,0.0,0.5,0.3,0.0,1.0,1.0,0.6,0.9,2.2,1.8,0.0,1.6,1.7,1.0,0.9,49.9,88.0,0.3,3.5,0.1
153,Karol Linetty,2.2,0.9,1.5,0.0,0.6,0.1,0.0,4.0,3.0,1.1,1.0,1.3,1.2,0.0,0.9,1.8,3.0,1.0,25.9,79.7,0.3,1.0,0.0
154,Bruno Peres,0.9,0.9,0.8,0.2,1.0,0.2,0.0,2.0,2.0,0.9,0.8,0.5,0.9,0.1,0.4,1.1,2.0,0.8,30.5,85.5,0.9,1.4,0.0
155,Cristiano Biraghi,0.8,0.5,0.8,0.1,1.3,0.3,0.0,2.0,6.0,0.3,1.2,0.4,0.8,0.1,0.1,0.7,6.0,1.2,23.5,77.0,1.5,1.0,0.0
156,Ernesto Torregrossa,0.7,0.2,2.0,0.0,0.9,0.1,0.0,7.0,3.0,2.5,0.8,1.2,3.3,0.6,1.7,3.2,3.0,0.8,19.0,65.4,0.0,0.9,0.1
157,Mattia Bani,1.7,1.9,1.6,0.5,3.2,0.6,0.0,4.0,0.0,0.6,0.1,0.0,1.3,0.0,0.1,0.5,0.0,0.1,42.8,80.5,0.1,3.2,0.0
158,Alessandro Bastoni,1.3,1.0,1.5,0.0,1.8,0.4,0.0,2.0,0.0,0.3,0.5,0.4,1.1,0.0,0.3,0.5,0.0,0.5,56.4,88.9,0.1,4.2,0.0
159,Giorgio Chiellini,0.8,0.3,1.0,0.5,2.3,0.5,0.0,1.0,0.0,0.3,0.0,0.3,0.5,0.0,0.0,0.3,0.0,0.0,27.8,87.4,0.0,0.8,0.0
160,Luiz Felipe,1.6,1.6,0.7,0.1,2.3,1.2,0.0,1.0,1.0,0.3,0.2,0.2,0.6,0.1,0.2,0.4,1.0,0.2,44.2,88.8,0.1,2.5,0.0
161,Adama Soumaoro,0.4,1.4,0.5,0.1,4.0,1.5,0.0,1.0,0.0,0.1,0.3,0.0,0.0,0.1,0.0,0.3,0.0,0.3,40.8,92.3,0.0,1.8,0.0
162,Luca Ceppitelli,1.4,1.4,0.5,0.6,4.0,1.1,1.0,2.0,0.0,0.3,0.1,0.0,0.6,0.0,0.1,0.3,0.0,0.1,32.6,77.2,0.0,3.0,0.0
163,Jasmin Kurtic ,1.6,0.8,0.9,0.0,1.2,0.3,0.0,2.0,1.0,1.2,1.2,0.4,0.9,0.1,0.5,1.0,1.0,1.2,37.1,87.7,0.9,3.0,0.0
164,Joseph Alfred Duncan,0.9,0.4,0.7,0.0,0.8,0.0,0.0,1.0,1.0,1.2,0.4,1.6,0.8,0.0,1.6,1.4,1.0,0.4,29.5,87.0,0.2,1.5,0.0
165,Douglas Costa,0.1,0.2,0.4,0.0,0.2,0.0,0.0,1.0,4.0,0.8,1.3,1.9,0.4,0.1,0.7,1.1,4.0,1.3,18.7,83.8,0.3,1.2,0.0
166,Rogerio,1.5,0.6,1.3,0.0,2.0,0.2,0.0,1.0,1.0,0.7,0.8,0.8,1.1,0.0,0.3,0.7,1.0,0.8,38.0,88.1,0.5,1.1,0.0
167,Armando Izzo,1.4,2.3,1.5,0.4,3.8,0.9,0.0,1.0,0.0,0.4,0.5,0.3,1.1,0.0,0.2,0.4,0.0,0.5,44.8,79.2,0.3,3.5,0.0
168,José Callejón,0.4,0.3,0.4,0.0,0.3,0.1,0.0,4.0,7.0,1.3,1.9,0.3,1.3,0.3,0.2,0.6,7.0,1.9,31.5,87.8,1.5,1.2,0.1
169,Franck Kessié,1.5,1.0,1.7,0.1,0.8,0.1,0.0,4.0,1.0,1.1,0.9,0.7,0.6,0.0,1.0,1.5,1.0,0.9,48.2,89.2,0.2,1.9,0.1
170,Stefano Sabelli,2.3,1.6,0.9,0.2,2.3,0.4,1.0,0.0,3.0,0.4,1.1,0.7,2.2,0.0,0.4,1.3,3.0,1.1,41.5,71.5,0.6,2.4,0.0
171,Koray Günter,1.2,1.7,1.3,0.3,4.1,1.2,0.0,0.0,0.0,0.2,0.1,0.2,0.4,0.0,0.1,0.4,0.0,0.1,42.7,85.7,0.0,2.7,0.0
172,Nikola Milenkovic,1.2,0.8,1.6,0.4,3.3,0.5,0.0,5.0,0.0,0.8,0.2,0.2,0.5,0.0,0.2,0.5,0.0,0.2,46.1,87.3,0.0,2.7,0.0
173,Samir Handanovic,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.1,26.6,86.0,0.0,4.7,0.0
174,Jordan Veretout,1.1,0.5,1.0,0.1,0.8,0.2,0.0,6.0,0.0,0.9,1.2,0.9,0.5,0.0,0.4,0.8,0.0,1.2,47.7,89.7,0.7,3.3,0.0
175,Matteo Pessina,1.0,0.7,1.0,0.0,0.9,0.2,0.0,7.0,0.0,0.9,0.6,0.7,1.5,0.2,0.9,1.7,0.0,0.6,37.1,78.8,0.3,1.1,0.0
176,Omar Colley,1.4,1.9,1.3,0.9,4.8,0.7,0.0,0.0,1.0,0.8,0.3,0.1,0.5,0.1,0.1,0.4,1.0,0.3,44.0,81.4,0.1,3.9,0.0
177,Mattia Caldara,1.5,2.1,1.4,0.4,1.6,0.4,0.0,0.0,1.0,0.4,0.1,0.1,0.5,0.1,0.1,0.6,1.0,0.1,31.9,88.1,0.0,1.9,0.0
178,Luca Cigarini,1.7,0.9,1.7,0.0,1.2,0.5,0.0,0.0,4.0,0.3,2.0,0.3,1.3,0.0,0.4,0.8,4.0,2.0,52.4,84.0,1.0,3.7,0.0
179,Justin Kluivert,0.8,0.3,1.4,0.0,0.2,0.0,0.0,4.0,1.0,1.5,1.0,1.5,1.3,0.0,0.8,1.6,1.0,1.0,20.3,83.4,0.3,0.8,0.0
180,Mattia De Sciglio,1.1,0.9,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.1,0.2,1.1,0.3,0.0,0.6,0.8,0.0,0.2,32.2,82.8,0.1,1.8,0.0
181,Gabriel,0.1,0.0,0.0,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,22.9,72.4,0.0,4.6,0.0
182,Mattia Valoti ,1.8,0.6,1.4,0.0,0.7,0.2,0.0,3.0,1.0,1.1,0.9,1.2,1.7,0.1,0.9,1.6,1.0,0.9,20.6,79.5,0.1,0.8,0.0
183,Carles Pérez,0.9,0.2,1.0,0.0,0.1,0.1,0.0,1.0,3.0,1.5,0.7,1.0,0.6,0.0,0.8,1.3,3.0,0.7,15.4,86.5,0.2,0.6,0.1
184,Stefano Okaka,0.6,0.2,2.1,0.0,0.8,0.1,0.0,8.0,2.0,1.7,0.8,1.3,2.0,0.6,2.1,2.6,2.0,0.8,18.1,76.7,0.0,0.5,0.1
185,Andrea Consigli,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,27.2,75.5,0.0,3.9,0.0
186,Maya Yoshida,0.3,1.9,1.1,0.4,5.0,0.9,0.0,0.0,1.0,0.4,0.4,0.1,0.4,0.0,0.1,0.1,1.0,0.4,40.6,85.6,0.0,3.6,0.0
187,Kalidou Koulibaly,2.0,1.2,1.4,0.4,2.4,0.6,1.0,0.0,0.0,0.6,0.4,0.4,0.6,0.0,0.2,0.4,0.0,0.4,67.4,91.4,0.0,4.6,0.0
188,Giovanni Simeone,0.6,0.3,1.5,0.0,0.4,0.2,0.0,12.0,3.0,2.4,0.5,0.9,1.4,0.6,1.4,3.0,3.0,0.5,12.6,68.8,0.1,0.2,0.1
189,Antonio Sanabria,0.6,0.2,1.0,0.0,0.5,0.0,0.0,6.0,2.0,1.7,0.6,0.9,1.1,0.2,0.7,2.0,2.0,0.6,14.8,76.9,0.0,0.7,0.0
190,Rafael Leão,0.2,0.0,0.5,0.0,0.1,0.0,0.0,6.0,1.0,1.4,1.0,1.3,0.5,0.2,0.7,1.4,1.0,1.0,13.7,78.5,0.4,0.4,0.0
191,Timothy Castagne,1.1,0.6,0.7,0.2,0.6,0.2,0.0,1.0,2.0,0.7,0.8,0.5,0.3,0.2,0.4,0.9,2.0,0.8,34.9,85.4,0.6,0.5,0.0
192,Fabio Borini,0.1,0.9,0.8,0.0,0.4,0.0,0.0,3.0,0.0,2.8,0.5,0.7,1.9,0.3,1.2,0.9,0.0,0.5,16.8,71.1,0.4,0.6,0.0
193,Mario Balotelli,0.1,0.4,1.7,0.1,1.2,0.1,0.0,5.0,0.0,3.8,0.5,0.5,2.7,0.4,0.5,1.8,0.0,0.5,18.3,66.0,0.1,1.6,0.0
194,Giacomo Bonaventura,0.6,0.2,0.7,0.0,0.3,0.1,0.0,3.0,5.0,1.5,0.9,0.8,1.1,0.1,0.6,1.2,5.0,0.9,22.8,85.6,0.1,0.7,0.1
195,Kostas Manolas,0.9,1.0,0.9,0.7,2.8,0.5,0.0,4.0,0.0,0.7,0.1,0.0,0.6,0.0,0.1,0.3,0.0,0.1,57.8,91.8,0.0,2.3,0.0
196,Amadou Diawara,1.8,1.5,1.3,0.0,0.6,0.0,0.0,1.0,1.0,0.5,0.7,0.5,0.8,0.0,0.1,0.2,1.0,0.7,45.4,88.9,0.0,3.2,0.0
197,Dimitri Bisoli,2.6,1.0,1.5,0.0,1.6,0.3,0.0,1.0,1.0,1.0,0.8,0.8,1.8,0.2,1.4,1.6,1.0,0.8,27.7,67.3,0.5,0.6,0.0
198,Nicola Sansone,1.0,0.3,1.1,0.0,0.2,0.0,0.0,4.0,3.0,2.4,1.4,1.3,2.3,0.2,1.4,1.6,3.0,1.4,25.8,78.8,1.0,0.6,0.1
199,Ibañez,1.2,2.0,1.6,0.6,2.2,0.7,0.0,0.0,0.0,0.3,0.3,0.2,1.4,0.0,0.4,0.7,0.0,0.3,36.6,88.8,0.0,2.2,0.0
200,Victor Moses,0.3,0.0,0.5,0.0,0.3,0.0,0.0,0.0,3.0,0.4,0.8,1.1,0.8,0.0,0.2,0.8,3.0,0.8,17.9,83.7,0.6,0.9,0.0
201,Leonardo Bonucci,0.8,0.9,0.7,0.4,2.4,0.8,0.0,3.0,0.0,0.6,0.3,0.1,0.5,0.0,0.1,0.2,0.0,0.3,58.7,86.9,0.1,5.4,0.0
202,Kevin Agudelo,2.3,0.6,2.0,0.0,0.2,0.1,0.0,1.0,1.0,1.0,1.2,2.5,1.1,0.1,1.5,1.5,1.0,1.2,28.1,84.3,0.1,0.9,0.0
203,Adam Marusic,0.7,0.9,0.5,0.1,0.8,0.1,0.0,2.0,1.0,0.7,0.5,0.5,0.7,0.0,0.4,0.2,1.0,0.5,20.3,85.6,0.3,0.7,0.0
204,Elseid Hysaj,0.9,1.2,0.4,0.2,1.0,0.2,0.0,1.0,2.0,0.3,1.1,0.7,0.9,0.0,0.3,0.4,2.0,1.1,57.0,84.2,0.3,1.9,0.1
205,Bartlomiej Dragowski,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,22.6,64.1,0.0,4.5,0.0
206,Bram Nuytinck,1.8,1.0,0.8,0.0,3.5,1.2,0.0,0.0,0.0,0.2,0.3,0.1,0.3,0.0,0.0,0.2,0.0,0.3,49.4,85.1,0.0,3.4,0.0
207,Paolo Faragò,2.0,0.5,1.0,0.2,2.4,0.4,1.0,1.0,1.0,0.6,0.7,0.6,0.7,0.0,0.5,0.9,1.0,0.7,33.4,79.6,0.6,1.9,0.0
208,Albin Ekdal,1.6,1.0,1.3,0.0,1.3,0.4,0.0,0.0,2.0,0.5,0.7,0.8,1.8,0.0,0.8,1.1,2.0,0.7,35.8,85.9,0.1,1.4,0.0
209,Riccardo Calafiori,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,13.0,69.2,0.0,0.0,0.0
210,Diego Perotti,0.8,0.2,0.4,0.0,0.2,0.0,0.0,5.0,3.0,0.7,1.0,1.4,1.1,0.0,0.7,0.3,3.0,1.0,16.6,85.7,0.3,0.7,0.1
211,Felipe Caicedo,0.6,0.1,0.9,0.0,0.1,0.0,0.0,9.0,2.0,1.0,0.8,0.4,0.7,0.3,0.7,1.1,2.0,0.8,13.5,77.2,0.0,0.2,0.0
212,Matías Vecino,1.6,0.8,1.0,0.0,1.3,0.2,0.0,2.0,2.0,1.4,0.8,0.3,0.6,0.2,0.6,0.6,2.0,0.8,26.3,78.5,0.1,0.8,0.0
213,Leonardo Spinazzola,1.0,0.8,0.6,0.3,1.5,0.2,0.0,1.0,2.0,0.6,0.9,1.0,0.1,0.0,0.4,1.1,2.0,0.9,32.9,82.2,0.7,2.0,0.0
214,Soualiho Meité,1.0,0.7,1.0,0.0,1.1,0.2,0.0,0.0,2.0,0.7,0.7,1.9,1.1,0.0,1.1,1.4,2.0,0.7,27.1,83.1,0.2,1.3,0.0
215,Gervinho ,0.4,0.2,0.3,0.0,0.0,0.0,0.0,7.0,4.0,1.8,0.8,1.6,0.4,0.6,1.3,2.4,4.0,0.8,15.7,80.3,0.1,0.2,0.0
216,Joseph Alfred Duncan,1.5,0.7,1.2,0.1,0.9,0.0,0.0,1.0,5.0,1.2,0.9,1.0,1.0,0.0,1.1,1.5,5.0,0.9,35.4,80.4,0.1,0.8,0.0
217,Nicolas Nkoulou,1.1,2.3,1.2,0.4,4.3,0.6,0.0,1.0,0.0,0.3,0.1,0.3,0.8,0.0,0.3,0.4,0.0,0.1,38.1,89.4,0.0,2.6,0.0
218,Davide Biraschi,1.3,1.4,1.2,0.5,2.7,0.5,1.0,0.0,1.0,0.3,0.3,1.5,1.0,0.0,0.9,1.0,1.0,0.3,41.8,77.5,0.3,1.8,0.0
219,Rolando Mandragora,1.8,1.0,1.5,0.0,0.7,0.2,0.0,0.0,2.0,2.1,1.3,0.5,0.8,0.0,0.6,1.0,2.0,1.3,34.9,85.0,0.4,2.0,0.0
220,Dalbert,1.7,0.6,1.7,0.1,1.6,0.1,0.0,0.0,5.0,0.6,1.2,0.5,1.1,0.1,0.7,1.1,5.0,1.2,30.9,78.5,1.0,1.4,0.0
221,Simone Zaza,0.6,0.4,2.4,0.0,0.5,0.0,0.0,6.0,1.0,2.0,0.5,0.4,1.4,0.4,1.1,3.4,1.0,0.5,13.1,65.0,0.0,0.5,0.0
222,Hans Hateboer,1.1,0.3,1.4,0.1,0.8,0.2,0.0,0.0,4.0,0.6,1.4,0.3,0.6,0.2,0.6,0.9,4.0,1.4,36.4,85.7,0.7,0.5,0.0
223,Federico Mattiello,1.7,1.0,0.9,0.2,1.2,0.4,0.0,0.0,1.0,0.4,0.4,0.6,1.3,0.1,0.7,0.8,1.0,0.4,18.6,81.7,0.4,0.6,0.0
224,Allan,2.2,0.7,1.3,0.0,0.4,0.1,0.0,2.0,1.0,0.5,0.7,0.8,1.0,0.0,0.7,1.3,1.0,0.7,35.2,87.4,0.1,2.1,0.0
225,Christian Kouamé,0.4,0.1,0.9,0.0,0.1,0.1,0.0,1.0,1.0,1.4,0.7,1.1,0.9,0.0,1.7,2.0,1.0,0.7,14.0,72.4,0.1,0.4,0.0
226,Gregoire Defrel,0.7,0.2,1.0,0.0,0.2,0.0,0.0,3.0,3.0,1.2,0.6,0.6,0.7,0.2,0.8,1.5,3.0,0.6,19.7,88.4,0.1,0.1,0.0
227,Nehuén Paz,0.3,1.7,2.0,0.0,3.7,1.0,0.0,0.0,1.0,0.7,0.3,0.0,0.7,0.0,0.0,0.0,1.0,0.3,14.3,81.4,0.0,1.7,0.0
228,Danilo,1.4,1.2,0.9,0.2,1.7,0.1,0.0,2.0,0.0,0.6,0.7,0.7,0.6,0.1,0.1,0.5,0.0,0.7,49.7,87.4,0.1,2.1,0.0
229,Morten Thorsby,2.2,0.7,1.9,0.1,1.3,0.3,1.0,1.0,1.0,0.8,0.8,0.3,0.3,0.1,0.3,1.0,1.0,0.8,31.0,77.4,0.2,0.9,0.0
230,Rodrigo Becão,1.9,1.6,1.5,0.2,2.4,0.7,0.0,1.0,1.0,0.2,0.1,0.0,0.9,0.0,0.2,0.4,1.0,0.1,35.3,85.2,0.0,2.2,0.0
231,Simone Missiroli ,1.2,1.6,0.8,0.0,1.8,0.8,0.0,1.0,0.0,0.4,0.5,0.7,0.8,0.0,0.5,0.9,0.0,0.5,42.1,84.3,0.0,1.3,0.0
232,Lukasz Skorupski,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,24.9,73.8,0.0,5.6,0.0
233,Nahitan Nández,1.7,0.7,1.3,0.0,0.6,0.0,0.0,2.0,3.0,0.7,1.0,1.1,1.4,0.2,1.1,1.3,3.0,1.0,33.5,79.0,0.7,1.5,0.0
234,Simon Kjaer,1.8,1.4,2.6,0.2,1.8,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,29.8,88.6,0.0,1.8,0.0
235,Matteo Gabbia,0.8,1.0,1.2,0.3,2.1,0.7,0.0,0.0,0.0,0.4,0.1,0.0,0.3,0.0,0.0,0.4,0.0,0.1,49.8,88.2,0.0,3.3,0.0
236,Nikola Kalinic,0.1,0.1,0.5,0.0,0.1,0.0,0.0,5.0,1.0,1.3,0.5,0.1,1.3,0.1,0.4,1.3,1.0,0.5,8.1,76.9,0.0,0.2,0.0
237,Federico Fazio,1.2,1.2,0.7,0.7,3.1,0.4,0.0,1.0,0.0,0.3,0.1,0.5,0.4,0.1,0.3,0.5,0.0,0.1,41.7,87.7,0.0,3.3,0.0
238,Cristián Zapata,1.2,1.2,0.8,0.3,3.7,0.9,1.0,1.0,0.0,0.6,0.3,0.3,0.6,0.0,0.1,0.4,0.0,0.3,44.3,91.3,0.1,1.8,0.0
239,Mert Müldür,2.0,0.9,0.8,0.1,1.4,0.0,0.0,2.0,1.0,0.5,0.4,0.7,0.7,0.0,0.4,0.8,1.0,0.4,28.1,85.8,0.1,0.8,0.0
240,Milan Badelj,1.3,2.0,0.8,0.0,1.5,0.1,0.0,1.0,0.0,0.7,1.0,0.9,0.9,0.0,0.8,0.9,0.0,1.0,42.5,82.1,0.0,2.7,0.1
241,Aaron Ramsey,0.8,0.5,0.9,0.0,0.5,0.1,0.0,3.0,1.0,1.2,0.8,0.6,0.8,0.1,0.8,1.2,1.0,0.8,29.6,88.0,0.0,0.5,0.0
242,Tommaso Augello,0.8,0.9,0.4,0.2,0.9,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.2,0.1,0.7,0.7,2.0,1.1,36.5,82.0,0.9,1.1,0.0
243,Vlad Chiriches,1.6,1.2,0.9,0.6,3.1,0.9,0.0,0.0,0.0,0.2,0.0,0.7,0.3,0.1,0.3,0.7,0.0,0.0,53.7,92.5,0.0,1.8,0.0
244,Marco Mancosu,1.0,0.5,0.7,0.0,0.5,0.3,0.0,14.0,2.0,2.5,0.9,0.6,0.5,0.3,0.6,1.7,2.0,0.9,25.1,77.5,0.3,1.0,0.0
245,Federico Bonazzoli,0.4,0.3,0.9,0.0,0.1,0.0,0.0,6.0,0.0,2.3,0.6,0.5,1.8,0.2,0.5,0.9,0.0,0.6,10.4,72.7,0.1,0.8,0.0
246,Sebastian Walukiewicz,1.8,1.0,0.4,0.3,2.8,1.0,0.0,0.0,0.0,0.1,0.2,0.8,0.1,0.0,0.3,0.1,0.0,0.2,41.4,87.2,0.0,2.4,0.0
247,Giulio Donati,1.6,1.3,0.9,0.4,1.7,0.5,1.0,1.0,0.0,0.5,1.3,0.5,1.5,0.0,0.5,0.8,0.0,1.3,40.5,86.9,1.1,1.9,0.0
248,Iago Falque,0.7,0.1,0.3,0.0,0.3,0.0,0.0,2.0,1.0,1.5,1.0,1.5,0.2,0.3,0.5,0.9,1.0,1.0,26.6,85.7,0.5,1.5,0.0
249,Davide Calabria,2.1,0.8,0.6,0.2,1.4,0.2,0.0,1.0,1.0,0.5,0.5,0.4,0.9,0.0,0.1,0.8,1.0,0.5,38.1,81.1,0.6,2.5,0.0
250,Jhon Chancellor,1.2,1.3,0.8,0.5,5.4,1.1,1.0,3.0,0.0,0.5,0.0,0.2,0.3,0.1,0.2,0.5,0.0,0.0,33.6,86.0,0.0,2.3,0.0
251,Marco Sportiello,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,81.4,0.0,2.8,0.0
252,Marlon Santos,1.7,1.5,1.0,0.8,2.7,0.5,0.0,0.0,0.0,0.2,0.4,0.1,0.5,0.0,0.1,0.3,0.0,0.4,60.9,94.3,0.0,2.7,0.0
253,Emiliano Rigoni,0.6,0.4,0.5,0.0,0.0,0.1,0.0,0.0,1.0,0.9,1.9,1.3,0.9,0.1,1.1,1.9,1.0,1.9,18.1,75.2,1.6,0.3,0.0
254,Gonzalo Maroni,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.4,0.2,0.0,0.4,0.8,1.0,2.0,16.0,80.0,1.4,0.4,0.0
255,Ricardo Rodríguez,1.2,1.0,0.6,0.8,2.8,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.6,0.0,1.0,0.0,0.0,0.2,47.2,89.0,0.2,3.8,0.0
256,Milan Skriniar,1.2,0.9,1.6,0.1,2.6,0.3,1.0,0.0,0.0,0.4,0.3,0.2,0.8,0.0,0.3,0.3,0.0,0.3,62.4,92.1,0.0,3.7,0.0
257,Christian Eriksen,0.6,0.0,0.4,0.0,0.0,0.0,0.0,1.0,2.0,1.4,1.3,0.4,0.1,0.0,0.3,0.7,2.0,1.3,24.2,82.0,0.8,1.1,0.0
258,Antonin Barak,1.2,0.6,0.8,0.1,1.1,0.1,0.0,2.0,1.0,2.1,1.1,0.6,0.6,0.1,1.3,1.0,1.0,1.1,40.8,83.7,0.1,1.4,0.1
259,Sebastien De Maio,0.9,1.5,0.5,0.3,3.9,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.1,0.1,0.3,0.0,0.0,30.8,79.4,0.0,1.6,0.0
260,Thiago Cionek ,1.9,1.6,1.9,0.2,2.9,0.4,0.0,0.0,1.0,0.4,0.6,0.4,1.9,0.0,0.4,0.7,1.0,0.6,40.0,76.4,0.4,1.8,0.0
261,Andrea Poli,1.6,1.4,1.0,0.1,0.3,0.1,0.0,2.0,0.0,0.9,0.6,0.5,1.0,0.0,0.5,0.7,0.0,0.6,36.5,89.9,0.0,0.7,0.0
262,Alex Ferrari,1.5,1.0,1.3,0.8,2.5,0.7,0.0,0.0,0.0,0.3,0.2,0.4,1.1,0.0,0.3,0.8,0.0,0.2,37.4,76.4,0.0,2.8,0.0
263,Julian Chabot,1.4,2.0,1.3,0.5,3.1,0.3,0.0,1.0,0.0,0.1,0.0,0.3,0.8,0.0,0.0,0.6,0.0,0.0,31.9,83.9,0.0,2.3,0.0
