,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Cristiano Ronaldo,5,1.5,36.5,85.1,0.2,0.9,0.0,7.82
1,Josip Ilicic,5,2.1,34.6,81.9,0.7,1.8,0.3,7.65
2,Ciro Immobile,9,1.6,23.9,77.0,0.0,0.9,0.1,7.57
3,Luis Alberto,15,2.9,57.6,83.5,1.2,3.1,0.4,7.55
4,Papu Gómez,16,2.8,47.8,85.3,1.8,2.1,0.1,7.55
5,Gianluca Pegolo,0.0,0.0,26.8,80.6,0.0,3.6,0.0,7.54
6,Zlatan Ibrahimovic,5,1.4,32.8,70.9,0.2,1.1,0.1,7.51
7,Edin Dzeko,7,1.5,22.0,69.9,0.1,1.5,0.1,7.48
8,Domenico Berardi,10,1.9,35.1,78.4,0.6,1.5,0.3,7.45
9,Paulo Dybala,6,2.1,42.2,88.1,0.8,2.2,0.1,7.44
10,Duván Zapata,6,1.4,19.6,79.6,0.3,0.4,0.0,7.41
11,Kevin Bonifazi,0.0,0.3,32.3,82.5,0.0,1.7,0.0,7.35
12,Romelu Lukaku,2,1.5,21.5,70.7,0.2,0.7,0.0,7.3
13,Demba Thiam ,0.0,0.0,29.5,74.6,0.0,4.5,0.0,7.3
14,Andrea Ranocchia,0.0,0.1,48.3,88.2,0.0,4.3,0.0,7.29
15,Musa Barrow,2,1.9,29.1,78.2,0.6,1.4,0.1,7.28
16,Sergej Milinkovic-Savic,4,1.3,45.8,77.2,0.3,3.2,0.1,7.27
17,Rodrigo de Paul,6,2.3,46.0,82.0,1.6,3.6,0.1,7.25
18,Antonio Mirante,0.0,0.0,28.2,80.1,0.0,7.0,0.0,7.23
19,Robin Gosens,8,1.2,38.0,78.4,0.6,1.1,0.0,7.22
20,Radja Nainggolan,7,1.9,39.8,79.8,0.8,4.4,0.2,7.21
21,Theo Hernández,3,1.3,49.8,84.3,0.4,1.9,0.0,7.19
22,Hakan Calhanoglu,9,2.0,41.5,84.0,0.9,1.9,0.1,7.19
23,Jeremie Boga,2,1.0,28.1,86.8,0.0,0.1,0.0,7.17
24,Joaquín Correa,2,1.1,22.2,81.7,0.1,0.7,0.0,7.16
25,Marcelo Brozovic,6,1.2,65.0,89.9,0.3,5.7,0.0,7.15
26,Aleksandar Kolarov,3,1.8,45.5,83.7,1.7,2.8,0.1,7.14
27,Manuel Locatelli,5,1.5,64.0,88.0,0.5,3.5,0.2,7.13
28,Andrea Belotti,3,1.2,19.7,68.8,0.2,0.6,0.0,7.12
29,Dejan Kulusevski ,8,2.2,29.4,80.5,0.3,0.8,0.1,7.12
30,Stefano Sensi,2,1.2,39.1,86.6,0.5,2.4,0.0,7.11
31,Juan Cuadrado,5,1.3,61.4,89.5,0.7,3.0,0.0,7.11
32,Lorenzo Insigne,6,2.3,44.4,85.4,0.6,2.0,0.1,7.11
33,Rodrigo Bentancur,7,1.5,52.1,88.9,0.7,2.0,0.1,7.1
34,Henrikh Mkhitaryan,5,1.2,30.5,84.1,0.1,1.4,0.1,7.09
35,Filippo Falco,6,1.8,29.5,87.8,1.1,1.6,0.0,7.08
36,Sebastián Cristóforo,0.0,3.0,46.0,89.1,2.0,2.0,0.0,7.08
37,Francesco Caputo,7,1.5,21.7,79.3,0.1,0.4,0.1,7.08
38,Miralem Pjanic,6,1.9,63.6,90.4,0.8,3.3,0.0,7.08
39,Ismaël Bennacer,0.0,0.9,56.8,88.3,0.4,3.4,0.0,7.07
40,Diego Godín,1,0.4,47.8,85.1,0.2,3.3,0.1,7.07
41,Christian Kouamé,2,1.3,21.3,73.5,0.1,0.3,0.0,7.07
42,Riccardo Saponara,4,2.5,36.1,80.4,0.7,2.0,0.1,7.07
43,Federico Chiesa,6,1.4,21.2,76.7,0.3,0.7,0.1,7.05
44,Lorenzo Pellegrini,9,2.4,38.7,81.1,2,2.1,0.3,7.05
45,Merih Demiral,1,0.2,52.5,92.1,0.2,1.0,0.0,7.05
46,Simone Colombi ,0.0,0.0,21.8,81.6,0.0,2.8,0.0,7.05
47,João Pedro,4,0.9,22.1,76.9,0.1,1.6,0.1,7.05
48,Miguel Veloso,4,1.7,46.6,82.3,1.5,2.7,0.0,7.05
49,Franck Ribéry,3,1.7,33.8,85.6,0.1,2.0,0.1,7.04
50,Erick Pulgar,6,2.2,40.2,88.0,1.6,2.4,0.1,7.03
51,Andreas Cornelius ,3,0.8,15.7,66.7,0.1,0.4,0.0,7.03
52,Fabián Ruiz,6,1.5,70.6,90.7,0.2,3.9,0.2,7.03
53,Jesse Joronen,0.0,0.0,23.8,61.3,0.0,5.1,0.0,7.01
54,Chris Smalling,2,0.3,48.0,90.5,0.0,2.4,0.0,7.0
55,Ruslan Malinovskiy,3,1.4,26.3,82.5,0.8,1.2,0.1,7.0
56,Mauro Vigorito,0.0,0.0,24.2,68.6,0.0,6.0,0.0,7.0
57,Marco Faraoni,3,0.9,35.9,73.4,0.9,2.4,0.0,6.99
58,Lautaro Martínez,3,0.9,13.7,63.0,0.0,0.6,0.0,6.99
59,Salvatore Bocchetti,0.0,0.0,32.6,81.6,0.0,1.2,0.0,6.98
60,Juraj Kucka ,3,0.7,26.1,71.4,0.2,1.3,0.1,6.98
