,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Robert Lewandowski,0.6,0.2,1.0,0.0,0.4,0.4,0.0,0.0,34.0,4.0,4.5,1.2,1.9,1.4,0.5,1.7,2.6,4.0,1.2,24.7,73.1,0.3,0.5,0.1
1,Jadon Sancho,0.4,0.4,0.3,0.0,0.1,0.5,0.0,0.0,17.0,16.0,1.6,2.2,2.4,0.5,0.3,1.0,1.9,16.0,2.2,47.1,85.1,0.6,0.8,0.1
2,Timo Werner,0.6,0.1,0.5,0.0,0.0,0.4,0.0,0.0,28.0,8.0,3.6,1.6,1.7,0.9,1.3,1.0,2.5,8.0,1.6,27.7,75.6,0.5,0.7,0.0
3,Matheus Cunha,0.9,0.9,2.3,0.0,0.1,0.6,0.1,0.0,5.0,0.0,3.2,0.7,3.7,2.6,0.2,2.1,1.5,0.0,0.7,14.7,65.4,0.1,1.8,0.0
4,Alphonso Davies,2.4,1.1,0.9,0.6,1.2,0.7,0.2,0.0,3.0,5.0,0.4,1.3,2.8,1.2,0.2,1.4,1.8,5.0,1.3,52.1,86.5,0.9,1.1,0.0
5,Marco Reus,1.4,0.5,0.9,0.0,0.6,0.8,0.1,0.0,11.0,5.0,2.5,1.2,1.4,0.9,0.4,1.1,1.6,5.0,1.2,33.7,82.5,0.2,0.9,0.1
6,Serge Gnabry,1.2,0.5,0.5,0.0,0.0,0.6,0.0,0.0,12.0,10.0,3.1,1.7,1.8,0.8,0.5,0.8,1.7,10.0,1.7,33.1,82.3,0.4,0.6,0.1
7,Thiago,1.9,1.9,1.0,0.2,0.5,0.9,0.1,0.0,3.0,0.0,0.8,0.8,3.0,0.5,0.0,0.8,1.2,0.0,0.8,74.9,90.5,0.1,6.2,0.0
8,Erling Haaland,0.3,0.3,0.7,0.0,0.3,0.3,0.3,0.0,13.0,2.0,2.3,0.6,0.8,0.5,0.2,0.8,1.7,2.0,0.6,15.3,71.3,0.1,0.1,0.1
9,Paulo Otávio,4.2,1.8,1.6,0.2,1.4,0.6,0.4,0.0,0.0,1.0,0.6,1.8,1.4,0.8,0.0,0.0,2.0,1.0,1.8,25.2,69.0,1.4,0.2,0.0
10,Thomas Müller,1.4,0.4,0.5,0.0,0.2,1.4,0.1,0.0,8.0,21.0,1.6,2.5,0.5,0.8,0.3,0.6,1.6,21.0,2.5,36.6,78.0,1.0,1.3,0.2
11,Filip Kostic,1.8,0.7,1.1,0.0,0.2,1.1,0.1,0.0,4.0,11.0,2.7,2.4,2.5,1.1,0.1,1.8,2.0,11.0,2.4,32.1,67.0,3.0,1.5,0.0
12,Joshua Kimmich,1.6,0.9,0.8,0.1,0.8,1.0,0.3,0.0,4.0,7.0,0.8,2.3,0.6,1.4,0.1,0.6,1.2,7.0,2.3,77.2,90.1,1.9,5.8,0.2
13,Philipp Pentke,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,34.3,74.5,0.0,5.5,0.0
14,Christopher Nkunku,0.7,0.6,0.8,0.0,0.2,0.8,0.1,0.0,5.0,13.0,1.6,2.3,1.7,1.3,0.2,1.0,1.6,13.0,2.3,21.7,85.9,1.4,0.6,0.1
15,Kevin Mbabu,3.5,1.2,1.6,0.2,2.4,1.0,0.5,0.0,3.0,1.0,0.6,0.8,2.5,0.9,0.0,1.5,1.7,1.0,0.8,30.6,72.2,1.1,1.4,0.0
16,Simon Falette,0.0,3.0,0.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,63.0,77.8,0.0,6.0,0.0
17,Raphael Guerreiro,1.5,1.4,0.4,0.2,0.7,0.4,0.1,0.0,8.0,2.0,1.4,1.3,1.4,0.6,0.0,0.9,1.2,2.0,1.3,65.0,89.2,0.7,2.1,0.0
18,Achraf Hakimi,1.8,0.9,0.7,0.1,0.6,1.1,0.1,0.0,5.0,10.0,1.2,1.1,2.2,1.5,0.1,1.3,1.8,10.0,1.1,62.8,84.9,0.6,2.0,0.0
19,Suat Serdar,2.8,1.2,1.5,0.1,0.4,2.2,0.4,0.0,7.0,0.0,1.8,0.6,2.7,1.7,0.1,2.2,2.1,0.0,0.6,23.8,75.4,0.0,0.9,0.2
20,Marcus Thuram,0.8,0.4,1.7,0.0,0.5,0.6,0.0,0.0,10.0,8.0,1.8,1.0,2.0,2.0,0.6,1.3,2.6,8.0,1.0,20.2,69.4,0.0,0.1,0.0
