,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Robert Lewandowski,4,1.2,24.7,73.1,0.3,0.5,0.1,8.13
1,Jadon Sancho,16,2.2,47.1,85.1,0.6,0.8,0.1,7.64
2,Timo Werner,8,1.6,27.7,75.6,0.5,0.7,0.0,7.6
3,Matheus Cunha,0.0,0.7,14.7,65.4,0.1,1.8,0.0,7.56
4,Alphonso Davies,5,1.3,52.1,86.5,0.9,1.1,0.0,7.52
5,Marco Reus,5,1.2,33.7,82.5,0.2,0.9,0.1,7.5
6,Serge Gnabry,10,1.7,33.1,82.3,0.4,0.6,0.1,7.49
7,Thiago,0.0,0.8,74.9,90.5,0.1,6.2,0.0,7.47
8,Erling Haaland,2,0.6,15.3,71.3,0.1,0.1,0.1,7.45
9,Paulo Otávio,1,1.8,25.2,69.0,1.4,0.2,0.0,7.44
10,Thomas Müller,21,2.5,36.6,78.0,1,1.3,0.2,7.42
11,Filip Kostic,11,2.4,32.1,67.0,3,1.5,0.0,7.41
12,Joshua Kimmich,7,2.3,77.2,90.1,1.9,5.8,0.2,7.4
13,Philipp Pentke,0.0,0.3,34.3,74.5,0.0,5.5,0.0,7.36
14,Christopher Nkunku,13,2.3,21.7,85.9,1.4,0.6,0.1,7.33
15,Kevin Mbabu,1,0.8,30.6,72.2,1.1,1.4,0.0,7.32
16,Simon Falette,0.0,1.0,63.0,77.8,0.0,6.0,0.0,7.32
17,Raphael Guerreiro,2,1.3,65.0,89.2,0.7,2.1,0.0,7.32
18,Achraf Hakimi,10,1.1,62.8,84.9,0.6,2.0,0.0,7.32
19,Suat Serdar,0.0,0.6,23.8,75.4,0.0,0.9,0.2,7.31
20,Marcus Thuram,8,1.0,20.2,69.4,0.0,0.1,0.0,7.3
21,Niclas Füllkrug,1,0.4,14.8,66.1,0.0,0.4,0.1,7.29
22,Alassane Plea,10,1.4,24.9,75.2,0.4,0.6,0.3,7.24
23,Kai Havertz,6,2.0,45.1,85.4,0.2,1.3,0.1,7.24
24,Marcel Sabitzer,7,1.8,42.0,77.5,0.9,2.4,0.0,7.24
25,Philippe Coutinho,6,1.3,34.8,84.1,0.3,2.0,0.2,7.22
26,Thorgan Hazard,13,1.7,33.1,81.0,1,1.0,0.0,7.21
27,Andrej Kramaric,2,1.5,26.9,83.0,0.4,1.1,0.1,7.21
28,Benjamin Pavard,4,0.6,69.6,88.7,0.6,3.1,0.0,7.19
29,Leon Goretzka,5,0.9,37.9,85.9,0.2,1.5,0.0,7.17
30,Christopher Trimmel,8,2.1,30.8,71.3,2.4,2.5,0.0,7.16
31,Denis Zakaria,2,0.5,38.3,86.7,0.0,1.5,0.1,7.15
32,Marcel Halstenberg,3,1.2,58.3,84.9,0.7,1.8,0.0,7.15
33,Emre Can,0.0,0.3,59.8,88.3,0.0,4.6,0.0,7.14
34,Ramy Bensebaini,3,0.6,40.6,77.5,0.3,2.2,0.0,7.14
35,Mark Flekken,0.0,0.0,39.5,67.8,0.0,8.3,0.0,7.14
36,Robert Skov,7,1.8,32.2,79.0,1.7,1.1,0.0,7.14
37,Kingsley Coman,3,1.4,29.4,82.3,0.6,1.0,0.1,7.13
38,Angeliño,2,1.5,44.8,80.8,1.2,2.0,0.1,7.12
39,Mats Hummels,3,0.3,73.5,87.5,0.0,6.4,0.1,7.11
40,Kevin Kampl,2,0.8,46.5,88.1,0.4,1.5,0.3,7.11
