,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Robert Lewandowski,7,1.4,22.1,77.5,0.0,0.6,0.2,7.65
1,Thiago,6,1.3,83.6,91.8,0.5,7.3,0.1,7.59
2,Kerem Demirbay,9,3.1,48.8,81.2,1.7,2.9,0.2,7.59
3,Marcel Halstenberg,6,2,40.9,74.3,1.6,1.4,0.0,7.56
4,Sébastien Haller,9,1.3,27.0,63.5,0.0,0.4,0.1,7.55
5,Jadon Sancho,14,1.9,38.3,84.9,0.8,0.6,0.1,7.52
6,Joshua Kimmich,13,2.4,74.1,90.5,2.2,4.2,0.1,7.49
7,Gregor Kobel,0.0,0.0,39.0,61.5,0.0,15.0,0.0,7.48
8,Frederik Rönnow,0.0,0.0,26.0,59.6,0.0,10.5,0.0,7.47
9,Thorgan Hazard,10,2.2,34.8,76.9,1.4,1.6,0.2,7.44
10,Willi Orban,0.0,0.0,41.6,78.2,0.0,2.7,0.0,7.41
11,Lukasz Piszczek,6,1.1,56.2,83.3,0.6,1.3,0.2,7.41
12,Marco Reus,8,1.4,37.6,81.8,0.4,1.5,0.1,7.39
13,Ihlas Bebou,3,1.3,30.1,71.5,0.8,0.8,0.2,7.34
14,Kingsley Coman,4,1.3,29.4,85.0,0.7,0.5,0.0,7.34
15,Ignacio Camacho,0.0,0.3,50.0,78.3,0.0,5.8,0.3,7.34
16,Tyler Adams,2,0.5,52.4,80.3,0.0,1.8,0.4,7.3
17,George Timotheou,0.0,0.0,46.0,80.4,0.0,4.0,0.0,7.3
18,Ishak Belfodil,3,1.1,15.6,72.2,0.1,0.1,0.0,7.29
19,Kevin Volland,9,1.3,25.3,75.0,0.6,0.7,0.1,7.28
20,Daniel Caligiuri,3,1.9,37.2,68.5,1.5,2.7,0.0,7.28
21,Yussuf Poulsen,3,1.1,24.9,60.8,0.2,0.3,0.1,7.27
22,Marko Grujic,1,0.7,43.1,81.9,0.0,1.6,0.0,7.26
23,Filip Kostic,10,1.4,29.7,64.6,1.4,1.4,0.1,7.26
24,Julian Brandt,11,2.6,51.6,81.4,1.2,2.4,0.2,7.26
25,Kai Havertz,3,1.0,52.6,87.2,0.1,2.2,0.1,7.25
26,Vincenzo Grifo,3,2.2,43.3,79.2,1.1,2.9,0.1,7.25
27,Wout Weghorst,7,1.1,23.6,69.5,0.1,0.5,0.1,7.24
28,James Rodríguez,3,2.6,43.9,87.1,1.6,2.4,0.2,7.24
29,Max Kruse,9,2.6,49.9,79.1,1.7,3.4,0.1,7.23
30,Joelinton,5,1.5,24.7,79.3,0.2,0.3,0.1,7.21
31,Thomas Müller,9,1.9,37.5,74.7,0.2,1.2,0.1,7.19
32,Ibrahima Konaté,1,0.2,37.0,76.0,0.0,1.9,0.0,7.19
33,Mark Flekken,0.0,0.0,28.0,78.6,0.0,7.0,0.0,7.18
34,Kevin Stöger,7,2.2,54.8,85.0,1.2,5.4,0.2,7.17
35,Timo Werner,7,1.2,25.5,74.2,0.2,0.4,0.1,7.17
36,Mats Hummels,1,0.6,82.6,89.4,0.0,4.5,0.1,7.17
37,Serge Gnabry,5,0.9,26.4,83.4,0.3,1.0,0.1,7.15
38,Kevin Kampl,5,1.8,52.9,84.4,0.7,2.4,0.1,7.13
39,Thomas Delaney,5,0.5,53.6,85.5,0.1,2.7,0.0,7.13
40,Louis Jordan Beyer,0.0,0.2,47.6,87.9,0.1,1.3,0.0,7.12
41,Maximilian Arnold,6,1.4,39.6,80.8,1,4.7,0.1,7.11
42,Axel Witsel,1,0.5,72.8,93.1,0.0,2.4,0.1,7.11
43,Achraf Hakimi,4,0.5,63.4,86.1,0.4,2.1,0.1,7.11
44,Nils Petersen,3,0.9,21.3,68.2,0.0,0.7,0.0,7.11
45,Sebastian Rode,0.0,1.5,43.1,83.4,1,2.3,0.1,7.1
46,Benjamin Hübner,0.0,0.0,50.0,82.6,0.0,2.9,0.0,7.1
47,Jordan Torunarigha,2,0.4,33.9,79.4,0.1,3.1,0.0,7.09
48,William,1,1.3,43.8,74.4,0.9,4.0,0.0,7.09
49,Andrej Kramaric,4,1.6,31.9,80.9,0.8,1.2,0.1,7.09
50,Florian Grillitsch,3,0.9,51.6,83.5,0.2,3.5,0.1,7.06
51,Salif Sané,0.0,0.2,51.1,83.2,0.1,3.1,0.0,7.06
52,Theodor Gebre Selassie,2,0.7,41.9,79.8,0.3,0.9,0.0,7.03
53,Almamy Touré,0.0,0.1,34.7,73.3,0.3,1.3,0.1,7.03
54,Jérôme Roussillon,4,1.1,36.6,77.3,1.1,1.9,0.0,7.03
55,Emil Forsberg,7,2.0,23.9,81.6,0.7,0.8,0.2,7.02
56,Raphael Guerreiro,6,1.7,46.1,85.5,0.7,0.9,0.1,7.02
57,Ondrej Duda,5,1.3,37.6,76.9,0.5,1.4,0.1,7.02
58,Marc Oliver Kempf,0.0,0.3,44.0,81.2,0.1,3.2,0.0,7.01
59,David Alaba,3,0.9,56.9,85.5,0.7,1.7,0.0,7.01
60,Samuel Sahin-Radlinger,0.0,0.0,23.0,69.6,0.0,9.0,0.0,7.01
61,Lukas Klostermann,1,0.8,30.6,74.0,0.3,1.5,0.0,7.01
62,Charles Aránguiz,7,1.3,67.8,88.6,0.5,3.3,0.0,7.0
63,Mario Götze,7,1.6,33.3,81.5,0.3,0.7,0.2,7.0
64,Luka Jovic,5,0.8,18.7,70.4,0.1,0.9,0.1,7.0
65,Nadiem Amiri,1,1.2,27.5,87.4,0.2,1.2,0.2,7.0
66,Bastian Oczipka,5,2.1,36.8,77.1,2.4,1.0,0.0,7.0
67,Valentino Lazaro,6,1.8,38.9,76.3,1.5,1.6,0.0,7.0
68,Nordi Mukiele,1,0.6,30.5,72.8,0.4,1.5,0.1,6.99
69,Lukas Kübler,2,0.4,26.1,69.8,0.4,1.9,0.0,6.98
70,Milot Rashica,5,1.2,14.7,69.1,1,0.3,0.0,6.98
71,Michael Esser,0.0,0.1,34.2,67.9,0.0,10.3,0.0,6.98
72,Maximilian Eggestein,4,1.4,45.8,80.5,0.2,1.4,0.1,6.98
73,Aarón Martín,3,1.9,36.2,81.9,1.6,1.8,0.0,6.98
74,Josuha Guilavogui,1,0.4,42.1,81.6,0.1,2.7,0.1,6.97
75,Lucas Torró,0.0,0.3,32.6,72.0,0.0,1.5,0.0,6.97
76,Leon Goretzka,4,0.6,38.4,87.5,0.0,1.2,0.0,6.96
77,Niklas Süle,0.0,0.2,82.6,92.9,0.0,5.3,0.0,6.96
78,Julian Baumgartlinger,1,0.5,65.3,89.6,0.0,3.5,0.0,6.96
79,Maximilian Mittelstädt,1,0.8,29.6,73.2,0.6,2.3,0.0,6.96
80,Admir Mehmedi,5,1.4,26.0,76.4,0.8,1.0,0.1,6.96
81,Lars Bender,4,0.7,41.3,82.9,0.1,1.1,0.0,6.95
82,Jonathan Tah,1,0.2,75.5,89.8,0.1,3.8,0.0,6.95
83,Ozan Kabak,0.0,0.1,37.2,77.2,0.0,2.4,0.0,6.95
84,Marcel Sabitzer,3,1.2,36.9,70.4,0.4,1.3,0.0,6.94
85,Lars Stindl,1,1,35.6,82.7,0.1,1.5,0.2,6.93
86,Jean-Philippe Mateta,2,0.9,13.2,71.2,0.1,0.3,0.0,6.93
87,Péter Gulácsi,0.0,0.0,27.2,58.9,0.0,7.9,0.0,6.93
88,Jonathan Schmid,7,1.6,35.8,81.1,1.4,1.6,0.0,6.93
89,Paco Alcácer,0.0,0.6,10.8,75.2,0.0,0.1,0.1,6.93
90,Dan-Axel Zagadou,0.0,0.1,61.3,87.8,0.0,3.2,0.0,6.92
91,Diego Demme,2,1.0,56.4,81.5,0.4,3.0,0.1,6.92
92,Pavel Kaderábek,4,1.5,37.9,76.3,1.1,1.4,0.0,6.92
93,Niklas Stark,0.0,0.1,46.5,83.9,0.0,2.5,0.0,6.92
94,Martin Hinteregger,0.0,0.2,41.2,73.1,0.1,2.7,0.0,6.91
95,Alexander Hack,1,0.1,39.5,75.6,0.0,3.7,0.0,6.91
96,Nuri Sahin,1,0.8,54.2,86.3,0.3,2.0,0.0,6.91
97,Nico Elvedi,1,0.1,68.9,92.7,0.0,3.0,0.0,6.91
98,Marcel Tisserand,0.0,0.2,56.8,78.5,0.2,6.1,0.0,6.9
99,Wendell,2,0.6,58.9,85.7,0.3,2.4,0.0,6.9
100,Jean-Paul Boëtius,7,1.0,27.9,77.1,0.1,1.6,0.2,6.9
101,Leon Bailey,1,1.6,26.2,74.4,1.3,0.8,0.0,6.9
102,Nico Schulz,5,2.0,39.5,78.0,1.1,1.6,0.0,6.9
103,Karim Bellarabi,4,1.4,22.1,74.8,0.6,0.6,0.1,6.9
104,Markus Suttner,1,1.5,33.0,77.3,1.5,3.8,0.0,6.89
105,Ante Rebic,4,1.2,17.7,56.9,0.3,0.1,0.1,6.89
106,Janik Haberer,3,1.7,38.7,79.2,0.2,2.3,0.0,6.89
107,Davy Klaassen,4,1.2,36.0,74.5,0.3,1.4,0.0,6.89
108,Rani Khedira,1,0.3,41.8,81.9,0.1,2.4,0.0,6.89
109,Abdou Diallo,1,0.4,64.9,89.0,0.3,4.6,0.0,6.88
110,Javi Martínez,0.0,0.3,43.0,87.8,0.0,1.9,0.0,6.88
111,Yann Sommer,0.0,0.0,41.5,77.4,0.0,7.3,0.0,6.88
112,Tony Jantschke,1,0.1,57.4,90.0,0.0,3.0,0.0,6.87
113,André Hahn,4,1.1,16.3,57.8,0.7,0.7,0.0,6.87
114,Edgar Prib,1,1.5,21.3,80.0,0.8,0.5,0.0,6.87
115,Sven Bender,0.0,0.1,61.8,90.8,0.0,3.0,0.0,6.87
116,Robin Zentner,0.0,0.0,28.5,54.4,0.0,5.1,0.0,6.87
117,Jérôme Boateng,2,0.6,79.8,89.0,0.1,7.1,0.2,6.87
118,Martin Hinteregger,0.0,0.4,47.1,75.5,0.1,3.7,0.1,6.87
119,Stefan Bell,0.0,0.8,48.0,79.8,0.1,5.0,0.0,6.87
120,Makoto Hasebe,0.0,0.3,52.0,85.0,0.0,5.3,0.0,6.87
121,Christian Pulisic,4,1,24.2,79.5,0.4,0.1,0.1,6.86
122,Dayot Upamecano,0.0,0.2,49.9,82.5,0.0,2.9,0.0,6.86
123,Robin Knoche,0.0,0.0,65.7,85.9,0.0,6.3,0.0,6.86
124,Philipp Bargfrede,0.0,0.3,36.8,81.9,0.0,2.5,0.0,6.85
125,Giulio Donati,0.0,0.8,27.3,76.4,0.7,1.6,0.0,6.85
126,Alfred Finnbogason,1,1.1,17.6,68.1,0.1,0.5,0.1,6.85
127,Enrico Valentini,2,1.6,35.3,67.9,1.8,2.8,0.0,6.85
128,Danny da Costa,4,1,26.9,62.9,0.6,1.2,0.0,6.85
129,Ewerton,0.0,0.1,33.4,84.1,0.0,2.2,0.0,6.85
130,Matthias Zimmermann,3,0.6,37.7,78.5,0.4,2.0,0.0,6.84
131,Kevin Trapp,0.0,0.0,33.3,63.6,0.0,11.3,0.0,6.84
132,Salomon Kalou,2,1,22.7,73.5,0.2,0.7,0.2,6.83
133,Koen Casteels,0.0,0.0,39.7,76.9,0.0,9.6,0.0,6.83
134,Naldo,0.0,0.3,46.4,80.3,0.0,6.1,0.0,6.83
135,Weston McKennie,4,0.8,25.8,72.0,0.1,1.3,0.0,6.82
136,Stefan Posch,0.0,0.1,58.1,88.0,0.1,2.5,0.0,6.82
137,Dennis Geiger,1,1.8,34.0,89.7,1,0.8,0.0,6.82
138,Dodi Lukébakio,3,0.6,17.6,75.8,0.3,0.9,0.0,6.82
139,Kaan Ayhan,1,0.2,50.8,88.1,0.1,5.4,0.1,6.81
140,Karim Onisiwo,3,0.8,8.8,62.6,0.2,0.0,0.0,6.81
141,Pirmin Schwegler,1,1.5,40.4,82.0,1,2.1,0.0,6.8
142,Manuel Akanji,0.0,0.2,73.4,92.9,0.1,5,0.0,6.79
143,Caiuby,1,1,26.2,69.8,0.4,1,0.0,6.79
144,Jonathan de Guzmán,6,1.3,29.7,79.1,1,1.5,0.1,6.79
145,Philipp Max,2,2,27.6,71.8,1.9,1.5,0.0,6.78
146,John Brooks,2,0.1,60.1,85.9,0.0,7,0.0,6.78
147,Timo Baumgartl,0.0,0.3,46.7,81.9,0.1,3.3,0.0,6.78
148,Marcelo Saracchi,1,1.1,39.3,71.5,1.8,1.6,0.0,6.77
149,Andreas Luthe,0.0,0.0,28.3,64.7,0.0,6.2,0.0,6.77
150,Matheus Pereira,2,0.7,23.3,74.3,0.2,1.6,0.1,6.77
151,Ji Dong-Won,1,0.7,25.9,72.5,0.2,0.8,0.1,6.77
152,Franck Ribéry,3,0.8,28.1,82.5,0.3,1.0,0.0,6.77
153,Alassane Plea,4,1,18.1,72.0,0.1,0.6,0.0,6.77
154,Ludwig Augustinsson,4,0.8,45.3,79.9,1.1,1.8,0.0,6.76
155,Mitchell Weiser,3,1,42.9,82.1,0.5,1.4,0.1,6.76
156,Ermin Bicakcic,2,0.2,45.9,88.6,0.0,1.8,0.0,6.76
157,Stefanos Kapino,0.0,0.0,9.0,55.6,0.0,1.0,0.0,6.76
158,Gian-Luca Waldschmidt,1,0.8,19.3,81.0,0.3,1.2,0.1,6.75
159,Leandro Barreiro Martins,0.0,1,25.0,56.0,0.0,2.0,0.0,6.75
160,Jonas Hofmann,5,1.3,38.6,84.0,0.6,2.2,0.1,6.75
161,David Abraham,0.0,0.3,38.7,77.4,0.2,4.2,0.0,6.75
162,Niko Gießelmann,3,0.9,35.9,74.4,0.6,3.2,0.0,6.75
