,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Robert Lewandowski,22,7,4.4,1.4,1.5,1.4,0.9,1.5,2.8,7.65
1,Thiago,2,6,0.8,1.3,1.9,1.1,0.0,0.9,0.7,7.59
2,Kerem Demirbay,4,9,2.3,3.1,2.2,1.3,0.1,2,2,7.59
3,Marcel Halstenberg,3,6,0.8,2,1,0.8,0.1,0.9,1,7.56
4,Sébastien Haller,15,9,1.9,1.3,1,1.5,0.7,1.7,3,7.55
5,Jadon Sancho,12,14,1.2,1.9,3.3,1.1,0.1,1.7,2.7,7.52
6,Joshua Kimmich,2,13,0.7,2.4,1.1,1.5,0.1,0.7,1.2,7.49
7,Gregor Kobel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48
8,Frederik Rönnow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47
9,Thorgan Hazard,10,10,2.3,2.2,2.2,1.8,0.5,1.5,2.2,7.44
10,Willi Orban,4,0.0,1.1,0.0,0.1,1.2,0.0,0.1,0.4,7.41
11,Lukasz Piszczek,1,6,0.6,1.1,0.4,0.5,0.0,0.3,0.7,7.41
12,Marco Reus,17,8,2.6,1.4,0.9,1.1,0.6,1.4,2.0,7.39
13,Ihlas Bebou,4,3,2.3,1.3,2.9,1.8,0.3,1.8,2.4,7.34
14,Kingsley Coman,6,4,1.5,1.3,2.9,2.0,0.1,1.6,2.3,7.34
15,Ignacio Camacho,0.0,0.0,1.2,0.3,0.2,1.8,0.2,0.2,0.8,7.34
16,Tyler Adams,0.0,2,0.2,0.5,1.4,1.1,0.0,0.6,1.8,7.3
17,George Timotheou,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,7.3
18,Ishak Belfodil,16,3,3.1,1.1,1.4,0.5,0.8,1.1,1.4,7.29
19,Kevin Volland,14,9,2.6,1.3,0.9,1.5,0.6,1.7,2.8,7.28
20,Daniel Caligiuri,7,3,1.6,1.9,2.1,1.2,0.0,1.4,1.5,7.28
21,Yussuf Poulsen,15,3,2.1,1.1,0.8,1.6,0.6,2.0,3.1,7.27
22,Marko Grujic,5,1,2.1,0.7,1.4,1.0,0.0,0.9,1.0,7.26
23,Filip Kostic,6,10,1.8,1.4,1.7,1.1,0.1,1.4,1.7,7.26
24,Julian Brandt,7,11,2.0,2.6,1.7,0.7,0.1,1.5,2.3,7.26
25,Kai Havertz,17,3,2.6,1.0,1.4,1.5,0.1,2.0,2.2,7.25
26,Vincenzo Grifo,6,3,2.6,2.2,1.9,1.1,0.6,1.6,1.9,7.25
27,Wout Weghorst,17,7,2.1,1.1,0.4,1.1,0.9,1.4,1.9,7.24
28,James Rodríguez,7,3,1.8,2.6,0.8,0.8,0.3,0.6,0.7,7.24
29,Max Kruse,11,9,2.8,2.6,1.2,1.0,0.2,1.4,2.4,7.23
30,Joelinton,7,5,2,1.5,1.7,1,0.1,2.2,2.9,7.21
31,Thomas Müller,6,9,2,1.9,0.7,0.8,0.5,0.5,1.5,7.19
32,Ibrahima Konaté,1,1,0.5,0.2,0.8,0.9,0.0,0.4,0.7,7.19
33,Mark Flekken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18
34,Kevin Stöger,1,7,1.3,2.2,1.1,2.4,0.0,1,1.4,7.17
35,Timo Werner,16,7,3.6,1.2,1,1.2,1.2,1.2,2.9,7.17
36,Mats Hummels,1,1,0.9,0.6,0.5,0.4,0.0,0.1,0.4,7.17
37,Serge Gnabry,10,5,2.2,0.9,1.7,0.5,0.4,1,1.5,7.15
38,Kevin Kampl,2,5,1.3,1.8,0.9,0.3,0.3,0.9,1.1,7.13
39,Thomas Delaney,3,5,1.1,0.5,0.3,0.8,0.1,0.5,1.2,7.13
40,Louis Jordan Beyer,0.0,0.0,0.6,0.2,0.8,0.4,0.1,0.4,0.8,7.12
41,Maximilian Arnold,2,6,1.6,1.4,0.8,2.5,0.1,0.9,1.1,7.11
